Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+19 Quarters,Currency,Fiscal_Year_period
Shares Outstanding (Basic),"158,731,900","158,731,900","158,731,900","158,731,900","158,731,900","158,731,900","158,731,900","158,522,955","158,111,805","158,111,805","146,475,502","118,150,028","118,038,475","106,031,450","105,377,990","101,325,890","87,162,075","85,750,000","79,009,900","79,009,900",Upgrade,Financials in SEK,Fiscal year is January - December
Shares Outstanding (Diluted),"158,731,900","158,731,900","158,731,900","158,731,900","158,731,900","158,731,900","158,731,900","158,522,955","158,111,805","158,111,805","146,475,502","118,150,028","118,038,475","106,031,450","105,377,990","101,325,890","87,162,075","85,750,000","79,009,900","79,009,900",Upgrade,Financials in SEK,Fiscal year is January - December
Shares Change (YoY),-,-,-,0.132%,0.392%,0.392%,8.368%,34.171%,33.949%,49.118%,39.000%,16.604%,35.424%,23.652%,33.373%,28.245%,10.537%,8.747%,0.199%,0.199%,Upgrade,Financials in SEK,Fiscal year is January - December
EPS (Basic),0.151,0.132,0.190,-0.082,0.240,0.103,0.108,0.100,0.024,0.381,0.100,0.167,0.091,0.144,0.085,0.052,0.166,0.060,0.107,0.072,Upgrade,Financials in SEK,Fiscal year is January - December
EPS (Diluted),0.150,0.130,0.190,-0.082,0.240,0.100,0.108,0.100,0.020,0.380,0.100,0.167,0.091,0.144,0.085,0.052,0.166,0.060,0.107,0.072,Upgrade,Financials in SEK,Fiscal year is January - December
EPS Growth,-37.500%,30.000%,75.000%,-,1100.060%,-73.684%,8.359%,-40.156%,-78.130%,164.628%,18.083%,220.165%,-45.020%,139.330%,-20.732%,-28.157%,47.775%,-30.515%,-0.984%,-0.563%,Upgrade,Financials in SEK,Fiscal year is January - December
Free Cash Flow,"116,300,000","68,900,000","62,400,000","118,600,000","129,600,000","72,300,000","88,800,000","110,200,000","51,700,000","-5,500,000","25,100,000","24,691,000","23,409,000","44,093,000","8,758,000","15,721,000","8,061,000","14,655,000","-1,218,000","6,140,000",Upgrade,Financials in SEK,Fiscal year is January - December
Free Cash Flow Per Share,0.733,0.434,0.393,0.747,0.816,0.455,0.559,0.695,0.327,-0.035,0.171,0.209,0.198,0.416,0.083,0.155,0.092,0.171,-0.015,0.078,Upgrade,Financials in SEK,Fiscal year is January - December
Dividend Per Share,-,-,-,0.230,-,-,-,0.220,-,-,-,0.200,-,-,-,0.160,-,-,-,0.140,Upgrade,Financials in SEK,Fiscal year is January - December
Dividend Growth,-,-,-,4.545%,-,-,-,10.000%,-,-,-,25.000%,-,-,-,14.286%,-,-,-,-,Upgrade,Financials in SEK,Fiscal year is January - December
Gross Margin,57.660%,58.049%,57.389%,58.328%,54.438%,54.835%,54.679%,59.315%,56.177%,59.319%,55.944%,67.874%,51.948%,49.193%,47.464%,52.712%,62.552%,73.885%,71.338%,71.884%,Upgrade,Financials in SEK,Fiscal year is January - December
Operating Margin,8.779%,9.630%,9.935%,9.186%,9.286%,7.057%,5.882%,6.430%,7.150%,10.780%,7.680%,19.714%,7.553%,12.744%,9.332%,11.397%,26.798%,17.662%,25.326%,19.330%,Upgrade,Financials in SEK,Fiscal year is January - December
Profit Margin,3.729%,3.305%,5.026%,-2.066%,6.229%,2.840%,3.285%,3.165%,0.779%,12.650%,3.866%,7.701%,4.833%,9.502%,6.655%,5.231%,20.839%,16.024%,22.301%,16.784%,Upgrade,Financials in SEK,Fiscal year is January - December
Free Cash Flow Margin,18.070%,10.895%,10.419%,18.849%,21.187%,12.598%,16.960%,22.075%,10.592%,-1.156%,6.602%,9.662%,10.482%,27.516%,6.531%,15.601%,11.588%,45.643%,-3.218%,18.013%,Upgrade,Financials in SEK,Fiscal year is January - December
EBITDA,"134,700,000","130,400,000","136,400,000","126,600,000","136,300,000","107,900,000","105,600,000","99,500,000","101,500,000","123,200,000","83,300,000","75,286,000","38,328,000","30,794,000","21,402,000","18,597,000","20,006,000","6,504,000","10,430,000","7,513,000",Upgrade,Financials in SEK,Fiscal year is January - December
EBITDA Margin,20.929%,20.620%,22.775%,20.121%,22.282%,18.801%,20.168%,19.932%,20.795%,25.888%,21.910%,29.462%,17.162%,19.216%,15.960%,18.455%,28.758%,20.257%,27.555%,22.041%,Upgrade,Financials in SEK,Fiscal year is January - December
D&A For EBITDA,"78,200,000","69,500,000","76,900,000","68,800,000","79,500,000","67,400,000","74,800,000","67,400,000","66,600,000","71,900,000","54,100,000","24,909,000","21,459,000","10,372,000","8,888,000","7,112,000","1,364,000","833,000","844,000","924,000",Upgrade,Financials in SEK,Fiscal year is January - December
EBIT,"56,500,000","60,900,000","59,500,000","57,800,000","56,800,000","40,500,000","30,800,000","32,100,000","34,900,000","51,300,000","29,200,000","50,377,000","16,869,000","20,422,000","12,514,000","11,485,000","18,642,000","5,671,000","9,586,000","6,589,000",Upgrade,Financials in SEK,Fiscal year is January - December
EBIT Margin,8.779%,9.630%,9.935%,9.186%,9.286%,7.057%,5.882%,6.430%,7.150%,10.780%,7.680%,19.714%,7.553%,12.744%,9.332%,11.397%,26.798%,17.662%,25.326%,19.330%,Upgrade,Financials in SEK,Fiscal year is January - December
Effective Tax Rate,30.836%,45.995%,14.245%,145.936%,-,-,-,10.227%,66.372%,-,23.834%,-,21.595%,18.972%,20.343%,-,20.074%,8.841%,21.038%,12.616%,Upgrade,Financials in SEK,Fiscal year is January - December
Revenue as Reported,"643,600,000","632,500,000","598,900,000","629,200,000","611,700,000","573,900,000","523,600,000","499,200,000","488,100,000","475,900,000","380,200,000","255,535,000","223,328,000","160,247,000","134,098,000","100,771,000","69,566,000","32,108,000","37,851,000","34,087,000",Upgrade,Financials in SEK,Fiscal year is January - December
