Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Gain (Loss) on Sale of Investments,"38,531,000","-11,682,000","-364,178,000","55,162,000","113,244,000","229,314,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"284,000","284,000","-1,901,000","-5,195,000","1,612,000","3,000",Upgrade,Financials in CNY,Fiscal year is January - December
Asset Writedown,"-25,185,000","-25,185,000","-6,572,000","-2,097,000",-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Other Unusual Items,"-222,758,000","-222,758,000","-38,704,000",-,"4,447,000",-,Upgrade,Financials in CNY,Fiscal year is January - December
Pretax Income,"92,811,000","-55,953,000","-459,165,000","347,701,000","-356,210,000","280,925,000",Upgrade,Financials in CNY,Fiscal year is January - December
Income Tax Expense,"62,023,000","43,837,000","45,055,000","47,141,000","22,660,000","15,053,000",Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Continuing Operations,"30,788,000","-99,790,000","-504,220,000","300,560,000","-378,870,000","265,872,000",Upgrade,Financials in CNY,Fiscal year is January - December
Minority Interest in Earnings,"-31,106,000","-16,323,000","-24,255,000","-13,014,000","-8,010,000",-,Upgrade,Financials in CNY,Fiscal year is January - December
Net Income,"-318,000","-116,113,000","-528,475,000","287,546,000","-386,880,000","265,872,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income to Common,"-318,000","-116,113,000","-528,475,000","287,546,000","-386,880,000","265,872,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,193.619%,Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Basic),"2,053,638,500","1,940,474,000","1,915,437,000","1,911,530,000","1,571,507,000","1,400,446,000",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Diluted),"2,053,638,500","2,028,679,000","1,915,437,000","1,970,799,000","1,571,507,000","1,484,942,000",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Change (YoY),7.215%,5.912%,-2.809%,25.408%,5.830%,24.725%,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Basic),-0.000,-0.060,-0.276,0.150,-0.246,0.190,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Diluted),-0.090,-0.143,-0.280,0.083,-0.250,0.180,Upgrade,Financials in CNY,Fiscal year is January - December
EPS Growth,-,-,-,-,-,125.000%,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow,"3,863,000","195,727,000","136,723,000","-487,349,000","-549,443,000","-10,176,000",Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Per Share,0.002,0.096,0.071,-0.247,-0.350,-0.007,Upgrade,Financials in CNY,Fiscal year is January - December
Dividend Per Share,-,-,-,-,0.023,0.018,Upgrade,Financials in CNY,Fiscal year is January - December
Dividend Growth,-,-,-,-,29.282%,-,Upgrade,Financials in CNY,Fiscal year is January - December
Gross Margin,33.661%,34.257%,34.278%,30.939%,43.742%,48.249%,Upgrade,Financials in CNY,Fiscal year is January - December
Operating Margin,9.256%,8.939%,11.177%,11.259%,16.147%,16.815%,Upgrade,Financials in CNY,Fiscal year is January - December
Profit Margin,-0.016%,-5.387%,-22.208%,13.666%,-55.510%,82.299%,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Margin,0.194%,9.080%,5.746%,-23.162%,-78.834%,-3.150%,Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA,"378,343,000","391,012,000","436,354,000","369,939,000","164,348,000","70,784,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA Margin,18.962%,18.140%,18.337%,17.582%,23.581%,21.911%,Upgrade,Financials in CNY,Fiscal year is January - December
D&A For EBITDA,"193,675,000","198,329,000","170,374,000","133,038,000","51,810,000","16,463,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT,"184,668,000","192,683,000","265,980,000","236,901,000","112,538,000","54,321,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT Margin,9.255%,8.939%,11.177%,11.259%,16.147%,16.815%,Upgrade,Financials in CNY,Fiscal year is January - December
Effective Tax Rate,66.827%,-,-,13.558%,-,5.358%,Upgrade,Financials in CNY,Fiscal year is January - December
