Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,Currency,Fiscal_Year_period
Shares Outstanding (Basic),"1,016,412,000","1,061,282,920","1,086,924,000","1,087,135,780","1,086,924,000","1,096,434,108","1,098,782,000","1,038,720,482","1,041,390,980","1,053,351,966",Financials in CNY,Fiscal year is January - December
Shares Outstanding (Diluted),"1,016,412,000","1,061,282,920","1,086,924,000","1,087,135,780","1,086,924,000","1,096,434,108","1,098,782,000","1,038,720,482","1,041,390,980","1,053,351,966",Financials in CNY,Fiscal year is January - December
Shares Change (YoY),-6.487%,-2.378%,-,-0.848%,-1.079%,5.556%,5.511%,-1.389%,-1.359%,15.841%,Financials in CNY,Fiscal year is January - December
EPS (Basic),-0.128,-0.121,-0.015,-0.209,-0.081,-0.080,-0.101,-0.152,-0.049,-0.046,Financials in CNY,Fiscal year is January - December
EPS (Diluted),-0.128,-0.121,-0.015,-0.209,-0.081,-0.080,-0.101,-0.152,-0.049,-0.046,Financials in CNY,Fiscal year is January - December
Free Cash Flow,"-203,415,000","-80,567,000","-67,959,000","-104,916,000","-104,618,000","-65,000,000","-86,898,000","-68,409,000","-21,424,000","-17,623,000",Financials in CNY,Fiscal year is January - December
Free Cash Flow Per Share,-0.200,-0.076,-0.063,-0.097,-0.096,-0.059,-0.079,-0.066,-0.021,-0.017,Financials in CNY,Fiscal year is January - December
Operating Margin,-,-2260.793%,-173.810%,-1409.564%,-326.786%,-295.963%,-304.019%,-4844.680%,-299.962%,-115.374%,Financials in CNY,Fiscal year is January - December
Profit Margin,-,-1270.129%,-35.606%,-1429.215%,-230.253%,-218.685%,-303.231%,-4981.876%,-161.667%,-49.711%,Financials in CNY,Fiscal year is January - December
Free Cash Flow Margin,-,-798.484%,-146.130%,-661.013%,-273.740%,-161.182%,-237.758%,-2160.057%,-67.299%,-17.975%,Financials in CNY,Fiscal year is January - December
EBITDA,"-165,912,000","-221,651,000","-73,243,000","-211,473,000","-111,014,000","-107,325,000","-97,509,000","-141,276,000","-84,085,000","-103,197,000",Financials in CNY,Fiscal year is January - December
D&A For EBITDA,"8,025,000","6,463,000","7,589,000","12,253,000","13,877,000","12,028,000","13,607,000","12,155,000","11,405,000","9,916,000",Financials in CNY,Fiscal year is January - December
EBIT,"-173,937,000","-228,114,000","-80,832,000","-223,726,000","-124,891,000","-119,353,000","-111,116,000","-153,431,000","-95,490,000","-113,113,000",Financials in CNY,Fiscal year is January - December
