Fiscal Quarter,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters,Currency,Fiscal_Year_period
Pretax Income,"-1,336,000","-5,278,000","-1,831,000","-902,000","-1,254,000","-2,154,000","-1,337,000","-1,185,000","-1,606,000","-1,386,000","-1,345,000","-2,019,000","-1,813,000","-2,770,000","-2,554,000","-1,866,000","-2,384,000","-1,966,000","-2,396,000","-2,255,000",Upgrade,Financials in CAD,Fiscal year is August - July
Earnings From Continuing Operations,"-1,336,000","-5,278,000","-1,831,000","-902,000","-1,254,000","-2,154,000","-1,337,000","-1,185,000","-1,606,000","-1,386,000","-1,345,000","-2,019,000","-1,813,000","-2,770,000","-2,554,000","-1,866,000","-2,384,000","-1,966,000","-2,396,000","-2,255,000",Upgrade,Financials in CAD,Fiscal year is August - July
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-626,000","2,162,000","-148,000","-198,000",-,Upgrade,Financials in CAD,Fiscal year is August - July
Net Income to Company,"-1,336,000","-5,278,000","-1,831,000","-902,000","-1,254,000","-2,154,000","-1,337,000","-1,185,000","-1,606,000","-1,386,000","-1,345,000","-2,019,000","-1,813,000","-2,770,000","-2,554,000","-2,492,000","-222,000","-2,114,000","-2,594,000","-2,255,000",Upgrade,Financials in CAD,Fiscal year is August - July
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"25,000","105,000","24,000",Upgrade,Financials in CAD,Fiscal year is August - July
Net Income,"-1,336,000","-5,278,000","-1,831,000","-902,000","-1,254,000","-2,154,000","-1,337,000","-1,185,000","-1,606,000","-1,386,000","-1,345,000","-2,019,000","-1,813,000","-2,770,000","-2,554,000","-2,492,000","-222,000","-2,089,000","-2,489,000","-2,231,000",Upgrade,Financials in CAD,Fiscal year is August - July
Net Income to Common,"-1,336,000","-5,278,000","-1,831,000","-902,000","-1,254,000","-2,154,000","-1,337,000","-1,185,000","-1,606,000","-1,386,000","-1,345,000","-2,019,000","-1,813,000","-2,770,000","-2,554,000","-2,492,000","-222,000","-2,089,000","-2,489,000","-2,231,000",Upgrade,Financials in CAD,Fiscal year is August - July
Shares Outstanding (Basic),"49,021,536","52,135,585","42,629,368","41,976,849","42,566,165","39,976,463","40,003,772","39,836,054","34,788,306","33,382,507","29,451,271","28,494,803","28,443,276","28,244,623","28,226,603","27,286,169","26,598,603","26,594,235","26,127,220","25,105,244",Upgrade,Financials in CAD,Fiscal year is August - July
Shares Outstanding (Diluted),"49,021,536","52,135,585","42,629,368","41,976,849","42,566,165","39,976,463","40,003,772","39,836,054","34,788,306","33,382,507","29,451,271","28,494,803","28,443,276","28,244,623","28,226,603","27,286,169","26,598,603","26,594,235","26,127,220","25,105,244",Upgrade,Financials in CAD,Fiscal year is August - July
Shares Change (YoY),15.165%,30.416%,6.563%,5.374%,22.358%,19.753%,35.830%,39.801%,22.308%,18.191%,4.339%,4.429%,6.935%,6.206%,8.035%,8.687%,9.174%,19.839%,22.159%,25.418%,Upgrade,Financials in CAD,Fiscal year is August - July
EPS (Basic),-0.027,-0.101,-0.043,-0.021,-0.029,-0.054,-0.033,-0.030,-0.046,-0.042,-0.046,-0.071,-0.064,-0.098,-0.090,-0.091,-0.008,-0.079,-0.095,-0.089,Upgrade,Financials in CAD,Fiscal year is August - July
EPS (Diluted),-0.027,-0.101,-0.043,-0.021,-0.029,-0.054,-0.033,-0.030,-0.046,-0.042,-0.046,-0.071,-0.064,-0.098,-0.090,-0.091,-0.008,-0.079,-0.095,-0.089,Upgrade,Financials in CAD,Fiscal year is August - July
Free Cash Flow,"-861,000","-750,000","-1,125,000","-1,494,000","-1,864,000","-1,540,000","-1,504,000","-1,096,000","-1,396,000","-1,819,000","-1,619,000","-1,376,000","-1,695,000","-1,775,000","-1,832,000","-2,945,000","-2,752,000","-1,860,000","-2,259,000","-2,097,000",Upgrade,Financials in CAD,Fiscal year is August - July
Free Cash Flow Per Share,-0.018,-0.014,-0.026,-0.036,-0.044,-0.039,-0.038,-0.028,-0.040,-0.054,-0.055,-0.048,-0.060,-0.063,-0.065,-0.108,-0.103,-0.070,-0.086,-0.084,Upgrade,Financials in CAD,Fiscal year is August - July
EBITDA,"-1,590,000","-5,259,000","-1,819,000","-899,000","-1,248,000","-2,136,000","-1,353,000","-1,233,000","-1,582,000","-1,112,000","-1,299,000","-1,923,000","-1,693,000","-2,240,000","-2,580,000","-1,884,500","-2,343,000","-2,012,000","-2,372,000","-2,148,000",Upgrade,Financials in CAD,Fiscal year is August - July
D&A For EBITDA,"4,000","3,000","4,000","3,000","4,000","4,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","16,000","4,000","19,500","44,000","17,000","13,000","94,000",Upgrade,Financials in CAD,Fiscal year is August - July
EBIT,"-1,594,000","-5,262,000","-1,823,000","-902,000","-1,252,000","-2,140,000","-1,356,000","-1,236,000","-1,585,000","-1,115,000","-1,302,000","-1,926,000","-1,696,000","-2,256,000","-2,584,000","-1,904,000","-2,387,000","-2,029,000","-2,385,000","-2,242,000",Upgrade,Financials in CAD,Fiscal year is August - July
