Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Shares Outstanding (Basic),"54,121,935","28,310,935","23,372,404","22,441,476","21,209,938","20,698,747","18,979,871","18,005,120","18,018,522","15,379,289","14,460,284","13,845,776","13,085,646","12,455,164","5,816,036","1,608,304","1,601,888","1,601,888","1,603,492","1,602,356",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"54,121,935","28,310,935","95,937,820","22,441,476","21,209,938","45,601,456","18,979,871","18,005,120","18,018,522","15,379,289","14,460,284","13,845,776","13,085,646","12,455,164","9,354,067","1,608,304","6,078,866","1,601,888","1,603,492","15,366,320",Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),155.173%,-37.917%,405.471%,24.639%,17.712%,196.512%,31.255%,30.041%,37.697%,23.477%,54.588%,760.893%,115.265%,677.530%,483.356%,-89.534%,279.481%,-71.466%,-71.065%,956.306%,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-0.017,-0.017,0.056,-0.081,-0.037,0.020,-0.139,-0.003,-0.026,-0.080,-0.010,0.007,-0.160,-0.054,0.027,-4.611,0.442,0.024,-0.063,0.572,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-0.020,-0.020,0.010,-0.081,-0.040,-0.029,-0.140,-0.003,-0.030,-0.080,-0.010,0.007,-0.160,-0.054,0.020,-4.623,0.120,0.024,-0.063,0.060,Upgrade,Financials in USD,Fiscal year is October - September
EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-71.998%,-,-96.913%,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-58,872","-61,193","-39,910","-154,850","-113,276","-197,203","-159,307","-197,535","-267,110","-248,774","-190,070","-264,577","-137,235","-163,784","-116,737","-24,268","-180,574","-97,517","209,169","-52,354",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-0.001,-0.002,-0.000,-0.007,-0.005,-0.004,-0.008,-0.011,-0.015,-0.016,-0.013,-0.019,-0.010,-0.013,-0.012,-0.015,-0.030,-0.061,0.130,-0.003,Upgrade,Financials in USD,Fiscal year is October - September
EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-78,065","-489,634","-138,964","-121,367","-138,996",Upgrade,Financials in USD,Fiscal year is October - September
D&A For EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,145,239,239,239,238,Upgrade,Financials in USD,Fiscal year is October - September
EBIT,"-315,349","-232,555","-257,546","-410,010","-484,645","-1,054,988","-517,118","-293,462","-324,914","-426,944","-322,329","-516,238","-501,492","-281,319","-1,399,890","-78,210","-489,873","-139,203","-121,606","-139,234",Upgrade,Financials in USD,Fiscal year is October - September
