Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters,Currency,Fiscal_Year_period
Net Income,"-4,968,112","-7,537,440","-9,943,484","-9,743,099","-11,703,658","-9,931,704","-9,346,772","-8,015,386","-8,210,422","-5,831,492","-4,919,687","-5,458,935","-2,175,343","-1,630,998","-1,666,966","-1,492,232","-1,030,536","-1,195,580","-1,733,214","-1,361,979",Upgrade,Financials in CAD,Fiscal year is November - October
Net Income to Common,"-4,968,112","-7,537,440","-9,943,484","-9,743,099","-11,703,658","-9,931,704","-9,346,772","-8,015,386","-8,210,422","-5,831,492","-4,919,687","-5,458,935","-2,175,343","-1,630,998","-1,666,966","-1,492,232","-1,030,536","-1,195,580","-1,733,214","-1,361,979",Upgrade,Financials in CAD,Fiscal year is November - October
Shares Outstanding (Basic),"317,489,262","303,592,632","303,402,630","303,332,686","303,332,686","303,332,686","303,332,686","303,332,686","306,328,639","270,312,346","262,522,342","261,451,981","293,359,231","239,770,878","236,670,373","211,876,101","201,253,363","196,004,897","195,945,114","195,945,114",Upgrade,Financials in CAD,Fiscal year is November - October
Shares Outstanding (Diluted),"317,489,262","303,592,632","303,402,630","303,332,686","303,332,686","303,332,686","303,332,686","303,332,686","306,328,639","270,312,346","262,522,342","261,451,981","293,359,231","239,770,878","236,670,373","211,876,101","201,253,363","196,004,897","195,945,114","195,945,114",Upgrade,Financials in CAD,Fiscal year is November - October
Shares Change (YoY),4.667%,0.086%,0.023%,-,-0.978%,12.216%,15.545%,16.019%,4.421%,12.738%,10.923%,23.399%,45.766%,22.329%,20.784%,8.130%,-9.223%,21.961%,21.924%,15.811%,Upgrade,Financials in CAD,Fiscal year is November - October
EPS (Basic),-0.016,-0.025,-0.033,-0.032,-0.039,-0.033,-0.031,-0.026,-0.027,-0.022,-0.019,-0.021,-0.007,-0.007,-0.007,-0.007,-0.005,-0.006,-0.009,-0.007,Upgrade,Financials in CAD,Fiscal year is November - October
EPS (Diluted),-0.016,-0.025,-0.033,-0.032,-0.039,-0.033,-0.031,-0.026,-0.027,-0.022,-0.019,-0.021,-0.007,-0.007,-0.007,-0.007,-0.005,-0.006,-0.009,-0.007,Upgrade,Financials in CAD,Fiscal year is November - October
Free Cash Flow,"-3,924,406","-3,484,944","-7,238,525","-4,248,438","-11,351,412","-4,484,952","-9,059,585","-5,542,427","-4,772,021","-4,793,786","-3,002,377","-2,182,214","-2,018,859","-1,748,599","-1,933,693","-1,159,822","-1,083,746","-933,244","-810,078","-1,117,597",Upgrade,Financials in CAD,Fiscal year is November - October
Free Cash Flow Per Share,-0.012,-0.011,-0.024,-0.014,-0.037,-0.015,-0.030,-0.018,-0.016,-0.018,-0.011,-0.008,-0.007,-0.007,-0.008,-0.005,-0.005,-0.005,-0.004,-0.006,Upgrade,Financials in CAD,Fiscal year is November - October
EBITDA,"-4,544,957","-7,023,489","-9,761,332","-9,923,432","-11,734,473","-10,164,085","-9,699,267","-8,501,430","-8,376,093","-5,794,333","-4,821,982","-5,363,242","-2,395,928","-1,575,569","-1,615,672","-1,104,978","-911,323","-1,115,264","-1,685,741","-1,331,333",Upgrade,Financials in CAD,Fiscal year is November - October
D&A For EBITDA,"138,382","130,715","37,185","104,250","77,122","109,579","108,662","106,975","75,734","116,616","112,014","93,747","61,899","61,212","60,666","60,583","63,429","71,209","40,801","40,664",Upgrade,Financials in CAD,Fiscal year is November - October
EBIT,"-4,683,339","-7,154,204","-9,798,517","-10,027,682","-11,811,595","-10,273,664","-9,807,929","-8,608,405","-8,451,827","-5,910,949","-4,933,996","-5,456,989","-2,457,827","-1,636,781","-1,676,338","-1,165,561","-974,752","-1,186,473","-1,726,542","-1,371,997",Upgrade,Financials in CAD,Fiscal year is November - October
