Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Asset Writedown,"-2,670,000","-2,670,000",-,-,"6,126,000","-26,000,000",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"22,000","8,000","86,000","90,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-17,994,000","-30,463,000","-36,008,000","-15,091,000","-26,160,000","-64,734,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-2,523,000","-5,414,000","419,000","-2,493,000","-1,764,000","1,265,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-15,471,000","-25,049,000","-36,427,000","-12,598,000","-24,396,000","-65,999,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-15,471,000","-25,049,000","-36,427,000","-12,598,000","-24,396,000","-65,999,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,"1,000","-49,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-15,471,000","-25,049,000","-36,427,000","-12,598,000","-24,395,000","-66,048,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-15,471,000","-25,049,000","-36,427,000","-12,598,000","-24,395,000","-66,048,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"228,417,882","225,102,963","119,992,768","119,971,061","92,978,175","91,862,559",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"228,417,882","225,102,963","119,992,768","119,971,061","92,978,175","91,862,559",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),33.665%,87.597%,0.018%,29.031%,1.214%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.068,-0.111,-0.304,-0.105,-0.262,-0.719,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.068,-0.111,-0.304,-0.106,-0.262,-0.719,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,779,000","-3,592,000","494,000","-1,746,000","-5,728,000","-9,046,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.017,-0.016,0.004,-0.015,-0.062,-0.098,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,26.122%,-47.186%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-30223.529%,-9599.656%,-26994.737%,-883.989%,-1501.437%,-22946.951%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-30335.294%,-8607.904%,-31953.509%,-387.154%,-1460.778%,-40273.171%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-7409.804%,-1234.364%,433.333%,-53.657%,-342.994%,-5515.854%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-5,596,000","-5,735,000","-5,806,000","-4,984,000","-5,639,000","-9,539,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-153.165%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"9,818,000","22,200,000","24,968,000","23,781,000","19,435,000","28,094,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-15,414,000","-27,935,000","-30,774,000","-28,765,000","-25,074,000","-37,633,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"272,000","539,000","-4,020,000","18,235,000","2,149,000","-313,000",Upgrade,Financials in USD,Fiscal year is January - December
