Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Shares Outstanding (Diluted),"4,766,440,000","2,720,224,000","679,105,000","661,605,000","644,186,000","686,135,000","671,964,000","681,352,000","674,663,000","672,321,000",Upgrade,Financials in GBP,Fiscal year is July - June
Shares Change (YoY),601.871%,311.155%,5.421%,-3.575%,-4.134%,0.702%,-0.400%,1.343%,0.462%,0.670%,Upgrade,Financials in GBP,Fiscal year is July - June
EPS (Basic),-0.005,-0.006,-0.051,-0.013,-0.032,0.010,-0.019,0.023,-0.013,0.024,Upgrade,Financials in GBP,Fiscal year is July - June
EPS (Diluted),-0.005,-0.006,-0.051,-0.013,-0.032,0.010,-0.019,0.022,-0.013,0.023,Upgrade,Financials in GBP,Fiscal year is July - June
EPS Growth,-,-,-,-,-,-55.708%,-,-3.524%,-,46.452%,Upgrade,Financials in GBP,Fiscal year is July - June
Free Cash Flow,"-22,900,000","-12,639,000","-23,844,000","-9,706,000","-19,924,000","2,867,000","-6,395,000","12,422,000","-3,370,000","13,591,000",Upgrade,Financials in GBP,Fiscal year is July - June
Free Cash Flow Per Share,-0.005,-0.005,-0.035,-0.015,-0.031,0.004,-0.010,0.018,-0.005,0.020,Upgrade,Financials in GBP,Fiscal year is July - June
Operating Margin,-105.743%,-34.153%,-140.475%,-18.879%,-82.212%,15.231%,-39.120%,29.203%,-28.134%,25.349%,Upgrade,Financials in GBP,Fiscal year is July - June
Profit Margin,-113.585%,-46.619%,-175.582%,-21.318%,-84.941%,13.699%,-39.780%,27.648%,-29.634%,30.266%,Upgrade,Financials in GBP,Fiscal year is July - June
Free Cash Flow Margin,-105.886%,-37.647%,-121.122%,-24.325%,-82.768%,5.888%,-21.106%,22.990%,-12.152%,26.928%,Upgrade,Financials in GBP,Fiscal year is July - June
EBITDA,"-22,814,000","-9,352,000","-27,646,000","-5,431,000","-20,056,000","9,817,000","-11,699,000","17,812,000","-7,579,000","14,716,000",Upgrade,Financials in GBP,Fiscal year is July - June
D&A For EBITDA,"55,000","2,114,000","8,000","2,102,000","-266,000","2,400,000","154,000","2,033,000","223,000","1,922,000",Upgrade,Financials in GBP,Fiscal year is July - June
EBIT,"-22,869,000","-11,466,000","-27,654,000","-7,533,000","-19,790,000","7,417,000","-11,853,000","15,779,000","-7,802,000","12,794,000",Upgrade,Financials in GBP,Fiscal year is July - June
