Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Operating Income,"-2,055,000","-2,588,000","-6,406,000","-4,271,000","-3,986,000","-980,000","-6,486,000","-8,150,000","-4,451,000","-4,871,000","-5,199,000","-3,341,000","-2,298,000","-2,727,000","-2,727,000",Financials in USD,Fiscal year is January - December
Interest Expense,-,"-32,000","-42,000","-272,000","-21,000","-21,000","-23,000","-2,038,000","-559,000","-556,000","-584,000","-317,000","-300,000","-338,000","-338,000",Financials in USD,Fiscal year is January - December
Interest & Investment Income,"33,000","16,000","48,000","325,000","104,000","67,000","54,000","9,000",-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),"238,000","-1,000","-8,000","-199,000","-3,000","1,316,000","-19,000","-3,238,000","-3,000","-11,000","-3,000","-8,000",-,"-8,000","-8,000",Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,784,000","-2,605,000","-6,408,000","-4,417,000","-3,906,000","382,000","-6,474,000","-13,417,000","-5,013,000","-5,438,000","-5,786,000","-3,666,000","-2,598,000","-3,073,000","-3,073,000",Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,"-3,841,000","1,757,000","-1,405,000","-7,000","-6,000","-14,656,000","-654,000","-440,000","811,000","556,000","-302,000","169,500","169,500",Financials in USD,Fiscal year is January - December
Pretax Income,"-1,784,000","-2,605,000","-10,249,000","-2,660,000","-5,311,000","375,000","-6,480,000","-46,933,000","-5,667,000","-5,878,000","-4,975,000","-3,110,000","-2,900,000","-2,903,500","-2,903,500",Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-1,784,000","-2,605,000","-10,249,000","-2,660,000","-5,311,000","375,000","-6,480,000","-46,933,000","-5,667,000","-5,878,000","-4,975,000","-3,110,000","-2,900,000","-2,903,500","-2,903,500",Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"2,000","1,000","11,000","6,000","-69,000","11,000","29,000","-36,000","82,000",-,"-1,000","-2,000","-12,000","7,000","7,000",Financials in USD,Fiscal year is January - December
Net Income,"-1,782,000","-2,604,000","-10,238,000","-2,654,000","-5,380,000","386,000","-6,451,000","-46,969,000","-5,585,000","-5,878,000","-4,976,000","-3,112,000","-2,912,000","-2,896,500","-2,896,500",Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,782,000","-2,604,000","-10,238,000","-2,654,000","-5,380,000","386,000","-6,451,000","-46,969,000","-5,585,000","-5,878,000","-4,976,000","-3,112,000","-2,912,000","-2,896,500","-2,896,500",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"13,448,000","13,061,000","11,443,000","12,701,000","11,738,000","9,939,000","8,361,000","5,280,000","4,891,000","4,795,000","4,663,000","67,673,000","65,489,000","59,646,000","59,646,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"13,448,000","13,061,000","11,443,000","12,701,000","11,738,000","9,939,000","8,361,000","5,280,000","4,891,000","4,795,000","4,663,000","67,673,000","65,489,000","59,646,000","59,646,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),14.568%,31.412%,36.862%,140.549%,139.992%,107.278%,79.305%,-92.198%,-92.532%,-91.961%,-92.182%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.133,-0.199,-0.895,-0.209,-0.458,0.039,-0.772,-8.896,-1.142,-1.226,-1.067,-0.046,-0.044,-0.049,-0.049,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.133,-0.199,-0.895,-0.209,-0.458,0.039,-0.772,-8.896,-1.142,-1.226,-1.067,-0.046,-0.044,-0.049,-0.049,Financials in USD,Fiscal year is January - December
Free Cash Flow,"977,000","-1,223,000","-4,011,000","-4,075,000","-229,000","-6,965,000","-4,940,000","-7,549,000","-3,084,000","-3,076,000","-5,391,000","-5,469,000","-4,065,000","-4,159,500","-4,159,500",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.073,-0.094,-0.351,-0.321,-0.020,-0.701,-0.591,-1.430,-0.631,-0.642,-1.156,-0.081,-0.062,-0.070,-0.070,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,54.234%,-,-,-,100.000%,-,100.000%,100.000%,100.000%,100.000%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-18.989%,-2308.185%,-1673.511%,-2225.500%,-584.754%,-1200.693%,-194.244%,-94.142%,-110.629%,-110.629%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,7.479%,-2295.730%,-9644.559%,-2792.500%,-705.642%,-1149.192%,-180.930%,-119.295%,-117.505%,-117.505%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-134.954%,-1758.007%,-1550.103%,-1542.000%,-369.268%,-1245.035%,-317.965%,-166.530%,-168.742%,-168.742%,Financials in USD,Fiscal year is January - December
EBITDA,"-2,052,750","-2,585,750","-6,403,750","-4,267,000","-3,985,000","-978,000","-6,484,000","-8,116,000","-4,446,000","-4,853,000","-5,183,000","-3,324,000","-2,282,000","-2,704,000","-2,704,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-18.950%,-,-,-,-,-,-193.256%,-93.486%,-109.696%,-109.696%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,250","2,250","2,250","4,000","1,000","2,000","2,000","34,000","5,000","18,000","16,000","17,000","16,000","23,000","23,000",Financials in USD,Fiscal year is January - December
EBIT,"-2,055,000","-2,588,000","-6,406,000","-4,271,000","-3,986,000","-980,000","-6,486,000","-8,150,000","-4,451,000","-4,871,000","-5,199,000","-3,341,000","-2,298,000","-2,727,000","-2,727,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-18.988%,-,-,-,-,-,-194.244%,-94.142%,-110.629%,-110.629%,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,"5,161,000","281,000","487,000","200,000","833,000","433,000","1,720,000","2,441,000","2,465,000","2,465,000",Financials in USD,Fiscal year is January - December
