Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Gain (Loss) on Sale of Assets,-,"775,000",-,-,"400,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"103,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-7,172,000","-7,139,000","-7,258,000","-6,493,000","-7,850,000","-5,980,000","-5,113,000","-4,747,000","-4,458,000","-22,148,000","-3,695,000","-3,305,000","-2,546,000","-2,378,000","-2,373,000","-953,000","-1,760,000","-459,000","-1,890,000","-1,058,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"-138,000","-19,000","-19,000","-147,000",-,"-12,000","-56,000","-18,000","-29,000","233,000","-404,000","-192,000","-116,000","-73,000","-89,000","-40,000","-92,000","-84,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-7,172,000","-7,139,000","-7,120,000","-6,474,000","-7,831,000","-5,833,000","-5,113,000","-4,735,000","-4,402,000","-22,130,000","-3,666,000","-3,538,000","-2,142,000","-2,186,000","-2,257,000","-880,000","-1,671,000","-419,000","-1,798,000","-974,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,"9,140,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-7,172,000","-7,139,000","-7,120,000","-15,614,000","-7,831,000","-5,833,000","-5,113,000","-4,735,000","-4,402,000","-22,130,000","-3,666,000","-3,538,000","-2,142,000","-2,186,000","-2,257,000","-880,000","-1,671,000","-419,000","-1,798,000","-974,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,854,861","4,854,861","3,125,835","237,234","145,711","36,650","13,018",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,854,861","4,854,861","3,125,835","237,234","145,711","36,650","13,018",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),3231.842%,13146.551%,23911.638%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.477,-1.470,-2.278,-65.817,-53.743,-159.154,-392.764,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.477,-1.470,-2.278,-65.817,-53.743,-159.154,-392.764,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,120,000","-981,000","-9,392,000","-3,080,000","-6,677,000","-5,741,000","-9,751,000","-5,003,000","-1,593,000","-4,197,000","-4,483,000","-2,228,000","-1,359,000","-1,693,000","-1,965,000","-1,113,000","-765,000","-856,000","-1,120,000","-872,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.437,-0.202,-3.005,-12.983,-45.824,-156.644,-749.040,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-7,165,000","-8,103,000","-6,726,000","-7,044,000","-7,846,000","-5,877,000","-4,860,000","-5,181,000","-3,623,000","-21,286,000","-4,004,000","-3,311,000","-2,210,000","-2,226,000","-2,248,000","-1,601,000","-1,996,000","-1,104,000","-1,066,000","-1,239,000",Upgrade,Financials in USD,Fiscal year is January - December
