Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+14 Quarters,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-8,204,000","28,000","-5,232,000","-4,958,000","-12,567,000","10,845,000","-21,555,000","-24,584,000","-24,420,000","-21,611,000","-9,643,000","-30,387,000","-15,601,000","-26,778,000","-26,290,000","-23,225,000","-29,991,000","-22,013,000","-15,881,000","-16,096,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,"-76,000","-399,000",-,"-37,000","-28,000",-,-,-,-,-,-,"-2,155,000",-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,"-430,000",-,-,-,"-600,000",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"107,000","544,000","1,273,000","881,000","2,098,000",-,-,-,-,-,-,-,-,-,-,-,"-1,237,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-8,097,000","572,000","-3,959,000","-4,153,000","-10,868,000","10,845,000","-22,022,000","-24,612,000","-24,420,000","-21,611,000","-10,243,000","-30,387,000","-15,601,000","-26,778,000","-28,445,000","-23,225,000","-31,228,000","-22,013,000","-15,881,000","-38,219,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,"-11,000",-,-,-,"27,000","26,000",-,-,-,-,-,-,-,-,-,"5,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-8,097,000","572,000","-3,948,000","-4,153,000","-10,868,000","10,845,000","-22,049,000","-24,638,000","-24,420,000","-21,611,000","-10,243,000","-30,387,000","-15,601,000","-26,778,000","-28,445,000","-23,225,000","-31,228,000","-22,018,000","-15,881,000","-38,219,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-8,097,000","572,000","-3,948,000","-4,153,000","-10,868,000","10,845,000","-22,049,000","-24,638,000","-24,420,000","-21,611,000","-10,243,000","-30,387,000","-15,601,000","-26,778,000","-28,445,000","-23,225,000","-31,228,000","-22,018,000","-15,881,000","-38,219,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-94.726%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"6,557,295","5,374,268","5,374,268","5,092,859","3,756,711","3,756,711","3,756,777","3,756,658","3,755,306","3,753,670","3,753,670","3,744,976","3,739,749","3,504,309","3,331,368","3,268,433","3,048,366","3,043,271","2,703,472","2,462,528",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"6,557,295","7,015,864","5,374,268","5,092,859","3,756,711","3,756,711","3,756,777","3,756,658","3,755,306","3,753,670","3,753,670","3,744,976","3,739,749","3,504,309","3,331,368","3,268,433","3,048,366","3,043,271","2,703,472","2,462,528",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),74.549%,86.755%,43.055%,35.569%,0.037%,0.081%,0.083%,0.312%,0.416%,7.116%,12.677%,14.580%,22.680%,15.149%,23.226%,32.727%,24.187%,24.252%,10.828%,33.445%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.235,0.106,-0.735,-0.815,-2.893,2.887,-5.869,-6.558,-6.503,-5.757,-2.729,-8.114,-4.172,-7.641,-8.539,-7.106,-10.244,-7.235,-5.874,-15.520,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.235,0.080,-0.735,-0.815,-2.893,2.887,-5.869,-6.558,-6.503,-5.757,-2.788,-8.114,-4.200,-7.641,-8.539,-7.106,-10.244,-7.235,-5.874,-15.520,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-97.229%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,859,000","-5,244,000","-5,287,000","-7,534,000","-9,655,000","-19,544,000","-18,744,000","-25,413,000","-19,816,000","-28,249,000","-23,344,000","-26,133,000","-26,685,000","41,779,000","-24,386,000","-20,901,000","-26,815,000","-19,087,000","10,708,000","-21,602,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.894,-0.747,-0.984,-1.479,-2.570,-5.202,-4.989,-6.765,-5.277,-7.526,-6.219,-6.978,-7.136,11.922,-7.320,-6.395,-8.797,-6.272,3.961,-8.772,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,33.204%,-25.370%,-12.184%,-95.382%,48.014%,-,-,-,-153.323%,-7.643%,-,-39.599%,-,-,-,-,-,-167.436%,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-1450.350%,-0.451%,-76.554%,-75.589%,-171.056%,32.174%,-790.080%,-558.184%,-532.352%,-243.118%,-48.436%,-1241.236%,-98.553%,-817.671%,-741.121%,-532.131%,-433.015%,-534.581%,-264.709%,-446.103%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-1415.559%,5.160%,-56.271%,-61.109%,-158.310%,29.608%,-844.466%,-581.085%,-552.864%,-254.667%,-57.020%,-1277.301%,-103.086%,-831.615%,-813.411%,-540.368%,-451.990%,-531.707%,-256.269%,-1056.357%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-1024.301%,-47.303%,-75.356%,-110.859%,-140.641%,-53.357%,-717.886%,-599.363%,-448.630%,-332.889%,-129.949%,-1098.487%,-176.325%,1297.484%,-697.341%,-486.296%,-388.117%,-460.927%,172.793%,-597.070%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-7,220,000","1,101,000","-4,144,000","-3,602,000","-9,704,000","13,740,000","-18,784,000","-21,826,000","-21,601,000","-18,723,000","-6,864,000","-27,802,000","-13,256,000","-24,787,000","-24,494,000","-21,632,000","-29,187,000","-21,487,000","-15,826,000","-15,790,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,9.931%,-59.065%,-53.002%,-141.355%,37.511%,-,-,-,-220.634%,-38.210%,-,-87.591%,-,-,-,-,-,-255.382%,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,076,000","1,151,000","1,227,000","1,535,000","2,039,000","1,955,000","1,845,000","1,841,000","1,913,000","1,908,000","1,837,000","1,727,000","1,659,000","1,542,000","1,423,000","1,239,000","730,000","650,000","578,000","350,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-8,296,000","-50,000","-5,371,000","-5,137,000","-11,743,000","11,785,000","-20,629,000","-23,667,000","-23,514,000","-20,631,000","-8,701,000","-29,529,000","-14,915,000","-26,329,000","-25,917,000","-22,871,000","-29,917,000","-22,137,000","-16,404,000","-16,140,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-0.451%,-76.553%,-75.588%,-171.056%,32.174%,-,-,-,-243.118%,-48.436%,-,-98.553%,-,-,-,-,-,-264.709%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"572,000","11,086,000","7,016,000","6,796,000","6,865,000","36,629,000","2,611,000","4,240,000","4,417,000","8,486,000","17,964,000","2,379,000","15,134,000","3,220,000","3,497,000","4,298,000","6,909,000","4,141,000","6,197,000","3,618,000",Upgrade,Financials in USD,Fiscal year is January - December
