Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Pretax Income,"-2,621,000","-15,373,000","-15,090,000","-14,658,000","-21,350,000","-16,949,000","1,858,000","3,392,000","-29,552,000","-46,707,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,"-2,523,000","-2,891,000","1,707,000","-1,288,000","-1,690,000","-803,000","632,000","-2,396,000","-4,013,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-2,621,000","-12,850,000","-12,199,000","-16,365,000","-20,062,000","-15,259,000","2,661,000","2,760,000","-27,156,000","-42,694,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-2,621,000","-12,850,000","-12,199,000","-16,365,000","-20,062,000","-15,259,000","2,661,000","2,760,000","-27,156,000","-42,694,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,-,-,-,"1,000","-50,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,621,000","-12,850,000","-12,199,000","-16,365,000","-20,062,000","-15,259,000","2,661,000","2,760,000","-27,155,000","-42,744,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,621,000","-12,850,000","-12,199,000","-16,365,000","-20,062,000","-15,259,000","2,661,000","2,760,000","-27,155,000","-42,744,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"228,392,286","228,443,477","221,762,449","120,014,475","119,971,061","119,971,061","119,971,061","94,093,791","91,862,559","91,862,559",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"228,392,286","228,443,477","221,762,449","120,014,475","119,971,061","119,971,061","120,736,891","94,093,791","91,862,559","91,862,559",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.990%,90.347%,84.847%,0.036%,-0.634%,27.502%,31.432%,2.429%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.011,-0.056,-0.055,-0.136,-0.167,-0.127,0.022,0.029,-0.296,-0.465,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.011,-0.056,-0.055,-0.136,-0.167,-0.128,0.022,0.029,-0.296,-0.465,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,556,000","-1,223,000","-2,369,000","3,858,000","-3,364,000","-906,000","-840,000","-1,811,000","-3,917,000","-4,550,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.011,-0.005,-0.011,0.032,-0.028,-0.008,-0.007,-0.019,-0.043,-0.050,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-5806.977%,-6127.751%,-5306.714%,-15342.574%,-117523.077%,-,-402.505%,-675.647%,-16900.000%,-33005.263%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-6095.349%,-6148.325%,-4310.601%,-16202.970%,-154323.077%,-,81.277%,174.132%,-31947.059%,-74989.474%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-5944.186%,-585.167%,-837.102%,3819.802%,-25876.923%,-,-25.657%,-114.259%,-4608.235%,-7982.456%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-2,492,000","-2,994,000","-2,631,000","-2,878,000","-2,928,000","-2,968,000","-2,016,000","-1,945,000","-3,694,000","-4,647,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"5,000","9,813,000","12,387,000","12,618,000","12,350,000","12,619,000","11,162,000","8,764,000","10,671,000","14,166,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-2,497,000","-12,807,000","-15,018,000","-15,496,000","-15,278,000","-15,587,000","-13,178,000","-10,709,000","-14,365,000","-18,813,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"-14,000","286,000","253,000","1,399,000","-5,419,000",-,"19,037,000","3,146,000","-997,000",-,Upgrade,Financials in USD,Fiscal year is January - December
