Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2015,Currency,Fiscal_Year_period
Merger & Restructuring Charges,-,-,-,"-1,100,000",-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Impairment of Goodwill,"-6,017,000","-6,017,000","-1,640,000",-,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,"453,000","-54,000","-1,195,000",-,Upgrade,Financials in CHF,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"125,000","125,000",-,-,"3,382,000",-,Upgrade,Financials in CHF,Fiscal year is January - December
Asset Writedown,"-34,054,000","-89,878,000","-24,784,000",-,"11,200,000","-11,200,000",Upgrade,Financials in CHF,Fiscal year is January - December
Legal Settlements,-,-,-,-,-,"155,000",Upgrade,Financials in CHF,Fiscal year is January - December
Other Unusual Items,"4,782,000","4,782,000","8,892,000","1,059,000","250,000","-70,000",Upgrade,Financials in CHF,Fiscal year is January - December
Pretax Income,"-51,539,000","-111,684,000","-54,316,000","-35,525,000","-6,261,000","-12,162,000",Upgrade,Financials in CHF,Fiscal year is January - December
Income Tax Expense,"-5,300,000","-13,503,000","-3,526,000","-820,000","1,567,000","-4,702,000",Upgrade,Financials in CHF,Fiscal year is January - December
Net Income,"-46,239,000","-98,181,000","-50,790,000","-34,705,000","-7,828,000","-7,460,000",Upgrade,Financials in CHF,Fiscal year is January - December
Net Income to Common,"-46,239,000","-98,181,000","-50,790,000","-34,705,000","-7,828,000","-7,460,000",Upgrade,Financials in CHF,Fiscal year is January - December
Shares Outstanding (Basic),"12,488,035","11,752,466","10,570,281","8,982,674","6,033,057","5,259,628",Upgrade,Financials in CHF,Fiscal year is January - December
Shares Outstanding (Diluted),"12,488,035","11,752,466","10,570,281","8,982,674","6,033,057","5,259,628",Upgrade,Financials in CHF,Fiscal year is January - December
Shares Change (YoY),14.389%,11.184%,17.674%,48.891%,14.705%,2.620%,Upgrade,Financials in CHF,Fiscal year is January - December
EPS (Basic),-3.703,-8.354,-4.805,-3.864,-1.298,-1.418,Upgrade,Financials in CHF,Fiscal year is January - December
EPS (Diluted),-3.703,-8.354,-4.805,-3.864,-1.298,-1.418,Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow,"-10,389,000","-18,058,000","-24,159,000","-35,718,000","-18,254,000","-728,000",Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow Per Share,-0.832,-1.537,-2.286,-3.976,-3.026,-0.138,Upgrade,Financials in CHF,Fiscal year is January - December
Gross Margin,68.562%,68.175%,79.444%,77.416%,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Operating Margin,-143.382%,-328.858%,-574.922%,-1030.894%,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Profit Margin,-537.788%,-1627.399%,-835.224%,-1045.017%,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow Margin,-120.830%,-299.320%,-397.287%,-1075.519%,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
EBITDA,"-9,813,000","-17,059,000","-31,493,000","-32,380,000","-19,362,000","-946,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBITDA Margin,-114.131%,-282.761%,-,-,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
D&A For EBITDA,"2,515,000","2,781,000","3,468,000","1,856,000","1,000","1,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBIT,"-12,328,000","-19,840,000","-34,961,000","-34,236,000","-19,363,000","-947,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBIT Margin,-143.382%,-,-,-,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Revenue as Reported,"8,893,000","6,328,000","7,110,000","4,492,000","273,000",-,Upgrade,Financials in CHF,Fiscal year is January - December
