Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Interest Expense,"-5,722","-5,660","-5,660","-2,834","-2,965","-3,639","-3,600","-5,134","-5,472","-6,871","-105,256","-76,230","-125,224","-72,816","-12,747","-175,490","-184,531","-402,766","-342,582","-313,589",Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-,1,-,"400,834","6,536","308,494","213,751","1,247,786","-551,941","-498,532",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-46,165","-44,917","-44,611","-46,861","-53,430","-45,043","-43,068","-47,401","-54,776","-49,905","-147,686","-196,331","-199,562","265,544","-92,443","79,472","-41,705","763,117","-982,620","-937,102",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-472,170",-,"472,170",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-69,749",Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,"-48,000","-12,500",-,-,"-52,716","-304,508","-22,210","9,908","-417,555","-132,838","-228,949","-89,186",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-46,165","-44,917","-44,611","-46,861","-53,430","-45,043","-43,068","-47,401","-102,776","-62,405","-147,686","-196,331","-252,278","-38,964","-114,653","-382,790","-459,260","1,102,449","-1,211,569","-1,096,037",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-46,165","-44,917","-44,611","-46,861","-53,430","-45,043","-43,068","-47,401","-102,776","-62,405","-147,686","-196,331","-252,278","-38,964","-114,653","-382,790","-459,260","1,102,449","-1,211,569","-1,096,037",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-46,165","-44,917","-44,611","-46,861","-53,430","-45,043","-43,068","-47,401","-102,776","-62,405","-147,686","-196,331","-252,278","-38,964","-114,653","-382,790","-459,260","1,102,449","-1,211,569","-1,096,037",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"804,638,436","804,638,436","732,638,436","788,698,836","766,682,836","732,638,436","732,638,436","707,572,101","617,916,769","516,971,769","508,638,436","508,638,437","492,984,603","478,638,436","477,746,352","328,815,147","130,367,164","75,447,161","46,959,776","36,600,769",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"804,638,436","804,638,436","732,638,436","788,698,836","766,682,836","732,638,436","732,638,436","707,572,101","617,916,769","516,971,769","508,638,436","508,638,437","492,984,603","478,638,436","477,746,352","328,815,147","130,367,164","75,447,161","46,959,776","36,600,769",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),4.951%,9.827%,-,11.466%,24.075%,41.717%,44.039%,39.111%,25.342%,8.009%,6.466%,54.688%,278.151%,534.402%,917.352%,798.383%,268.686%,117.569%,41.102%,16.042%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.000,-0.000,-0.001,-0.004,0.015,-0.026,-0.030,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.000,-0.000,-0.001,-0.004,0.015,-0.026,-0.030,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-18,034","-49,007","-37,536","-32,673","-41,215","-10,806","-18,477","-19,064","-22,103","-56,392","-9,931","-78,838","-72,572","-37,792","-46,231","-28,929","-49,886","-79,797","-131,015","-21,186",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,-0.001,-0.003,-0.001,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-10.095%,-,-,-,-2.697%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-494.648%,-,-,-,-170.475%,-,-2777.356%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-308.504%,-,-,-,2294.665%,-,-24356.378%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-299.224%,-,-,-,-166.091%,-,-470.800%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-39,193","-38,007","-37,701","-42,777","-49,215","-40,154","-38,218","-41,017","-48,054","-41,784","-41,180","-118,852","-73,088","-61,224","-84,982","-52,282","-69,675","-80,653","-87,264","-119,981",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-167.873%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250","1,250",833,"5,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-40,443","-39,257","-38,951","-44,027","-50,465","-41,404","-39,468","-42,267","-49,304","-43,034","-42,430","-120,102","-74,338","-62,474","-86,232","-53,532","-70,925","-81,903","-88,097","-124,981",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-170.475%,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,630",-,-,-,"48,044",-,"4,500",Upgrade,Financials in USD,Fiscal year is January - December
