Fiscal Quarter,Q2 2025,Q1 2025,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Currency,Fiscal_Year_period
Shares Change (YoY),0.292%,5.072%,16.473%,16.797%,26.789%,25.508%,16.921%,23.939%,32.223%,35.651%,58.085%,51.962%,31.217%,-,-,-,-,Financials in CAD,Fiscal year is February - January
EPS (Basic),-0.013,-0.011,-0.010,-0.016,-0.022,-0.024,-0.030,-0.020,-0.034,-0.014,-0.024,-0.030,-0.018,-0.028,-0.026,-0.005,-0.002,Financials in CAD,Fiscal year is February - January
EPS (Diluted),-0.013,-0.011,-0.010,-0.016,-0.022,-0.024,-0.030,-0.020,-0.034,-0.014,-0.024,-0.030,-0.018,-0.028,-0.026,-0.005,-0.002,Financials in CAD,Fiscal year is February - January
Free Cash Flow,"-284,558","-804,514","24,515","-285,121","-926,914","-2,097,514","-354,870","-2,375,509","-1,029,855","-828,962","-1,226,599","-1,300,520","-735,145","-619,259","-432,876",-,-13,Financials in CAD,Fiscal year is February - January
Free Cash Flow Per Share,-0.004,-0.011,0.000,-0.004,-0.013,-0.030,-0.006,-0.038,-0.018,-0.015,-0.022,-0.026,-0.017,-0.015,-0.012,-,-0.000,Financials in CAD,Fiscal year is February - January
Gross Margin,-,-,-,-,-,-,-,-,-,-,-,100.000%,-,-,-,-,-,Financials in CAD,Fiscal year is February - January
Operating Margin,-,-,-,-,-,-,-,-,-,-,-,-367778.450%,-,-,-,-,-,Financials in CAD,Fiscal year is February - January
Profit Margin,-,-,-,-,-,-,-,-,-,-,-,-367883.535%,-,-,-,-,-,Financials in CAD,Fiscal year is February - January
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-314895.884%,-,-,-,-,-,Financials in CAD,Fiscal year is February - January
EBITDA,"-913,668","-784,346","-1,033,505","-866,059","-1,573,211","-1,703,035","-1,956,316","-1,248,465","-1,984,863","-775,430","-1,303,367","-1,515,467","-760,685","-1,142,220",-,-,-,Financials in CAD,Fiscal year is February - January
D&A For EBITDA,"5,320","5,321","5,030","5,927","4,910","5,842","1,429","2,797","5,350","5,344","3,929","3,458","5,661",965,-,-,-,Financials in CAD,Fiscal year is February - January
EBIT,"-918,988","-789,667","-1,038,535","-871,986","-1,578,121","-1,708,877","-1,957,745","-1,251,262","-1,990,213","-780,774","-1,307,296","-1,518,925","-766,346","-1,143,185","-452,994","-163,991","-52,673",Financials in CAD,Fiscal year is February - January
