Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Interest Expense,"-10,900,000",-,"-15,000,000","-12,400,000","-11,400,000","-11,700,000","-12,000,000","-12,400,000","-14,700,000","-17,500,000",Upgrade,Financials in EUR,Fiscal year is January - December
Interest & Investment Income,"5,600,000",-,"3,000,000","3,400,000","1,900,000","1,300,000","600,000","1,200,000","1,100,000","1,200,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Equity Investments,"100,000",-,"-10,300,000","-1,000,000","-500,000","300,000","100,000","-200,000","-1,300,000","2,300,000",Upgrade,Financials in EUR,Fiscal year is January - December
Currency Exchange Gain (Loss),"-12,100,000",-,"-8,000,000","6,100,000","3,100,000","-3,700,000","2,800,000","8,300,000","3,300,000","-4,200,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Non Operating Income (Expenses),"-7,200,000",-,"-6,900,000","-12,400,000","-5,500,000","-9,500,000","-6,600,000","-16,600,000","30,400,000","36,300,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBT Excluding Unusual Items,"296,500,000",-,"287,400,000","422,300,000","492,700,000","436,000,000","411,800,000","392,400,000","365,700,000","393,500,000",Upgrade,Financials in EUR,Fiscal year is January - December
Merger & Restructuring Charges,"-3,500,000",-,"-17,600,000","-95,200,000","-3,700,000","-25,100,000","-27,200,000","-71,000,000","-15,400,000","-18,700,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-3,500,000",-,"-6,800,000","900,000","1,700,000","-800,000","3,900,000","7,400,000","200,000","-1,800,000",Upgrade,Financials in EUR,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,"5,700,000",-,"-3,700,000",Upgrade,Financials in EUR,Fiscal year is January - December
Asset Writedown,-,-,"-11,900,000","-114,300,000",-,"-9,100,000",-,"-72,200,000","-81,700,000","-668,800,000",Upgrade,Financials in EUR,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,-,"-19,700,000",Upgrade,Financials in EUR,Fiscal year is January - December
Pretax Income,"289,500,000",-,"251,100,000","213,700,000","490,700,000","401,000,000","388,500,000","262,300,000","268,800,000","-319,200,000",Upgrade,Financials in EUR,Fiscal year is January - December
Income Tax Expense,"47,200,000",-,"56,000,000","3,800,000","108,500,000","63,100,000","95,200,000","-65,300,000","47,500,000","-48,300,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Continuing Operations,"242,300,000",-,"195,100,000","209,900,000","382,200,000","337,900,000","293,300,000","327,600,000","221,300,000","-270,900,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Discontinued Operations,"-10,000,000",-,-,"43,300,000","12,100,000","5,500,000","10,000,000","-1,400,000","1,400,000","100,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Company,"232,300,000",-,"195,100,000","253,200,000","394,300,000","343,400,000","303,300,000","326,200,000","222,700,000","-270,800,000",Upgrade,Financials in EUR,Fiscal year is January - December
Minority Interest in Earnings,"-300,000",-,"100,000","1,100,000",-,"-800,000","700,000","-100,000","-800,000",-,Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"232,000,000",-,"195,200,000","254,300,000","394,300,000","342,600,000","304,000,000","326,100,000","221,900,000","-270,800,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"232,000,000",-,"195,200,000","254,300,000","394,300,000","342,600,000","304,000,000","326,100,000","221,900,000","-270,800,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income Growth,18.852%,-,-50.495%,-25.773%,29.704%,5.060%,36.999%,-,0.818%,-,Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"82,857,142",-,"82,711,864","82,338,069","82,489,539","82,234,603","83,060,109","82,821,064","83,108,614","83,133,483",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"83,453,237",-,"83,063,829","83,010,036","83,185,654","82,970,296","83,746,556","83,475,176","83,421,052","83,643,446",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Change (YoY),0.469%,-,-0.146%,0.048%,-0.670%,-0.605%,0.390%,-0.201%,0.060%,0.156%,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Basic),2.800,-,2.360,3.088,4.780,4.166,3.660,3.937,2.670,-3.257,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Diluted),2.780,-,2.350,3.065,4.740,4.128,3.630,3.910,2.660,-3.257,Upgrade,Financials in EUR,Fiscal year is January - December
EPS Growth,18.298%,-,-50.422%,-25.758%,30.579%,5.593%,36.466%,-,0.758%,-,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"406,700,000",-,"388,800,000","493,700,000","381,100,000","487,200,000","318,400,000","431,100,000","260,300,000","366,500,000",Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,4.873,-,4.681,5.947,4.581,5.872,3.802,5.164,3.120,4.382,Upgrade,Financials in EUR,Fiscal year is January - December
Operating Margin,18.324%,-,19.999%,26.446%,33.721%,31.628%,32.930%,29.877%,26.544%,26.816%,Upgrade,Financials in EUR,Fiscal year is January - December
Profit Margin,13.244%,-,12.026%,15.333%,26.324%,23.592%,23.450%,23.642%,16.979%,-19.344%,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Margin,23.216%,-,23.954%,29.768%,25.442%,33.549%,24.560%,31.255%,19.917%,26.180%,Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA,"481,700,000",-,"480,200,000","520,000,000","610,900,000","519,600,000","539,600,000","466,200,000","463,400,000","472,100,000",Upgrade,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"160,700,000","170,100,000","155,600,000","81,400,000","105,800,000","60,300,000","112,700,000","54,100,000","116,500,000","96,700,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT,"321,000,000",-,"324,600,000","438,600,000","505,100,000","459,300,000","426,900,000","412,100,000","346,900,000","375,400,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue as Reported,"1,751,800,000",-,"1,623,100,000","1,658,500,000","1,497,900,000","1,452,300,000","1,296,300,000","1,379,300,000","1,306,900,000","1,399,900,000",Upgrade,Financials in EUR,Fiscal year is January - December
