Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,"-8,647,000",Upgrade,Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"-255,000","-2,002,000","-386,000","423,000","-296,000","-8,236,000","-8,237,000","-888,000","2,950,000","-109,000",Upgrade,Financials in CNY,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,"-172,807,000",-,"-36,000,000",Upgrade,Financials in CNY,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,"318,000",-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Pretax Income,"862,083,000","568,965,000","671,288,000","505,617,000","411,408,000","339,681,000","380,422,000","93,215,000","301,809,000","292,815,000",Upgrade,Financials in CNY,Fiscal year is January - December
Income Tax Expense,"235,604,000","90,920,000","179,823,000","113,967,000","80,285,000","91,463,000","71,966,000","51,903,000","48,088,000","77,321,000",Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Continuing Operations,"626,479,000","478,045,000","491,465,000","391,650,000","331,123,000","248,218,000","308,456,000","41,312,000","253,721,000","215,494,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income,"626,479,000","478,045,000","491,465,000","391,650,000","331,123,000","248,218,000","308,456,000","41,312,000","253,721,000","215,494,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income to Common,"626,479,000","478,045,000","491,465,000","391,650,000","331,123,000","248,218,000","308,456,000","41,312,000","253,721,000","215,494,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income Growth,27.472%,22.059%,48.424%,57.785%,7.349%,500.838%,21.573%,-80.829%,-11.797%,-13.404%,Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Basic),"755,400,000","755,400,000","755,400,000","755,400,000","755,400,000","755,404,291","754,877,901","754,615,041","758,879,401","771,707,451",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Diluted),"755,400,000","755,400,000","755,400,000","755,400,000","755,400,000","755,404,291","754,877,901","754,615,041","758,879,401","771,707,451",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Change (YoY),-,-,-,-0.001%,0.069%,0.105%,-0.527%,-2.215%,-3.963%,-4.692%,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Basic),0.829,0.633,0.651,0.518,0.438,0.329,0.409,0.055,0.334,0.279,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Diluted),0.829,0.630,0.650,0.518,0.438,0.329,0.409,0.055,0.330,0.279,Upgrade,Financials in CNY,Fiscal year is January - December
EPS Growth,27.590%,21.512%,48.286%,57.786%,7.274%,500.217%,23.824%,-80.381%,-8.334%,-9.208%,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow,"489,618,000","516,078,000","272,232,000","595,427,000","384,786,000","262,947,000","346,570,000","261,046,000","311,493,000","88,174,000",Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Per Share,0.648,0.683,0.360,0.788,0.509,0.348,0.459,0.346,0.410,0.114,Upgrade,Financials in CNY,Fiscal year is January - December
Dividend Per Share,0.540,-,0.420,-,0.320,-,0.390,0.210,0.110,0.120,Upgrade,Financials in CNY,Fiscal year is January - December
Dividend Growth,28.571%,-,31.250%,-,-17.949%,-,254.545%,75.000%,0%,0%,Upgrade,Financials in CNY,Fiscal year is January - December
Operating Margin,26.864%,18.136%,24.430%,17.403%,18.837%,13.665%,19.705%,17.605%,13.812%,19.191%,Upgrade,Financials in CNY,Fiscal year is January - December
Profit Margin,30.023%,22.572%,20.489%,18.340%,18.242%,14.868%,19.848%,2.819%,21.319%,16.109%,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Margin,23.464%,24.368%,11.349%,27.883%,21.198%,15.750%,22.300%,17.812%,26.173%,6.591%,Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA,"641,249,000","463,874,000","672,107,000","452,427,000","435,803,000","309,553,000","395,561,000","353,372,000","268,476,000","344,880,000",Upgrade,Financials in CNY,Fiscal year is January - December
D&A For EBITDA,"80,678,000","79,784,000","86,102,000","80,786,000","93,868,000","81,418,000","89,331,000","95,356,000","104,094,000","88,165,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT,"560,571,000","384,090,000","586,005,000","371,641,000","341,935,000","228,135,000","306,230,000","258,016,000","164,382,000","256,715,000",Upgrade,Financials in CNY,Fiscal year is January - December
