Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,Currency,Fiscal_Year_period
Currency Exchange Gain (Loss),"3,235,000","-4,253,000","24,613,000","20,417,000","41,075,000","-37,194,000","-31,936,000","-213,625,000","31,789,000","50,410,000",Financials in CNY,Fiscal year is January - December
Other Non Operating Income (Expenses),"7,366,000","15,183,000","10,531,000","4,484,000","4,227,000","30,695,000","5,322,000","19,519,000","7,991,000","16,675,000",Financials in CNY,Fiscal year is January - December
EBT Excluding Unusual Items,"6,031,000","-337,116,000","-209,310,000","-505,920,000","-334,829,000","-1,080,975,000","-774,020,000","-549,960,000","-673,456,000","-1,074,992,000",Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"9,328,000","217,000","84,000","-35,189,000","-26,740,000","-64,373,000","169,000","204,000","2,213,000","2,446,000",Financials in CNY,Fiscal year is January - December
Gain (Loss) on Sale of Assets,"340,000","178,891,000",-,-,-,"-901,000",-,-,-,"-104,000",Financials in CNY,Fiscal year is January - December
Pretax Income,"15,699,000","-158,008,000","-209,226,000","-541,109,000","-361,569,000","-1,146,249,000","-773,851,000","-549,756,000","-671,243,000","-1,072,650,000",Financials in CNY,Fiscal year is January - December
Earnings From Continuing Operations,"15,699,000","-158,008,000","-209,226,000","-541,109,000","-361,569,000","-1,146,249,000","-773,851,000","-549,756,000","-671,243,000","-1,072,650,000",Financials in CNY,Fiscal year is January - December
Net Income,"15,699,000","-158,008,000","-209,226,000","-541,109,000","-361,569,000","-1,146,249,000","-773,851,000","-549,756,000","-671,243,000","-1,072,650,000",Financials in CNY,Fiscal year is January - December
Net Income to Common,"15,699,000","-158,008,000","-209,226,000","-541,109,000","-361,569,000","-1,146,249,000","-773,851,000","-549,756,000","-671,243,000","-1,072,650,000",Financials in CNY,Fiscal year is January - December
Shares Outstanding (Basic),"1,275,512,000","1,274,353,000","1,251,793,000","1,169,349,000","1,176,329,000","1,175,616,000","1,154,802,000","1,079,680,276","1,012,383,724","994,429,187",Financials in CNY,Fiscal year is January - December
Shares Outstanding (Diluted),"1,275,512,000","1,274,353,000","1,251,793,000","1,169,349,000","1,176,329,000","1,175,616,000","1,154,802,000","1,079,680,276","1,012,383,724","994,429,187",Financials in CNY,Fiscal year is January - December
Shares Change (YoY),1.895%,8.980%,6.415%,-0.533%,1.864%,8.886%,14.068%,8.573%,36.989%,464.229%,Financials in CNY,Fiscal year is January - December
EPS (Basic),0.012,-0.124,-0.167,-0.463,-0.307,-0.975,-0.670,-0.509,-0.663,-1.079,Financials in CNY,Fiscal year is January - December
EPS (Diluted),0.010,-0.124,-0.170,-0.463,-0.310,-0.977,-0.670,-0.512,-0.663,-1.081,Financials in CNY,Fiscal year is January - December
Free Cash Flow,"-187,132,000","-248,031,000","-340,827,000","-165,931,000","-444,812,000","-702,328,000","-872,722,000","84,420,000","-659,529,000","-698,579,000",Financials in CNY,Fiscal year is January - December
Free Cash Flow Per Share,-0.147,-0.195,-0.272,-0.142,-0.378,-0.597,-0.756,0.078,-0.651,-0.702,Financials in CNY,Fiscal year is January - December
Operating Margin,-1.440%,-173.743%,-97.129%,-242.895%,-144.693%,-655.775%,-946.781%,-34.509%,-,-,Financials in CNY,Fiscal year is January - December
Profit Margin,6.177%,-78.080%,-80.018%,-246.409%,-138.127%,-697.788%,-974.022%,-52.921%,-,-,Financials in CNY,Fiscal year is January - December
Free Cash Flow Margin,-73.626%,-122.564%,-130.348%,-75.561%,-169.928%,-427.547%,-1098.468%,8.126%,-,-,Financials in CNY,Fiscal year is January - December
EBITDA,"3,222,000","-342,381,000","-244,260,000","-526,070,000","-369,337,000","-1,074,228,000","-746,455,000","-355,169,000","-730,316,000","-1,184,128,000",Financials in CNY,Fiscal year is January - December
D&A For EBITDA,"6,882,000","9,219,000","9,707,000","7,322,000","9,418,000","3,007,000","5,753,000","3,324,000","3,122,000","3,312,000",Financials in CNY,Fiscal year is January - December
EBIT,"-3,660,000","-351,600,000","-253,967,000","-533,392,000","-378,755,000","-1,077,235,000","-752,208,000","-358,493,000","-733,438,000","-1,187,440,000",Financials in CNY,Fiscal year is January - December
