Fiscal Quarter,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Net Income to Common,"-8,834,000","-9,130,000","-8,303,000","-8,364,000","-10,014,000","-9,260,000","-9,559,000","-6,915,000","3,069,000","19,049,000","8,879,000","-5,548,000","-6,582,000","-397,000","-7,609,000","7,436,000","736,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"4,081,580","2,669,960","2,470,718","1,913,145","1,680,032","1,662,882","1,646,880","1,644,749","1,633,933","1,615,232","668,079","58,006","57,803","57,814","57,543","55,166",-,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"4,081,580","2,669,960","2,470,718","1,913,145","1,680,032","1,662,882","1,646,880","1,644,749","1,735,298","1,739,045","802,709","58,006","57,803","57,814","57,543","55,166",-,Financials in USD,Fiscal year is January - December
Shares Change (YoY),142.947%,60.562%,50.024%,16.318%,-3.185%,-4.380%,105.165%,2735.481%,2902.090%,2908.000%,1294.972%,5.148%,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-2.164,-3.420,-3.361,-4.372,-5.961,-5.569,-5.804,-4.204,1.878,11.793,13.290,-95.645,-113.870,-6.867,-132.232,134.793,-,Financials in USD,Fiscal year is January - December
EPS (Diluted),-2.164,-3.420,-3.361,-4.372,-5.961,-5.569,-5.804,-4.250,1.750,10.966,10.604,-95.750,-113.870,-6.867,-132.250,134.793,-,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-7,278,000","-5,620,000","-7,757,000","-8,620,000","-7,650,000","-6,793,000","-8,229,000","-4,515,000","-6,554,000","-5,044,000","-9,073,000","-5,816,000","-4,997,000","-7,621,000","-7,415,000","11,981,000","16,736,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.783,-2.105,-3.140,-4.506,-4.553,-4.085,-4.997,-2.745,-3.777,-2.900,-11.303,-100.265,-86.449,-131.819,-128.860,217.181,-,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-244.058%,-,-,-,-,-,-,-,67.944%,78.636%,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-1292.296%,-1067.013%,-391.895%,-,-3987.781%,-2040.749%,-728.902%,-,-13378.571%,-1266.376%,60.472%,74.454%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-1371.852%,-1102.537%,-343.859%,-,6125.080%,2079.391%,-801.734%,-,-945.238%,-1325.610%,49.392%,2.795%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-1006.370%,-949.135%,-224.515%,-,-1621.865%,-2124.824%,-840.462%,-,-18145.238%,-1291.812%,79.582%,63.565%,Financials in USD,Fiscal year is January - December
EBITDA,"-8,368,000","-8,568,000","-7,829,000","-7,828,000","-9,508,000","-8,696,000","-9,233,000","-7,878,000","-6,543,000","-12,397,000","-8,708,000","-5,038,000","-5,730,000","-5,586,000","-7,229,000","9,145,000","19,649,000",Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.744%,74.629%,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"28,000","30,000","26,000","27,000","28,000","27,000","18,000","3,000","5,000","5,000","6,000","6,000","7,000","33,000","40,000","41,000","46,000",Financials in USD,Fiscal year is January - December
EBIT,"-8,396,000","-8,598,000","-7,855,000","-7,855,000","-9,536,000","-8,723,000","-9,251,000","-7,881,000","-6,548,000","-12,402,000","-8,714,000","-5,044,000","-5,737,000","-5,619,000","-7,269,000","9,104,000","19,603,000",Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60.472%,74.454%,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.445%,1.140%,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,-,-,-,-,-,-,-,-,"42,000","574,000","41,384,000",-,Financials in USD,Fiscal year is January - December
