Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Pretax Income,"-142,309,000","-367,234,000","-902,678,000","-1,920,100,000","-1,220,999,000","-2,308,444,000",Upgrade,Financials in CNY,Fiscal year is January - December
Earnings From Continuing Operations,"-142,309,000","-367,234,000","-902,678,000","-1,920,100,000","-1,220,999,000","-2,308,444,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income,"-142,309,000","-367,234,000","-902,678,000","-1,920,100,000","-1,220,999,000","-2,308,444,000",Upgrade,Financials in CNY,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,"-239,704,000",Upgrade,Financials in CNY,Fiscal year is January - December
Net Income to Common,"-142,309,000","-367,234,000","-902,678,000","-1,920,100,000","-1,220,999,000","-2,068,740,000",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Basic),"1,274,932,500","1,263,073,000","1,172,839,000","1,165,209,000","1,046,032,000","866,728,184",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Diluted),"1,274,932,500","1,263,073,000","1,172,839,000","1,165,209,000","1,046,032,000","866,728,184",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Change (YoY),5.317%,7.694%,0.655%,11.393%,20.687%,414.123%,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Basic),-0.112,-0.291,-0.770,-1.648,-1.167,-2.387,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Diluted),-0.112,-0.291,-0.770,-1.650,-1.170,-2.390,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow,"-435,163,000","-588,858,000","-610,743,000","-1,575,050,000","-575,109,000","-1,090,449,000",Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Per Share,-0.341,-0.466,-0.521,-1.352,-0.550,-1.258,Upgrade,Financials in CNY,Fiscal year is January - December
Gross Margin,70.726%,65.603%,57.831%,56.166%,76.760%,-,Upgrade,Financials in CNY,Fiscal year is January - December
Operating Margin,-77.817%,-130.555%,-189.493%,-750.639%,-105.111%,-,Upgrade,Financials in CNY,Fiscal year is January - December
Profit Margin,-31.172%,-79.172%,-187.525%,-787.837%,-117.536%,-,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Margin,-95.319%,-126.952%,-126.878%,-646.259%,-55.361%,-,Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA,"-339,159,000","-586,641,000","-895,407,000","-1,820,683,000","-1,085,485,000","-1,730,703,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA Margin,-74.290%,-126.474%,-186.015%,-,-104.491%,-,Upgrade,Financials in CNY,Fiscal year is January - December
D&A For EBITDA,"16,101,000","18,926,000","16,740,000","8,760,000","6,446,000","6,397,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT,"-355,260,000","-605,567,000","-912,147,000","-1,829,443,000","-1,091,931,000","-1,737,100,000",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT Margin,-77.817%,-130.554%,-189.493%,-,-105.111%,-,Upgrade,Financials in CNY,Fiscal year is January - December
