Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,+20 Quarters,Currency,Fiscal_Year_period
Other Unusual Items,"-3,000,000","-2,800,000","2,800,000","-1,026,000","-3,000,000","-2,806,000","-2,782,000","3,494,000","-416,000","590,000","3,300,000","-11,215,000","-1,800,000","54,000","194,000","2,200,000","-3,278,000","7,200,000","8,300,000","81,400,000",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,932,000","-4,505,000","1,343,000","-3,119,000","-4,445,000","-4,011,000","-5,151,000","806,000","-1,671,000","-399,000","-2,328,000","-16,896,000","-5,284,000","-2,603,000","24,000","-3,418,000","-6,203,000","8,728,000","4,681,000","100,676,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"3,000","2,000","3,000","5,000","3,000","3,000","4,000","5,000","5,000","4,000","4,000",-,"2,000","6,000","4,000","2,000","5,000","7,000","2,000","10,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-4,935,000","-4,507,000","1,340,000","-3,124,000","-4,448,000","-4,014,000","-5,155,000","801,000","-1,676,000","-403,000","-2,332,000","-16,896,000","-5,286,000","-2,609,000","20,000","-3,420,000","-6,208,000","8,721,000","4,679,000","100,666,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,935,000","-4,507,000","1,340,000","-3,124,000","-4,448,000","-4,014,000","-5,155,000","801,000","-1,676,000","-403,000","-2,332,000","-16,896,000","-5,286,000","-2,609,000","20,000","-3,420,000","-6,208,000","8,721,000","4,679,000","100,666,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-99.573%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"277,231,867","275,053,106","273,668,456","272,233,184","271,406,155","269,326,280","266,817,113","265,434,192","258,896,345","249,515,015","243,678,043","242,979,106","242,202,763","238,966,584","235,245,964","218,601,454","212,490,321","211,086,062","210,381,045","208,816,954",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"277,231,867","275,053,106","442,852,675","272,233,184","271,406,155","269,326,280","266,817,113","265,434,192","258,896,345","249,515,015","243,678,043","242,979,106","242,202,763","238,966,584","246,865,087","218,601,454","212,490,321","217,212,057","213,472,333","220,751,856",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.146%,2.126%,65.976%,2.561%,4.832%,7.940%,9.496%,9.242%,6.892%,4.414%,-1.291%,11.152%,13.983%,10.015%,15.643%,-0.974%,-2.621%,10.258%,10.635%,19.206%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.018,-0.016,0.005,-0.011,-0.016,-0.015,-0.019,0.003,-0.006,-0.002,-0.010,-0.070,-0.022,-0.011,0.000,-0.016,-0.029,0.041,0.022,0.482,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.020,-0.020,0.003,-0.011,-0.020,-0.015,-0.020,0.003,-0.010,-0.002,-0.010,-0.070,-0.022,-0.011,0.000,-0.020,-0.030,0.038,0.020,0.460,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-99.595%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-556,000","-750,000","-1,587,000","-3,085,000","-550,000","-755,000","-589,000","237,000","-1,564,000","-1,111,000","-1,192,000","-196,000","-2,481,000","-5,157,000","-190,000","-2,288,000","-349,000","-618,000","-692,000","-5,981,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.002,-0.003,-0.004,-0.011,-0.002,-0.003,-0.002,0.001,-0.006,-0.004,-0.005,-0.001,-0.010,-0.022,-0.001,-0.010,-0.002,-0.003,-0.003,-0.027,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-962,000","-983,000","-1,026,000","-953,000","-911,000","-1,256,000","-1,406,000","-1,120,750","-1,994,000","-1,750,000","-5,662,000","-5,462,000","-4,952,000","-3,126,000","-1,466,000","-3,025,000","-4,062,000","-1,270,000","-3,771,000","-7,157,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"89,000","85,000","84,000","89,000","190,000","187,000","186,000","117,250","217,000","287,000","286,000","110,000","277,000","276,000","272,000","261,000","257,000","79,000","87,000","256,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-1,051,000","-1,068,000","-1,110,000","-1,042,000","-1,101,000","-1,443,000","-1,592,000","-1,238,000","-2,211,000","-2,037,000","-5,948,000","-5,572,000","-5,229,000","-3,402,000","-1,738,000","-3,286,000","-4,319,000","-1,349,000","-3,858,000","-7,413,000",Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,0.223%,-,-,-,-,0.620%,-,-,-,-,-,-,16.667%,-,-,0.080%,0.043%,0.010%,Upgrade,Financials in USD,Fiscal year is January - December
