Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Impairment of Goodwill,-,-,-,-,"-581,000",-,"-4,706,000",-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Asset Writedown,"-571,000",-,-,-,"581,000","-581,000","-4,250,000",-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Other Unusual Items,-,-,-,"18,928,000",-,-,-,-,-,-,Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-20,142,000","-12,784,000","-11,014,000","3,522,000","-6,458,000","-9,450,000","-13,628,000","-1,350,000","-52,000","373,000",Upgrade,Financials in AUD,Fiscal year is July - June
Income Tax Expense,"9,905,000","-1,839,000","-2,747,000","864,000","-1,429,000","-2,072,000","-2,200,000","-213,000","-191,000","133,000",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-30,047,000","-10,945,000","-8,267,000","2,658,000","-5,029,000","-7,378,000","-11,428,000","-1,137,000","139,000","240,000",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-30,047,000","-10,945,000","-8,267,000","2,658,000","-5,029,000","-7,378,000","-11,428,000","-1,137,000","139,000","240,000",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income Growth,-,-,-,-,-,-,-,-,-84.658%,81.818%,Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"86,305,219","86,305,211","86,272,064","82,276,634","71,287,883","71,267,699","71,208,251","65,722,543","66,308,746","64,864,864",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"86,305,219","86,305,211","86,272,064","88,634,767","71,287,883","71,267,699","71,208,251","65,722,543","66,308,746","66,666,666",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),0.038%,-2.628%,21.019%,24.369%,0.112%,8.437%,7.389%,-1.416%,-1.124%,6.061%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.348,-0.127,-0.096,0.032,-0.071,-0.104,-0.160,-0.017,0.002,0.004,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.348,-0.127,-0.096,0.030,-0.071,-0.104,-0.160,-0.017,0.002,0.004,Upgrade,Financials in AUD,Fiscal year is July - June
EPS Growth,-,-,-,-,-,-,-,-,-84.508%,71.429%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-4,235,000","-7,338,000","-8,536,000","-9,743,000","-6,442,000","-5,534,000","-6,147,000","-3,990,000","-3,571,000","2,251,000",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.049,-0.085,-0.099,-0.110,-0.090,-0.078,-0.086,-0.061,-0.054,0.034,Upgrade,Financials in AUD,Fiscal year is July - June
Dividend Per Share,-,-,-,-,-,-,-,-,-,0.020,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-14.596%,-77.960%,-56.458%,-49.589%,-47.060%,-70.178%,-31.438%,4.120%,4.828%,17.246%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-166.309%,-72.570%,-44.771%,19.161%,-40.734%,-76.878%,-89.998%,-9.042%,1.194%,2.203%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-23.441%,-48.654%,-46.228%,-70.235%,-52.179%,-57.664%,-48.409%,-31.732%,-30.679%,20.661%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-2,473,000","-10,232,000","-10,595,000","-5,295,000","-6,058,000","-5,291,000","-3,923,000","1,978,000","667,000","3,031,000",Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"164,000","1,526,000","-170,000","1,584,000","-248,000","1,444,000","69,000","1,460,000","105,000","1,152,000",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-2,637,000","-11,758,000","-10,425,000","-6,879,000","-5,810,000","-6,735,000","-3,992,000","518,000","562,000","1,879,000",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue as Reported,-,-,-,-,-,-,-,"12,574,000","11,640,000","10,895,000",Upgrade,Financials in AUD,Fiscal year is July - June
