Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
EPS (Basic),0.210,-4.082,-17.600,-3.268,-7.000,-4.347,-7.500,-4.554,-5.000,-5.558,Upgrade,Financials in CHF,Fiscal year is January - December
EPS (Diluted),0.210,-4.082,-17.600,-3.268,-7.000,-4.347,-7.500,-4.554,-5.000,-5.558,Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow,"-1,850,900","-3,716,200","-5,925,800","-5,400,300","-13,972,800","-16,266,800","-13,857,700","-11,488,400","-13,101,700","-2,393,900",Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow Per Share,-0.253,-0.593,-1.309,-1.216,-3.389,-4.449,-4.096,-3.199,-4.847,-1.175,Upgrade,Financials in CHF,Fiscal year is January - December
Operating Margin,-,-1116.240%,-220.408%,-127.338%,-151.747%,-429.451%,-272.313%,-343.676%,-318.172%,-201.780%,Upgrade,Financials in CHF,Fiscal year is January - December
Profit Margin,-,-513.205%,-1788.732%,-195.949%,-354.741%,-453.785%,-397.999%,-457.196%,-341.002%,-216.541%,Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow Margin,-,-74.545%,-133.086%,-72.930%,-171.770%,-464.487%,-217.359%,-321.174%,-330.542%,-45.773%,Upgrade,Financials in CHF,Fiscal year is January - December
EBITDA,-,"-54,850,100","-7,699,400","-7,222,500","-9,345,500","-12,095,500","-14,184,200","-9,693,600","-8,472,400","-7,941,800",Upgrade,Financials in CHF,Fiscal year is January - December
D&A For EBITDA,-,"796,700","2,114,500","2,206,600","2,998,500","2,944,300","3,177,100","2,599,700","4,139,000","2,611,100",Upgrade,Financials in CHF,Fiscal year is January - December
EBIT,"1,311,900","-55,646,800","-9,813,900","-9,429,100","-12,344,000","-15,039,800","-17,361,300","-12,293,300","-12,611,400","-10,552,900",Upgrade,Financials in CHF,Fiscal year is January - December
