Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+1 Quarters,Currency,Fiscal_Year_period
EPS (Diluted),-0.071,-0.282,-0.260,-0.365,-0.231,-0.437,-0.190,-0.516,-0.448,-0.464,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"-7,346,000","-8,465,000","-16,208,000","-17,169,000","-16,836,000","-6,944,000","-10,227,000","-8,314,000","-6,736,000","-8,652,000",Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,-0.089,-0.167,-0.352,-0.371,-0.363,-0.149,-0.233,-0.222,-0.205,-0.297,Upgrade,Financials in EUR,Fiscal year is January - December
Operating Margin,-428.414%,-5081.452%,-629.345%,-2571.498%,-283.369%,-2585.024%,-97.704%,-271.961%,-415.345%,-537.439%,Upgrade,Financials in EUR,Fiscal year is January - December
Profit Margin,-338.426%,-5749.194%,-440.427%,-2754.235%,-252.035%,-2453.261%,-120.680%,-464.224%,-448.261%,-553.355%,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Margin,-425.116%,-3413.306%,-596.760%,-2796.254%,-396.048%,-838.647%,-148.627%,-199.760%,-205.491%,-354.010%,Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA,"-7,342,000","-11,505,000","-16,435,000","-15,274,000","-11,500,000","-20,947,000","-6,252,000","-10,873,000","-13,135,000","-12,707,000",Upgrade,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"61,000","1,097,000","658,000","515,000","546,000","457,000","471,000","446,000","480,000","428,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT,"-7,403,000","-12,602,000","-17,093,000","-15,789,000","-12,046,000","-21,404,000","-6,723,000","-11,319,000","-13,615,000","-13,135,000",Upgrade,Financials in EUR,Fiscal year is January - December
Revenue as Reported,"1,728,000","247,000","2,716,000","614,000","4,251,000","828,000","6,881,000","4,162,000","3,278,000","2,444,000",Upgrade,Financials in EUR,Fiscal year is January - December
