Fiscal Quarter,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,+4 Quarters,Currency,Fiscal_Year_period
Shares Outstanding (Basic),"35,411,354","33,405,892","27,526,165","27,329,423","27,083,604","26,272,363","26,066,112","26,716,586","25,071,310","22,334,598","15,267,660","13,142,670","11,145,004","7,447,036","6,546,394","6,499,523","6,461,753","6,461,753","5,295,383","1,670,382",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"35,411,354","33,405,892","27,526,165","27,329,423","27,083,604","26,272,363","26,066,112","26,716,586","25,071,310","22,334,598","15,267,660","14,031,995","11,151,226","8,483,538","6,546,394","6,499,523","6,461,753","6,461,753","5,295,383","1,670,382",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),30.748%,27.152%,5.601%,2.294%,8.026%,17.631%,70.728%,90.398%,124.830%,163.270%,133.222%,115.893%,72.573%,31.288%,23.625%,289.104%,368.545%,368.545%,291.214%,-31.146%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),0.005,-0.058,-0.084,-0.024,-0.015,-0.330,0.535,-0.318,-0.039,-0.240,-0.419,0.089,0.162,0.790,-0.293,-4.176,-0.185,-0.295,-0.306,-5.555,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),0.005,-0.058,-0.084,-0.024,-0.015,-0.330,0.535,-0.318,-0.039,-0.240,-0.420,-0.566,0.162,0.200,-0.293,-4.214,-0.200,-0.295,-0.306,-5.555,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-281,000","136,000","-324,000","-484,000","267,000","-66,000","-26,000","-155,000","-1,113,000","-4,380,000","-835,000","-819,000","-1,163,000","-1,551,000","-1,315,000","-350,000","-1,411,000","-1,670,000","-2,130,000","120,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.008,0.004,-0.012,-0.018,0.010,-0.003,-0.001,-0.006,-0.044,-0.196,-0.055,-0.058,-0.104,-0.183,-0.201,-0.054,-0.218,-0.258,-0.402,0.072,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-454,250","-811,250","-1,909,250","-1,608,250","-2,779,751",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,750","4,750","4,750","4,750","18,249",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-514,000","-549,000","-159,000","1,992,000","-822,000","-368,000","-555,000","-536,000","-2,177,000","-3,139,000","-3,599,000","-3,278,000","-2,666,000","-3,073,000","-2,085,000","-459,000","-816,000","-1,914,000","-1,613,000","-2,798,000",Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,61.664%,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
