Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+8 Quarters,Currency,Fiscal_Year_period
Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,-,"-92,462","-30,884",-,"-16,396","-16,349","-16,845","435,143","-269,077","-469,940",Upgrade,Financials in CAD,Fiscal year is January - December
Other Non Operating Income (Expenses),"19,500",-,-,"-29,751",-,-,"-13,166","-13,166",-,-,-,-,-,-,-,-,-,-,-,"14,778,208",Upgrade,Financials in CAD,Fiscal year is January - December
EBT Excluding Unusual Items,"-109,268","-244,328","-180,340","-262,951","-295,516","-261,368","-275,783","-536,954","-662,746","-668,560","-587,312","-1,354,856","-669,381","-605,407","-494,376","-2,475,435","-2,075,811","-447,219","-837,542","12,937,186",Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,"-1,093,130",-,-,-,-,-,-,-,"-4,149,140",Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,-,"172,701",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Asset Writedown,-,-,-,"-1,365,474",-,-,-,-,-,-,-,"-382,360",-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,"12,500",-,"8,010",-,-,"31,545","72,137",-,"-68,897","-27,055","198,798",-,"24,922",-,"-14,735,708",Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"-109,268","-244,328","-7,639","-1,628,425","-295,516","-248,868","-275,783","-528,944","-662,746","-668,560","-555,767","-2,758,209","-669,381","-674,304","-521,431","-2,276,637","-2,075,811","-422,297","-837,542","-5,947,662",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"-109,268","-244,328","-7,639","-1,628,425","-295,516","-248,868","-275,783","-528,944","-662,746","-668,560","-555,767","-2,758,209","-669,381","-674,304","-521,431","-2,276,637","-2,075,811","-422,297","-837,542","-5,947,662",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"-109,268","-244,328","-7,639","-1,628,425","-295,516","-248,868","-275,783","-528,944","-662,746","-668,560","-555,767","-2,758,209","-669,381","-674,304","-521,431","-2,276,637","-2,075,811","-422,297","-837,542","-5,947,662",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"356,087,960","347,631,916","346,587,960","346,628,623","346,587,960","346,417,630","331,752,774","321,488,240","298,966,327","294,274,054","285,101,881","279,822,582","272,919,922","266,278,424","258,649,464","239,441,419","227,790,161","204,574,407","186,397,937","207,027,995",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"356,087,960","347,631,916","346,587,960","346,628,623","346,587,960","346,417,630","331,752,774","321,488,240","298,966,327","294,274,054","285,101,881","279,822,582","272,919,922","266,278,424","258,649,464","239,441,419","227,790,161","204,574,407","186,397,937","207,027,995",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),2.741%,0.351%,4.472%,7.820%,15.929%,17.719%,16.363%,14.890%,9.544%,10.514%,10.227%,16.865%,19.812%,30.162%,38.762%,15.657%,28.665%,44.440%,27.841%,1336.531%,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.000,-0.001,-0.000,-0.005,-0.001,-0.001,-0.001,-0.002,-0.002,-0.002,-0.002,-0.010,-0.002,-0.003,-0.002,-0.010,-0.009,-0.002,-0.004,-0.029,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.000,-0.001,-0.000,-0.005,-0.001,-0.001,-0.001,-0.002,-0.002,-0.002,-0.002,-0.010,-0.002,-0.003,-0.002,-0.010,-0.009,-0.002,-0.004,-0.029,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-38,988","-49,085","21,856","-27,186","-100,641",763,"-210,061","-440,050","-209,713","-245,090","-107,645","-219,985","-713,004","-89,797","-821,917","-293,900","-607,701","-566,563","132,006","-446,960",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.000,-0.000,0.000,-0.000,-0.000,0.000,-0.001,-0.001,-0.001,-0.001,-0.000,-0.001,-0.003,-0.000,-0.003,-0.001,-0.003,-0.003,0.001,-0.002,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,100.000%,100.000%,93.248%,-10.913%,-105.212%,61.739%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-10584.052%,-3882.752%,-537.066%,-877.064%,-1106.334%,-801.737%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-11055.886%,-4356.073%,-573.897%,-1050.627%,-1298.679%,-915.295%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,33.896%,-3317.975%,-477.449%,-332.450%,-476.088%,-177.281%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"-29,051","-144,798","-80,811","-159,494","-203,229","-163,417","-170,987","-360,370","-337,061","-355,638","-277,736","-1,158,295","-191,426","-271,850","-256,849","-2,332,964","-1,747,539","-586,704","-298,298","-1,078,333",Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"74,830","74,830","74,830","74,830","74,830","74,830","74,830","134,628","216,200","213,903","209,079","2,371","306,899","233,375","117,381","38,521","112,458","102,551","106,527","106,527",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"-103,881","-219,628","-155,641","-234,324","-278,059","-238,247","-245,817","-494,998","-553,261","-569,541","-486,815","-1,160,666","-498,325","-505,225","-374,230","-2,371,485","-1,859,997","-689,255","-404,825","-1,184,860",Upgrade,Financials in CAD,Fiscal year is January - December
Advertising Expenses,-,-,-,-,-,-,-,-,"2,000",-,-,-,"4,441",-,"1,866",-,"17,313",-,"10,619",-,Upgrade,Financials in CAD,Fiscal year is January - December
