Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2017,Currency,Fiscal_Year_period
Earnings From Discontinued Operations,-,-,-,"-103,000","-427,000","-195,000",Upgrade,Financials in CAD,Fiscal year is December - November
Net Income to Company,"-15,135,000","-5,174,000","-6,618,000","-11,234,000","-10,171,000","-9,769,000",Upgrade,Financials in CAD,Fiscal year is December - November
Minority Interest in Earnings,-,"104,000","-924,000",-,-,-,Upgrade,Financials in CAD,Fiscal year is December - November
Net Income,"-15,135,000","-5,070,000","-7,542,000","-11,234,000","-10,171,000","-9,769,000",Upgrade,Financials in CAD,Fiscal year is December - November
Net Income to Common,"-15,135,000","-5,070,000","-7,542,000","-11,234,000","-10,171,000","-9,769,000",Upgrade,Financials in CAD,Fiscal year is December - November
Shares Outstanding (Basic),"9,623,846","8,353,920","6,707,365","6,069,003","4,487,086","3,353,830",Upgrade,Financials in CAD,Fiscal year is December - November
Shares Outstanding (Diluted),"9,623,846","8,353,920","6,707,365","6,069,003","4,487,086","3,353,830",Upgrade,Financials in CAD,Fiscal year is December - November
Shares Change (YoY),24.141%,24.548%,10.518%,35.255%,33.790%,31.783%,Upgrade,Financials in CAD,Fiscal year is December - November
EPS (Basic),-1.573,-0.607,-1.124,-1.851,-2.267,-2.913,Upgrade,Financials in CAD,Fiscal year is December - November
EPS (Diluted),-1.573,-0.607,-1.124,-1.851,-2.267,-2.913,Upgrade,Financials in CAD,Fiscal year is December - November
Free Cash Flow,"2,220,000","1,855,000","-4,904,000","-6,217,000","-1,720,000","-15,490,000",Upgrade,Financials in CAD,Fiscal year is December - November
Free Cash Flow Per Share,0.231,0.222,-0.731,-1.024,-0.383,-4.619,Upgrade,Financials in CAD,Fiscal year is December - November
Gross Margin,3.792%,47.191%,19.425%,19.991%,77.804%,55.951%,Upgrade,Financials in CAD,Fiscal year is December - November
Operating Margin,-41.077%,-5.508%,-42.394%,-57.911%,-0.126%,-351.504%,Upgrade,Financials in CAD,Fiscal year is December - November
Profit Margin,-51.013%,-19.245%,-37.431%,-118.265%,-128.633%,-413.765%,Upgrade,Financials in CAD,Fiscal year is December - November
Free Cash Flow Margin,7.483%,7.041%,-24.339%,-65.449%,-21.753%,-656.078%,Upgrade,Financials in CAD,Fiscal year is December - November
EBITDA,"-12,992,000","-158,000","-7,178,000","-4,795,000","377,000","-7,298,000",Upgrade,Financials in CAD,Fiscal year is December - November
EBITDA Margin,-43.790%,-0.600%,-35.624%,-50.479%,4.768%,-,Upgrade,Financials in CAD,Fiscal year is December - November
D&A For EBITDA,"-805,000","1,293,000","1,364,000","706,000","387,000","1,001,000",Upgrade,Financials in CAD,Fiscal year is December - November
EBIT,"-12,187,000","-1,451,000","-8,542,000","-5,501,000","-10,000","-8,299,000",Upgrade,Financials in CAD,Fiscal year is December - November
EBIT Margin,-41.077%,-5.508%,-42.394%,-57.911%,-0.126%,-,Upgrade,Financials in CAD,Fiscal year is December - November
Revenue as Reported,"29,669,000","26,344,000","20,149,000","9,499,000","7,907,000","2,361,000",Upgrade,Financials in CAD,Fiscal year is December - November
