Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Income Tax Expense,"1,121,000","7,152,000","5,759,000","10,209,000","4,710,000","19,772,000","-2,218,000","8,586,000","2,422,000","18,767,000",Upgrade,Financials in EUR,Fiscal year is January - December
Earnings From Continuing Operations,"3,329,000","19,065,000","14,875,000","31,887,000","12,393,000","38,071,000","-9,512,000","27,183,000","-974,000","41,013,000",Upgrade,Financials in EUR,Fiscal year is January - December
Minority Interest in Earnings,"3,000","1,294,000","593,000","262,000","131,000","-1,000","-2,000","1,000","-1,000","10,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income,"3,332,000","20,359,000","15,468,000","32,149,000","12,524,000","38,070,000","-9,514,000","27,184,000","-975,000","41,023,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income to Common,"3,332,000","20,359,000","15,468,000","32,149,000","12,524,000","38,070,000","-9,514,000","27,184,000","-975,000","41,023,000",Upgrade,Financials in EUR,Fiscal year is January - December
Net Income Growth,-78.459%,-36.673%,23.507%,-15.553%,-,40.046%,-,-33.735%,-,14.417%,Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Basic),"17,362,275","17,362,276","17,362,168","17,374,984","17,403,358","17,519,101","17,513,835","17,510,012","17,506,290","17,508,765",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Outstanding (Diluted),"17,362,275","17,362,276","17,362,168","17,374,984","17,403,358","17,519,101","17,513,835","17,510,012","17,506,290","17,508,765",Upgrade,Financials in EUR,Fiscal year is January - December
Shares Change (YoY),0.001%,-0.073%,-0.237%,-0.823%,-0.631%,0.052%,0.043%,0.007%,-0.054%,-0.110%,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Basic),0.192,1.173,0.891,1.850,0.720,2.173,-0.543,1.552,-0.056,2.343,Upgrade,Financials in EUR,Fiscal year is January - December
EPS (Diluted),0.192,1.173,0.891,1.850,0.720,2.173,-0.543,1.552,-0.056,2.343,Upgrade,Financials in EUR,Fiscal year is January - December
EPS Growth,-78.459%,-36.627%,23.800%,-14.852%,-,39.973%,-,-33.739%,-,14.543%,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow,"9,540,000","23,455,000","12,178,000","13,352,000","35,101,000","21,675,000","654,000","23,532,000","33,996,000","33,432,000",Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Per Share,0.549,1.351,0.701,0.768,2.017,1.237,0.037,1.344,1.942,1.909,Upgrade,Financials in EUR,Fiscal year is January - December
Operating Margin,5.977%,11.164%,5.460%,15.534%,8.351%,20.837%,-3.327%,17.413%,14.430%,24.127%,Upgrade,Financials in EUR,Fiscal year is January - December
Profit Margin,1.459%,8.035%,6.448%,11.586%,4.878%,14.351%,-5.009%,10.457%,-0.384%,13.656%,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Margin,4.178%,9.257%,5.077%,4.812%,13.671%,8.171%,0.344%,9.053%,13.404%,11.129%,Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA,"22,738,000","34,234,000","23,656,000","56,248,000","34,916,000","69,659,000","8,574,000","59,657,000","51,911,000","88,657,000",Upgrade,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"9,090,000","5,948,000","10,558,000","13,145,000","13,474,000","14,384,000","14,893,000","14,393,000","15,311,000","16,177,000",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT,"13,648,000","28,286,000","13,098,000","43,103,000","21,442,000","55,275,000","-6,319,000","45,264,000","36,600,000","72,480,000",Upgrade,Financials in EUR,Fiscal year is January - December
Advertising Expenses,"80,478,000",-,"76,843,000",-,"71,597,000",-,"62,377,000",-,"65,369,000",-,Upgrade,Financials in EUR,Fiscal year is January - December
