Fiscal Quarter,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,+20 Quarters,Currency,Fiscal_Year_period
Free Cash Flow,"-9,381,000","-6,260,000","-6,198,000","-10,113,000","-14,329,000","-12,042,000","-14,950,000","-11,989,000","-10,704,000","-9,453,000","-8,702,000","-6,211,000","-6,621,000","-6,236,000","-6,180,000","-7,911,000","-5,274,000","-5,697,000","-6,435,000","-9,157,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.423,-0.475,-0.566,-0.998,-2.120,-2.269,-2.869,-2.337,-2.138,-1.893,-1.774,-1.387,-1.919,-2.176,-2.173,-2.946,-2.097,-2.355,-2.682,-3.844,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-,-,-287.591%,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-,-8080.690%,-385.297%,-1548.431%,-3060.900%,-3125.306%,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-,-8086.897%,-382.638%,-1545.157%,-3077.855%,-3126.531%,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-7382.069%,-492.857%,-1187.176%,-2149.135%,-2702.449%,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-10,810,000","-9,220,000","-7,873,000","-8,499,000","-10,559,000","-14,554,000","-16,505,000","-14,207,000","-11,645,000","-7,318,000","-11,277,000","-8,774,000","-7,589,000","-6,856,000","-6,589,000","-6,775,000","-7,895,000","-8,783,000","-5,432,000","-6,866,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"161,000","35,000","41,000","160,000","45,000","25,000","95,000","74,000","72,000","72,000","73,000","72,000","68,000","67,000","98,000","90,000","89,000","89,000","89,000","87,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-10,971,000","-9,255,000","-7,914,000","-8,659,000","-10,604,000","-14,579,000","-16,600,000","-14,281,000","-11,717,000","-7,390,000","-11,350,000","-8,846,000","-7,657,000","-6,923,000","-6,687,000","-6,865,000","-7,984,000","-8,872,000","-5,521,000","-6,953,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,-,-,-,"145,000","1,918,000","733,000","289,000","245,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
