Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Free Cash Flow,"-45,400,000","-113,500,000","-175,400,000","-253,700,000","-12,600,000","282,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
Free Cash Flow Per Share,-1.317,-3.298,-5.106,-7.392,-0.366,7.978,Upgrade,Financials in SEK,Fiscal year is January - December
Gross Margin,88.283%,86.083%,83.566%,86.035%,90.115%,87.500%,Upgrade,Financials in SEK,Fiscal year is January - December
Operating Margin,2.350%,-7.013%,-18.292%,-28.035%,-2.637%,27.107%,Upgrade,Financials in SEK,Fiscal year is January - December
Profit Margin,-17.677%,-20.085%,-28.448%,-39.558%,-12.719%,25.935%,Upgrade,Financials in SEK,Fiscal year is January - December
Free Cash Flow Margin,-7.621%,-17.768%,-28.095%,-44.903%,-1.899%,33.381%,Upgrade,Financials in SEK,Fiscal year is January - December
EBITDA,"67,800,000","2,700,000","-74,100,000","-122,500,000","6,100,000","248,900,000",Upgrade,Financials in SEK,Fiscal year is January - December
EBITDA Margin,11.382%,0.423%,-11.869%,-21.681%,0.919%,29.462%,Upgrade,Financials in SEK,Fiscal year is January - December
D&A For EBITDA,"53,800,000","47,500,000","40,100,000","35,900,000","23,600,000","19,900,000",Upgrade,Financials in SEK,Fiscal year is January - December
EBIT,"14,000,000","-44,800,000","-114,200,000","-158,400,000","-17,500,000","229,000,000",Upgrade,Financials in SEK,Fiscal year is January - December
EBIT Margin,2.350%,-7.013%,-18.292%,-28.035%,-2.637%,27.107%,Upgrade,Financials in SEK,Fiscal year is January - December
Effective Tax Rate,-,-,-,-,-,3.861%,Upgrade,Financials in SEK,Fiscal year is January - December
