Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
EBT Excluding Unusual Items,"-963,347","-1,334,919","-933,462","-1,847,669","-1,638,720","-2,101,127","-1,668,015","-1,231,062","-1,146,950","-1,507,101","-1,560,751","-2,095,289","-202,267","-108,402","-92,059",Financials in CAD,Fiscal year is January - December
Merger & Restructuring Charges,-,-,-,-,-,"-705,000","-570,000","-400,521",-,-,-,-,-,-,-,Financials in CAD,Fiscal year is January - December
Other Unusual Items,-,-,-,"-429,864",-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is January - December
Pretax Income,"-963,347","-1,334,919","-933,462","-2,277,533","-1,638,720","-2,806,127","-2,238,015","-1,631,583","-1,146,950","-1,507,101","-1,560,751","-2,095,289","-202,267","-108,402","-92,059",Financials in CAD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,"-89,100",-,-,-,-,-,-,-,Financials in CAD,Fiscal year is January - December
Earnings From Continuing Operations,"-963,347","-1,334,919","-933,462","-2,277,533","-1,638,720","-2,806,127","-2,238,015","-1,542,483","-1,146,950","-1,507,101","-1,560,751","-2,095,289","-202,267","-108,402","-92,059",Financials in CAD,Fiscal year is January - December
Minority Interest in Earnings,"229,980","212,637","171,434","259,968","323,222","323,990","296,005","324,234","395,089","354,069","158,913","156,520",-,-,-,Financials in CAD,Fiscal year is January - December
Net Income,"-733,367","-1,122,282","-762,028","-2,017,565","-1,315,498","-2,482,137","-1,942,010","-1,218,249","-751,861","-1,153,032","-1,401,838","-1,938,769","-202,267","-108,402","-92,059",Financials in CAD,Fiscal year is January - December
Net Income to Common,"-733,367","-1,122,282","-762,028","-2,017,565","-1,315,498","-2,482,137","-1,942,010","-1,218,249","-751,861","-1,153,032","-1,401,838","-1,938,769","-202,267","-108,402","-92,059",Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"76,443,649","76,125,972","74,691,692","66,700,383","63,634,219","59,723,751","58,830,344","56,393,356","56,130,344","56,130,344","56,130,344","48,874,267","17,000,000","14,905,556","2,500,000",Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"76,443,649","76,125,972","74,691,692","66,700,383","63,634,219","59,723,751","58,830,344","56,393,356","56,130,344","56,130,344","56,130,344","48,874,267","17,000,000","14,905,556","2,500,000",Financials in CAD,Fiscal year is January - December
Shares Change (YoY),20.130%,27.463%,26.961%,18.277%,13.369%,6.402%,4.810%,15.385%,230.178%,276.573%,2145.214%,-,-,-,-,Financials in CAD,Fiscal year is January - December
EPS (Basic),-0.010,-0.015,-0.010,-0.030,-0.021,-0.042,-0.033,-0.022,-0.013,-0.021,-0.025,-0.040,-0.012,-0.007,-0.037,Financials in CAD,Fiscal year is January - December
EPS (Diluted),-0.010,-0.015,-0.010,-0.030,-0.021,-0.042,-0.033,-0.022,-0.013,-0.021,-0.025,-0.040,-0.012,-0.007,-0.037,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"-75,604","-106,646","-140,667","-788,924","-668,155","-677,095","-579,651","-1,527,168","-136,750","-952,443","-998,115","-1,026,458","-243,052","-99,907","-1,286",Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,-0.001,-0.001,-0.002,-0.012,-0.010,-0.011,-0.010,-0.027,-0.002,-0.017,-0.018,-0.021,-0.014,-0.007,-0.001,Financials in CAD,Fiscal year is January - December
Gross Margin,100.000%,100.000%,100.000%,100.000%,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is January - December
Operating Margin,-968.766%,-1718.494%,-1164.176%,-7226.230%,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is January - December
Profit Margin,-980.398%,-1516.802%,-1029.907%,-9543.827%,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,-101.071%,-144.136%,-190.116%,-3731.902%,-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is January - December
EBITDA,"-401,903","-948,432","-538,238","-1,204,508","-1,152,082","-1,413,730","-1,023,927","-746,507","-578,822","-936,718","-1,068,728","-1,474,439","-191,093",-,-,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"322,763","323,082","323,136","323,117","325,804","320,621","320,607","304,037","320,494","320,116","321,279","190,996",763,-,-,Financials in CAD,Fiscal year is January - December
EBIT,"-724,666","-1,271,514","-861,374","-1,527,625","-1,477,886","-1,734,351","-1,344,534","-1,050,544","-899,316","-1,256,834","-1,390,007","-1,665,435","-191,856","-97,916","-92,059",Financials in CAD,Fiscal year is January - December
Revenue as Reported,"74,803","73,990","73,990","21,140",-,-,-,-,-,-,-,-,-,-,-,Financials in CAD,Fiscal year is January - December
