Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Shares Outstanding (Diluted),"28,637,800","24,392,842","20,818,101","19,503,803","16,197,683","16,006,355",Upgrade,Financials in CAD,Fiscal year is December - November
Shares Change (YoY),25.642%,17.171%,6.739%,20.411%,1.195%,23.571%,Upgrade,Financials in CAD,Fiscal year is December - November
EPS (Basic),-0.268,-0.579,-0.741,-1.220,-1.621,-3.946,Upgrade,Financials in CAD,Fiscal year is December - November
EPS (Diluted),-0.268,-0.579,-0.741,-1.220,-1.621,-3.946,Upgrade,Financials in CAD,Fiscal year is December - November
Free Cash Flow,"224,454","-2,792,535","-16,040,212","-18,643,283","-27,975,919","-38,414,495",Upgrade,Financials in CAD,Fiscal year is December - November
Free Cash Flow Per Share,0.008,-0.114,-0.770,-0.956,-1.727,-2.400,Upgrade,Financials in CAD,Fiscal year is December - November
Gross Margin,13.270%,24.674%,22.474%,0.569%,5.810%,8.305%,Upgrade,Financials in CAD,Fiscal year is December - November
Operating Margin,-80.703%,-57.973%,-68.520%,-112.376%,-104.359%,-165.965%,Upgrade,Financials in CAD,Fiscal year is December - November
Profit Margin,-49.552%,-65.216%,-69.943%,-112.555%,-104.560%,-386.571%,Upgrade,Financials in CAD,Fiscal year is December - November
Free Cash Flow Margin,1.451%,-12.893%,-72.683%,-88.165%,-111.438%,-235.090%,Upgrade,Financials in CAD,Fiscal year is December - November
EBITDA,"-11,398,754","-11,511,316","-13,931,343","-22,727,853","-24,988,688","-25,385,608",Upgrade,Financials in CAD,Fiscal year is December - November
EBITDA Margin,-73.682%,-53.146%,-63.127%,-107.482%,-99.539%,-155.356%,Upgrade,Financials in CAD,Fiscal year is December - November
D&A For EBITDA,"1,086,118","1,045,502","1,190,054","1,034,957","1,210,144","1,733,563",Upgrade,Financials in CAD,Fiscal year is December - November
EBIT,"-12,484,872","-12,556,818","-15,121,397","-23,762,810","-26,198,832","-27,119,171",Upgrade,Financials in CAD,Fiscal year is December - November
EBIT Margin,-80.703%,-57.973%,-68.520%,-112.376%,-104.359%,-165.965%,Upgrade,Financials in CAD,Fiscal year is December - November
Revenue as Reported,"15,470,108","21,659,837","22,068,682","21,145,803","25,104,483","16,340,321",Upgrade,Financials in CAD,Fiscal year is December - November
