Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-10,570,000",Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"183,000","391,000","-634,000",-,"46,887,000","1,478,000",-,"1,330,000","-1,574,000","-1,987,000",-,"-809,000","41,000","17,070,000","4,184,000","-10,451,000","-3,453,000","-2,020,000","1,834,000","-2,536,000",Upgrade,Financials in CAD,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"-453,000",-,"-4,006,000",-,-,-,-,-,"2,150,000",-,-,"1,355,000",-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Asset Writedown,-,-,-,"-37,118,000",-,"-2,588,000",-,"-676,000","-42,831,000",-,"-23,673,000",-,"-60,000","-11,366,000",-,"-1,784,000","144,000","-4,506,000",-,"-22,544,000",Upgrade,Financials in CAD,Fiscal year is January - December
Pretax Income,"3,239,000","2,002,000","-10,020,000","-57,258,000","32,621,000","-12,863,000","-10,249,000","-17,168,000","-62,212,000","-14,374,000","-42,801,000","-18,376,000","-13,527,000","-7,976,000","-10,361,000","-26,037,000","-17,745,000","-31,033,000","-13,191,000","-59,839,000",Upgrade,Financials in CAD,Fiscal year is January - December
Income Tax Expense,-,-,"15,992,000","-3,238,000",-,-,-,"-1,112,000","-2,110,000","-85,000","-2,955,000",-,-,"-4,291,000","-39,000","-24,000","-90,000","-567,000",-,"3,269,000",Upgrade,Financials in CAD,Fiscal year is January - December
Earnings From Continuing Operations,"3,239,000","2,002,000","-26,012,000","-54,020,000","32,621,000","-12,863,000","-10,249,000","-16,056,000","-60,102,000","-14,289,000","-39,846,000","-18,376,000","-13,527,000","-3,685,000","-10,322,000","-26,013,000","-17,655,000","-30,466,000","-13,191,000","-63,108,000",Upgrade,Financials in CAD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,-,-,-,-,"12,334,000","-178,000","-1,162,000","-202,000","1,258,000",-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Company,"3,239,000","2,002,000","-26,012,000","-54,020,000","32,621,000","-12,863,000","-10,249,000","-16,056,000","-60,102,000","-14,289,000","-39,846,000","-18,376,000","-13,527,000","8,649,000","-10,500,000","-27,175,000","-17,857,000","-29,208,000","-13,191,000","-63,108,000",Upgrade,Financials in CAD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,"9,000","6,000","209,000","58,000","1,291,000","447,000","5,387,000",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income,"3,239,000","2,002,000","-26,012,000","-54,020,000","32,621,000","-12,863,000","-10,249,000","-16,056,000","-60,102,000","-14,289,000","-39,846,000","-18,376,000","-13,527,000","8,658,000","-10,494,000","-26,966,000","-17,799,000","-27,917,000","-12,744,000","-57,721,000",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income to Common,"3,239,000","2,002,000","-26,012,000","-54,020,000","32,621,000","-12,863,000","-10,249,000","-16,056,000","-60,102,000","-14,289,000","-39,846,000","-18,376,000","-13,527,000","8,658,000","-10,494,000","-26,966,000","-17,799,000","-27,917,000","-12,744,000","-57,721,000",Upgrade,Financials in CAD,Fiscal year is January - December
Net Income Growth,-90.071%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Basic),"1,265,144,208","1,250,513,293","1,016,839,478","1,005,350,883","1,002,068,656","1,002,014,308","954,014,308","905,994,330","901,521,265","888,266,729","847,603,874","829,986,271","825,612,944","762,652,783","714,041,130","641,089,714","631,949,685","627,821,967","625,242,335","613,484,254",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,347,922,412","1,304,108,532","1,016,839,478","1,005,350,883","1,002,068,656","1,002,014,308","954,014,308","905,994,330","901,521,265","888,266,729","847,603,874","829,986,271","825,612,944","762,652,783","714,041,130","641,089,714","631,949,685","627,821,967","625,242,335","613,484,254",Upgrade,Financials in CAD,Fiscal year is January - December
Shares Change (YoY),34.514%,30.149%,6.585%,10.967%,11.153%,12.806%,12.554%,9.158%,9.194%,16.471%,18.705%,29.465%,30.645%,21.476%,14.202%,4.500%,6.283%,6.014%,6.470%,5.855%,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Basic),0.003,0.002,-0.026,-0.054,0.033,-0.013,-0.011,-0.018,-0.067,-0.016,-0.047,-0.022,-0.016,0.011,-0.015,-0.042,-0.028,-0.044,-0.020,-0.094,Upgrade,Financials in CAD,Fiscal year is January - December
EPS (Diluted),0.002,0.002,-0.026,-0.054,0.030,-0.013,-0.011,-0.018,-0.067,-0.016,-0.047,-0.022,-0.016,0.011,-0.015,-0.042,-0.028,-0.044,-0.020,-0.094,Upgrade,Financials in CAD,Fiscal year is January - December
EPS Growth,-91.993%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow,"12,206,000","1,887,000","-2,539,000","7,223,000","2,527,000","-5,864,000","2,724,000","930,000","-5,430,000","627,000","-7,800,000","-7,903,000","-8,337,000","-13,981,000","-19,915,000","-8,821,000","-13,784,000","-10,984,000","-20,209,000","-36,691,000",Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Per Share,0.009,0.001,-0.002,0.007,0.003,-0.006,0.003,0.001,-0.006,0.001,-0.009,-0.010,-0.010,-0.018,-0.028,-0.014,-0.022,-0.017,-0.032,-0.060,Upgrade,Financials in CAD,Fiscal year is January - December
Gross Margin,51.514%,54.593%,37.443%,10.212%,16.263%,27.572%,32.869%,3.266%,11.175%,35.925%,16.220%,14.694%,19.014%,38.275%,25.573%,13.732%,28.100%,19.747%,27.875%,-84.221%,Upgrade,Financials in CAD,Fiscal year is January - December
Operating Margin,18.531%,16.622%,-9.219%,-32.825%,-28.188%,-21.814%,-18.216%,-48.333%,-67.287%,-36.334%,-60.868%,-48.632%,-37.268%,-30.016%,-101.386%,-50.260%,-75.181%,-217.562%,-137.617%,-590.431%,Upgrade,Financials in CAD,Fiscal year is January - December
Profit Margin,9.731%,6.861%,-103.055%,-200.751%,115.632%,-58.495%,-42.761%,-65.054%,-303.086%,-52.274%,-176.107%,-62.678%,-55.228%,41.521%,-114.488%,-147.702%,-141.408%,-406.539%,-128.662%,-1828.929%,Upgrade,Financials in CAD,Fiscal year is January - December
Free Cash Flow Margin,36.672%,6.467%,-10.059%,26.842%,8.957%,-26.667%,11.365%,3.768%,-27.383%,2.294%,-34.474%,-26.956%,-34.038%,-67.049%,-217.270%,-48.316%,-109.510%,-159.953%,-204.028%,-1162.579%,Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA,"8,747,000","7,697,000","-129,000","-6,534,000","-4,984,000","-2,213,000","-1,501,000","-11,297,000","-9,137,000","-3,852,000","-7,961,000","-12,528,000","-6,536,000","-3,639,000","-6,755,000","-9,083,000","-6,997,000","-12,678,000","-11,257,000","-15,029,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBITDA Margin,26.280%,26.379%,-0.511%,-24.282%,-17.667%,-10.064%,-6.263%,-45.772%,-46.077%,-14.092%,-35.185%,-42.731%,-26.685%,-17.451%,-73.696%,-49.751%,-55.589%,-184.622%,-113.650%,-,Upgrade,Financials in CAD,Fiscal year is January - December
D&A For EBITDA,"2,579,000","2,847,000","2,198,000","2,299,000","2,968,000","2,584,000","2,865,000","632,000","4,206,000","6,080,000","5,811,000","1,730,000","2,592,000","2,620,000","2,538,000","93,000","2,466,000","2,262,000","2,374,000","3,605,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT,"6,168,000","4,850,000","-2,327,000","-8,833,000","-7,952,000","-4,797,000","-4,366,000","-11,929,000","-13,343,000","-9,932,000","-13,772,000","-14,258,000","-9,128,000","-6,259,000","-9,293,000","-9,176,000","-9,463,000","-14,940,000","-13,631,000","-18,634,000",Upgrade,Financials in CAD,Fiscal year is January - December
EBIT Margin,18.531%,16.622%,-9.219%,-32.825%,-28.188%,-21.814%,-18.216%,-48.333%,-67.287%,-36.334%,-60.868%,-48.632%,-37.268%,-30.016%,-101.385%,-50.260%,-75.181%,-217.562%,-137.617%,-,Upgrade,Financials in CAD,Fiscal year is January - December
Revenue as Reported,"33,284,000","29,178,000","25,241,000","26,909,000","28,211,000","21,990,000","23,968,000","24,681,000","19,830,000","27,335,000","22,626,000","29,318,000","24,493,000","20,852,000","9,166,000","18,257,000","12,587,000","6,867,000","9,905,000","3,156,000",Upgrade,Financials in CAD,Fiscal year is January - December
