Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
EPS (Diluted),-1.647,-1.671,-4.670,-3.770,-3.115,-3.763,Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow,"-475,670,000","-638,427,000","-875,722,000","-615,422,000","-373,933,000","-480,841,000",Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow Per Share,-2.643,-3.582,-4.935,-3.652,-2.618,-3.665,Upgrade,Financials in CHF,Fiscal year is January - December
Gross Margin,-151.662%,-97.331%,-,-,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
Operating Margin,-532.233%,-357.089%,-825.178%,-1724.247%,-568.136%,-2019.904%,Upgrade,Financials in CHF,Fiscal year is January - December
Profit Margin,-399.919%,-195.504%,-852.604%,-1795.228%,-619.849%,-2072.333%,Upgrade,Financials in CHF,Fiscal year is January - December
Free Cash Flow Margin,-641.739%,-418.954%,-901.858%,-1740.988%,-521.103%,-2018.729%,Upgrade,Financials in CHF,Fiscal year is January - December
EBITDA,"-376,875,000","-525,120,000","-781,435,000","-591,947,000","-389,958,000","-462,701,000",Upgrade,Financials in CHF,Fiscal year is January - December
D&A For EBITDA,"17,627,000","19,034,000","19,829,000","17,557,000","17,725,000","18,420,000",Upgrade,Financials in CHF,Fiscal year is January - December
EBIT,"-394,502,000","-544,154,000","-801,264,000","-609,504,000","-407,683,000","-481,121,000",Upgrade,Financials in CHF,Fiscal year is January - December
Revenue as Reported,"74,122,000","152,386,000","97,102,000","35,349,000","71,758,000","23,819,000",Upgrade,Financials in CHF,Fiscal year is January - December
Advertising Expenses,-,"108,800,000","173,400,000",-,-,-,Upgrade,Financials in CHF,Fiscal year is January - December
