Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2016,Currency,Fiscal_Year_period
Shares Outstanding (Basic),"246,896,096","246,710,868","247,128,026","247,337,209","230,603,488","206,291,413",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Outstanding (Diluted),"246,896,096","246,710,868","247,128,026","247,337,209","230,603,488","206,291,413",Upgrade,Financials in CNY,Fiscal year is January - December
Shares Change (YoY),-0.029%,-0.169%,-0.085%,7.256%,11.785%,34.835%,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Basic),-2.917,-6.010,-3.680,7.740,-1.720,-0.760,Upgrade,Financials in CNY,Fiscal year is January - December
EPS (Diluted),-2.917,-6.010,-3.680,7.740,-1.720,-0.760,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow,"-935,904,493","-1,518,697,611","-2,926,558,445","846,863,000","-638,227,000","-271,172,769",Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Per Share,-3.791,-6.156,-11.842,3.424,-2.768,-1.315,Upgrade,Financials in CNY,Fiscal year is January - December
Dividend Per Share,-,-,-,0.800,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Gross Margin,-3.456%,-124.270%,-17.756%,69.817%,40.816%,83.002%,Upgrade,Financials in CNY,Fiscal year is January - December
Operating Margin,-149.000%,-482.381%,-144.886%,41.493%,-2079.815%,-9543.888%,Upgrade,Financials in CNY,Fiscal year is January - December
Profit Margin,-96.204%,-415.234%,-87.902%,44.524%,-1593.564%,-6866.169%,Upgrade,Financials in CNY,Fiscal year is January - December
Free Cash Flow Margin,-125.032%,-425.306%,-282.870%,19.696%,-2564.190%,-11875.880%,Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA,"-829,733,578","-1,482,116,417","-1,318,848,154","1,849,176,000","-498,754,000","-204,898,746",Upgrade,Financials in CNY,Fiscal year is January - December
EBITDA Margin,-110.848%,-,-127.475%,43.007%,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
D&A For EBITDA,"285,576,204","240,386,479","180,133,512","65,112,000","18,912,000","13,025,525",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT,"-1,115,309,782","-1,722,502,896","-1,498,981,666","1,784,064,000","-517,666,000","-217,924,271",Upgrade,Financials in CNY,Fiscal year is January - December
EBIT Margin,-149.000%,-,-144.886%,41.493%,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Effective Tax Rate,-,-,-,1.534%,-,-,Upgrade,Financials in CNY,Fiscal year is January - December
Revenue as Reported,"748,529,492","357,083,325","1,034,595,413","4,299,702,000","24,890,000","2,283,391",Upgrade,Financials in CNY,Fiscal year is January - December
Advertising Expenses,-,-,-,"9,030,000","296,000","50,656",Upgrade,Financials in CNY,Fiscal year is January - December
