Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters,Currency,Fiscal_Year_period
Interest & Investment Income,"1,883,103","1,999,654","635,310","303,689","94,679","129,841","57,575","47,752","62,180","137,361",Upgrade,Financials in AUD,Fiscal year is July - June
Currency Exchange Gain (Loss),"140,142","-26,684","161,902","461,609","773,299","454,823","272,761","-779,803","121,715","224,616",Upgrade,Financials in AUD,Fiscal year is July - June
Other Non Operating Income (Expenses),533,-,-,"131,896","406,542","184,528","-605,852","-8,057,161","1,594,959","619,854",Upgrade,Financials in AUD,Fiscal year is July - June
EBT Excluding Unusual Items,"-21,425,594","-21,165,714","-19,218,455","-20,538,845","-15,804,844","-16,081,212","-9,543,799","-19,186,833","-6,943,027","-5,378,762",Upgrade,Financials in AUD,Fiscal year is July - June
Other Unusual Items,"-62,840","-62,477","-54,643","-84,405","-135,769","-188,967","-514,681","-657,278","-574,860","-571,546",Upgrade,Financials in AUD,Fiscal year is July - June
Pretax Income,"-21,488,434","-21,228,191","-19,273,098","-20,623,250","-15,940,613","-16,270,179","-10,058,480","-19,844,111","-7,517,887","-5,950,308",Upgrade,Financials in AUD,Fiscal year is July - June
Income Tax Expense,-,-,-,-,-,34,-2,35,-,37,Upgrade,Financials in AUD,Fiscal year is July - June
Net Income,"-21,488,434","-21,228,191","-19,273,098","-20,623,250","-15,940,613","-16,270,213","-10,058,478","-19,844,146","-7,517,887","-5,950,345",Upgrade,Financials in AUD,Fiscal year is July - June
Net Income to Common,"-21,488,434","-21,228,191","-19,273,098","-20,623,250","-15,940,613","-16,270,213","-10,058,478","-19,844,146","-7,517,887","-5,950,345",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Basic),"1,216,191,402","1,185,932,458","910,933,095","873,866,525","859,265,363","838,670,773","671,730,964","518,123,916","423,661,585","402,050,337",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Outstanding (Diluted),"1,216,191,402","1,185,932,458","910,933,095","873,866,525","859,265,363","838,670,773","671,730,964","518,123,916","423,661,585","402,050,337",Upgrade,Financials in AUD,Fiscal year is July - June
Shares Change (YoY),33.511%,35.711%,6.013%,4.197%,27.918%,61.867%,58.554%,28.870%,17.352%,30.179%,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Basic),-0.018,-0.018,-0.021,-0.024,-0.019,-0.019,-0.015,-0.038,-0.018,-0.015,Upgrade,Financials in AUD,Fiscal year is July - June
EPS (Diluted),-0.018,-0.018,-0.021,-0.024,-0.019,-0.019,-0.015,-0.038,-0.018,-0.015,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow,"-16,383,189","-18,467,255","-23,446,723","-11,991,832","-18,458,799","-11,793,867","-8,614,002","-9,041,941","-5,637,928","-5,220,759",Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Per Share,-0.013,-0.016,-0.026,-0.014,-0.021,-0.014,-0.013,-0.017,-0.013,-0.013,Upgrade,Financials in AUD,Fiscal year is July - June
Operating Margin,-1353.423%,-1095.723%,-1099.351%,-1270.876%,-645.721%,-808.776%,-561.249%,-469.777%,-210.499%,-66.210%,Upgrade,Financials in AUD,Fiscal year is July - June
Profit Margin,-1241.292%,-1005.721%,-1058.852%,-1223.544%,-605.691%,-781.263%,-609.522%,-896.878%,-181.540%,-61.995%,Upgrade,Financials in AUD,Fiscal year is July - June
Free Cash Flow Margin,-946.385%,-874.917%,-1288.148%,-711.456%,-701.373%,-566.318%,-521.990%,-408.660%,-136.143%,-54.394%,Upgrade,Financials in AUD,Fiscal year is July - June
EBITDA,"-22,346,077","-22,198,291","-19,070,567","-20,501,524","-17,043,828","-14,954,454","-8,426,046","-9,341,291","-7,729,685","-5,389,405",Upgrade,Financials in AUD,Fiscal year is July - June
D&A For EBITDA,"1,083,487","929,607","939,686","919,528","-49,686","1,888,742","835,826","1,052,916","987,462","965,465",Upgrade,Financials in AUD,Fiscal year is July - June
EBIT,"-23,429,564","-23,127,898","-20,010,253","-21,421,052","-16,994,142","-16,843,196","-9,261,872","-10,394,207","-8,717,147","-6,354,870",Upgrade,Financials in AUD,Fiscal year is July - June
Revenue as Reported,"3,728,228","4,110,397","2,617,400","2,582,728","3,906,328","2,851,745","1,707,800","2,260,333","5,920,027","10,579,941",Upgrade,Financials in AUD,Fiscal year is July - June
