Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,Currency,Fiscal_Year_period
Shares Change (YoY),0.460%,10.913%,17.152%,6.467%,4.819%,5.235%,27.841%,39.261%,18.442%,26.708%,Financials in CNY,Fiscal year is January - December
EPS (Basic),-0.166,-1.975,-0.495,-1.125,-1.418,-1.419,-0.934,-0.905,-0.716,-0.540,Financials in CNY,Fiscal year is January - December
EPS (Diluted),-0.166,-1.975,-0.495,-1.125,-1.418,-1.419,-0.934,-0.905,-0.716,-0.540,Financials in CNY,Fiscal year is January - December
Free Cash Flow,"-111,153,000","-175,978,000","-214,326,000","-269,543,000","-719,187,000","-650,188,000","-477,413,000","-254,714,000","-195,201,000","-182,914,000",Financials in CNY,Fiscal year is January - December
Free Cash Flow Per Share,-0.258,-0.410,-0.500,-0.696,-1.966,-1.787,-1.368,-0.737,-0.715,-0.737,Financials in CNY,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-1466.218%,-,-,-,-,Financials in CNY,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-1508.206%,-,-,-,-,Financials in CNY,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-1899.413%,-,-,-,-,Financials in CNY,Fiscal year is January - December
EBITDA,"-65,062,000","-846,506,000","-209,315,000","-428,421,000","-528,025,000","-498,089,000","-329,878,000","-223,424,000","-172,902,000","-121,506,000",Financials in CNY,Fiscal year is January - December
D&A For EBITDA,"6,218,000","6,716,000","7,138,000","6,927,000","5,751,000","3,812,000","2,917,000","2,139,000","1,278,000","1,038,000",Financials in CNY,Fiscal year is January - December
EBIT,"-71,280,000","-853,222,000","-216,453,000","-435,348,000","-533,776,000","-501,901,000","-332,795,000","-225,563,000","-174,180,000","-122,544,000",Financials in CNY,Fiscal year is January - December
