Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Currency,Fiscal_Year_period
Interest Expense,"-90,000,000","-96,000,000","-97,000,000","-145,000,000","-88,000,000","-124,000,000","-95,000,000","-118,000,000","-81,000,000","-71,000,000","-8,000,000","-2,000,000","-4,000,000","-6,000,000","-4,000,000",Financials in GBP,Fiscal year is January - December
Interest & Investment Income,"12,000,000","9,000,000","22,000,000","25,000,000",-,"28,000,000","10,000,000","6,000,000","7,000,000","36,000,000","7,000,000",-,"4,000,000","3,000,000","6,000,000",Financials in GBP,Fiscal year is January - December
Other Non Operating Income (Expenses),"-1,000,000","-3,000,000","10,000,000","-90,000,000",-,-,-,"223,000,000",-,-,-,"-34,000,000",-,-,-,Financials in GBP,Fiscal year is January - December
EBT Excluding Unusual Items,"626,000,000","552,000,000","590,000,000","330,000,000","590,000,000","525,000,000","542,000,000","651,000,000","614,000,000","507,000,000","602,000,000","543,000,000","597,000,000","390,000,000","423,000,000",Financials in GBP,Fiscal year is January - December
Merger & Restructuring Charges,-,"-136,000,000",-,"-42,000,000","-60,000,000","-37,000,000",-,-,"-4,000,000","-7,000,000","-13,000,000","-80,000,000","-38,000,000","-29,000,000","-48,000,000",Financials in GBP,Fiscal year is January - December
Gain (Loss) on Sale of Assets,-,"9,000,000",-,"-10,000,000",-,"-10,000,000",-,"-7,000,000","27,000,000","1,000,000","3,000,000",-,"21,000,000","-9,000,000","9,000,000",Financials in GBP,Fiscal year is January - December
Asset Writedown,-,-,-,"-191,000,000",-,-,-,"-137,000,000",-,-,-,"-5,000,000",-,-,-,Financials in GBP,Fiscal year is January - December
Other Unusual Items,-,"-19,000,000",-,"85,000,000","-34,000,000","-60,000,000",-,"-248,000,000","-142,000,000","-102,000,000","-127,000,000","-65,000,000","-73,000,000","34,000,000","-34,000,000",Financials in GBP,Fiscal year is January - December
Pretax Income,"626,000,000","406,000,000","590,000,000","172,000,000","496,000,000","418,000,000","542,000,000","259,000,000","495,000,000","399,000,000","465,000,000","393,000,000","507,000,000","386,000,000","350,000,000",Financials in GBP,Fiscal year is January - December
Income Tax Expense,"127,000,000","93,000,000","149,000,000","165,000,000","122,000,000","103,000,000","127,000,000","49,000,000","130,000,000","212,000,000","108,000,000","-144,000,000","125,000,000","115,000,000","101,000,000",Financials in GBP,Fiscal year is January - December
Earnings From Continuing Operations,"499,000,000","313,000,000","441,000,000","7,000,000","374,000,000","315,000,000","415,000,000","210,000,000","365,000,000","187,000,000","357,000,000","537,000,000","382,000,000","271,000,000","249,000,000",Financials in GBP,Fiscal year is January - December
Minority Interest in Earnings,"-14,000,000","-10,000,000","-18,000,000","-10,000,000","-9,000,000","-17,000,000","-26,000,000","-12,000,000","-20,000,000","-13,000,000","-14,000,000","-9,000,000","-11,000,000","-13,000,000","-16,000,000",Financials in GBP,Fiscal year is January - December
Net Income,"485,000,000","303,000,000","423,000,000","-3,000,000","365,000,000","298,000,000","389,000,000","198,000,000","345,000,000","174,000,000","343,000,000","528,000,000","371,000,000","258,000,000","233,000,000",Financials in GBP,Fiscal year is January - December
Net Income to Common,"485,000,000","303,000,000","423,000,000","-3,000,000","365,000,000","298,000,000","389,000,000","198,000,000","345,000,000","174,000,000","343,000,000","528,000,000","371,000,000","258,000,000","233,000,000",Financials in GBP,Fiscal year is January - December
Net Income Growth,32.877%,1.678%,8.740%,-,5.797%,71.264%,13.411%,-62.500%,-7.008%,-32.558%,47.210%,-,-,-,-,Financials in GBP,Fiscal year is January - December
Shares Outstanding (Basic),"9,174,242,424","9,158,347,827","9,195,652,173","9,247,789,475","9,228,070,175","9,206,095,239","9,261,904,761","9,234,573,831",-,"9,234,573,831","9,234,573,831","9,234,573,831",-,"9,234,573,831",-,Financials in GBP,Fiscal year is January - December
Shares Outstanding (Diluted),"9,174,242,424","9,212,347,827","9,195,652,173","9,247,789,475","9,309,734,513","9,266,095,239","9,261,904,761","9,234,573,831",-,"9,234,573,831","9,234,573,831","9,234,573,831",-,"9,234,573,831",-,Financials in GBP,Fiscal year is January - December
Shares Change (YoY),-1.455%,-0.580%,-0.715%,0.143%,-,0.341%,0.296%,-,-,-,-,-,-,-,-,Financials in GBP,Fiscal year is January - December
EPS (Basic),0.053,0.033,0.046,-0.000,0.040,0.032,0.042,0.021,-,0.019,0.037,0.057,-,0.028,-,Financials in GBP,Fiscal year is January - December
EPS (Diluted),0.053,0.033,0.046,-0.001,0.039,0.032,0.042,0.021,-,0.019,0.037,0.057,-,0.028,-,Financials in GBP,Fiscal year is January - December
EPS Growth,34.839%,3.153%,9.524%,-,-,69.844%,13.076%,-62.500%,-,-32.145%,-,-,-,-,-,Financials in GBP,Fiscal year is January - December
Dividend Per Share,-,0.020,-,0.042,-,0.018,-,0.024,-,-,-,-,-,-,-,Financials in GBP,Fiscal year is January - December
Dividend Growth,-,11.111%,-,75.000%,-,-,-,-,-,-,-,-,-,-,-,Financials in GBP,Fiscal year is January - December
Gross Margin,62.878%,64.721%,62.967%,61.280%,63.474%,62.282%,61.621%,60.799%,62.967%,62.671%,61.439%,63.589%,62.972%,62.715%,61.405%,Financials in GBP,Fiscal year is January - December
Operating Margin,25.360%,23.135%,22.439%,19.523%,24.232%,22.565%,20.998%,19.438%,23.790%,21.164%,22.954%,23.347%,23.976%,17.320%,18.257%,Financials in GBP,Fiscal year is January - December
Profit Margin,17.446%,10.919%,14.491%,-0.108%,13.045%,10.828%,13.027%,7.127%,11.929%,6.794%,13.057%,21.290%,14.900%,11.371%,10.104%,Financials in GBP,Fiscal year is January - December
EBITDA,"752,750,000","718,500,000","702,750,000","587,750,000","724,250,000","697,000,000","673,250,000","586,250,000","732,750,000","608,000,000","647,750,000","623,750,000","651,250,000","453,000,000","475,250,000",Financials in GBP,Fiscal year is January - December
EBITDA Margin,27.077%,25.892%,24.075%,21.249%,25.884%,25.327%,22.547%,21.103%,25.337%,23.741%,24.657%,25.151%,26.155%,19.965%,20.609%,Financials in GBP,Fiscal year is January - December
D&A For EBITDA,"47,750,000","76,500,000","47,750,000","47,750,000","46,250,000","76,000,000","46,250,000","46,250,000","44,750,000","66,000,000","44,750,000","44,750,000","54,250,000","60,000,000","54,250,000",Financials in GBP,Fiscal year is January - December
EBIT,"705,000,000","642,000,000","655,000,000","540,000,000","678,000,000","621,000,000","627,000,000","540,000,000","688,000,000","542,000,000","603,000,000","579,000,000","597,000,000","393,000,000","421,000,000",Financials in GBP,Fiscal year is January - December
EBIT Margin,25.360%,23.135%,22.439%,19.523%,24.232%,22.565%,20.998%,19.438%,23.790%,21.164%,22.954%,23.347%,23.976%,17.320%,18.257%,Financials in GBP,Fiscal year is January - December
Effective Tax Rate,20.288%,22.906%,25.254%,95.930%,24.597%,24.641%,23.432%,18.919%,26.263%,53.133%,23.226%,-,24.655%,29.793%,28.857%,Financials in GBP,Fiscal year is January - December
