Company,Frequency,Fiscal,Period Ending,Revenue,Currency,Fiscal_period
JUSHF,annual,FY 2019,"Dec '19 Dec 31, 2019","10,229,000",Financials in USD,Fiscal year is January - December
JUSHF,annual,2018,2018,Upgrade,Financials in USD,Fiscal year is January - December
JUSHF,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
JUSHF,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q3 2024,"Sep '24 Sep 30, 2024","61,611,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q2 2024,"Jun '24 Jun 30, 2024","64,595,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q1 2024,"Mar '24 Mar 31, 2024","65,459,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q4 2023,"Dec '23 Dec 31, 2023","67,770,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q3 2023,"Sep '23 Sep 30, 2023","65,377,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q2 2023,"Jun '23 Jun 30, 2023","66,425,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q1 2023,"Mar '23 Mar 31, 2023","69,873,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q4 2022,"Dec '22 Dec 31, 2022","76,822,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q3 2022,"Sep '22 Sep 30, 2022","72,817,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q2 2022,"Jun '22 Jun 30, 2022","72,757,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q1 2022,"Mar '22 Mar 31, 2022","61,888,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","65,892,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","53,981,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","47,744,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q1 2021,"Mar '21 Mar 31, 2021","41,675,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q4 2020,"Dec '20 Dec 31, 2020","32,294,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q3 2020,"Sep '20 Sep 30, 2020","24,913,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q2 2020,"Jun '20 Jun 30, 2020","14,932,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q1 2020,"Mar '20 Mar 31, 2020","8,633,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Q4 2019,"Dec '19 Dec 31, 2019","6,034,000",Financials in USD,Fiscal year is January - December
JUSHF,quarterly,+7 Quarters,+7 Quarters,Upgrade,Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
JUSHF,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
KAYS,annual,TTM,"Sep '24 Sep 30, 2024","64,931",Financials in USD,Fiscal year is January - December
KAYS,annual,FY 2023,"Dec '23 Dec 31, 2023","196,294",Financials in USD,Fiscal year is January - December
KAYS,annual,FY 2022,"Dec '22 Dec 31, 2022","685,379",Financials in USD,Fiscal year is January - December
KAYS,annual,FY 2021,"Dec '21 Dec 31, 2021","889,899",Financials in USD,Fiscal year is January - December
KAYS,annual,FY 2020,"Dec '20 Dec 31, 2020","1,029,543",Financials in USD,Fiscal year is January - December
KAYS,annual,FY 2019,"Dec '19 Dec 31, 2019","1,014,266",Financials in USD,Fiscal year is January - December
KAYS,annual,2018 - 2014,2018 - 2014,Upgrade,Financials in USD,Fiscal year is January - December
KAYS,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
KAYS,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q3 2024,"Sep '24 Sep 30, 2024","3,000",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q2 2024,"Jun '24 Jun 30, 2024",-,Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q1 2024,"Mar '24 Mar 31, 2024","28,009",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q4 2023,"Dec '23 Dec 31, 2023","33,922",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q3 2023,"Sep '23 Sep 30, 2023","59,011",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q2 2023,"Jun '23 Jun 30, 2023","55,116",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q1 2023,"Mar '23 Mar 31, 2023","48,245",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q4 2022,"Dec '22 Dec 31, 2022","128,561",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q3 2022,"Sep '22 Sep 30, 2022","172,968",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q2 2022,"Jun '22 Jun 30, 2022","195,186",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q1 2022,"Mar '22 Mar 31, 2022","188,664",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","199,632",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","214,051",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","239,198",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q1 2021,"Mar '21 Mar 31, 2021","237,018",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q4 2020,"Dec '20 Dec 31, 2020","255,385",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q3 2020,"Sep '20 Sep 30, 2020","274,985",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q2 2020,"Jun '20 Jun 30, 2020","263,862",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q1 2020,"Mar '20 Mar 31, 2020","235,311",Financials in USD,Fiscal year is January - December
KAYS,quarterly,Q4 2019,"Dec '19 Dec 31, 2019","292,544",Financials in USD,Fiscal year is January - December
KAYS,quarterly,+20 Quarters,+20 Quarters,Upgrade,Financials in USD,Fiscal year is January - December
KAYS,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
KAYS,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
KLDO,annual,TTM,"Dec '21 Dec 31, 2021","1,104,000",Financials in USD,Fiscal year is January - December
KLDO,annual,FY 2021,"Dec '21 Dec 31, 2021","1,104,000",Financials in USD,Fiscal year is January - December
KLDO,annual,FY 2020,"Dec '20 Dec 31, 2020","975,000",Financials in USD,Fiscal year is January - December
KLDO,annual,FY 2019,"Dec '19 Dec 31, 2019",-,Financials in USD,Fiscal year is January - December
KLDO,annual,FY 2018,"Dec '18 Dec 31, 2018",-,Financials in USD,Fiscal year is January - December
KLDO,annual,FY 2017,"Dec '17 Dec 31, 2017",-,Financials in USD,Fiscal year is January - December
KLDO,annual,2016,2016,Upgrade,Financials in USD,Fiscal year is January - December
KLDO,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
KLDO,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","492,000",Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","104,000",Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","211,000",Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q1 2021,"Mar '21 Mar 31, 2021","297,000",Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q4 2020,"Dec '20 Dec 31, 2020","243,000",Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q3 2020,"Sep '20 Sep 30, 2020","482,000",Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q2 2020,"Jun '20 Jun 30, 2020","250,000",Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q1 2020,"Mar '20 Mar 31, 2020",-,Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q4 2019,"Dec '19 Dec 31, 2019",-,Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q3 2019,"Sep '19 Sep 30, 2019",-,Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q2 2019,"Jun '19 Jun 30, 2019",-,Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q1 2019,"Mar '19 Mar 31, 2019",-,Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q4 2018,"Dec '18 Dec 31, 2018",-,Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q3 2018,"Sep '18 Sep 30, 2018",-,Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q2 2018,"Jun '18 Jun 30, 2018",-,Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q1 2018,"Mar '18 Mar 31, 2018",-,Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q4 2017,"Dec '17 Dec 31, 2017",-,Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q3 2017,"Sep '17 Sep 30, 2017",-,Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q2 2017,"Jun '17 Jun 30, 2017",-,Financials in USD,Fiscal year is January - December
KLDO,quarterly,Q1 2017,"Mar '17 Mar 31, 2017",-,Financials in USD,Fiscal year is January - December
KLDO,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
KLDO,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
LIFD,annual,TTM,"Sep '24 Sep 30, 2024","42,365,570",Financials in USD,Fiscal year is January - December
LIFD,annual,FY 2023,"Dec '23 Dec 31, 2023","51,610,562",Financials in USD,Fiscal year is January - December
LIFD,annual,FY 2022,"Dec '22 Dec 31, 2022","57,416,535",Financials in USD,Fiscal year is January - December
LIFD,annual,FY 2021,"Dec '21 Dec 31, 2021","31,656,932",Financials in USD,Fiscal year is January - December
LIFD,annual,FY 2020,"Dec '20 Dec 31, 2020","5,344,320",Financials in USD,Fiscal year is January - December
LIFD,annual,FY 2019,"Dec '19 Dec 31, 2019",-,Financials in USD,Fiscal year is January - December
LIFD,annual,2018 - 2014,2018 - 2014,Upgrade,Financials in USD,Fiscal year is January - December
LIFD,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
LIFD,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q3 2024,"Sep '24 Sep 30, 2024","8,691,675",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q2 2024,"Jun '24 Jun 30, 2024","9,487,299",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q1 2024,"Mar '24 Mar 31, 2024","10,666,649",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q4 2023,"Dec '23 Dec 31, 2023","13,519,947",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q3 2023,"Sep '23 Sep 30, 2023","13,106,280",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q2 2023,"Jun '23 Jun 30, 2023","12,522,542",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q1 2023,"Mar '23 Mar 31, 2023","12,461,793",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q4 2022,"Dec '22 Dec 31, 2022","11,313,879",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q3 2022,"Sep '22 Sep 30, 2022","11,237,277",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q2 2022,"Jun '22 Jun 30, 2022","16,776,502",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q1 2022,"Mar '22 Mar 31, 2022","18,088,877",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","12,787,566",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","8,820,952",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","6,695,144",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q1 2021,"Mar '21 Mar 31, 2021","3,353,270",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q4 2020,"Dec '20 Dec 31, 2020","2,196,518",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q3 2020,"Sep '20 Sep 30, 2020","1,509,437",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q2 2020,"Jun '20 Jun 30, 2020","1,267,942",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q1 2020,"Mar '20 Mar 31, 2020","370,424",Financials in USD,Fiscal year is January - December
LIFD,quarterly,Q4 2019,"Dec '19 Dec 31, 2019",-,Financials in USD,Fiscal year is January - December
LIFD,quarterly,+20 Quarters,+20 Quarters,Upgrade,Financials in USD,Fiscal year is January - December
LIFD,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
LIFD,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
MCOA,annual,TTM,"Sep '22 Sep 30, 2022","1,498,604",Financials in USD,Fiscal year is January - December
MCOA,annual,FY 2021,"Dec '21 Dec 31, 2021","1,030,249",Financials in USD,Fiscal year is January - December
MCOA,annual,FY 2020,"Dec '20 Dec 31, 2020","280,653",Financials in USD,Fiscal year is January - December
MCOA,annual,FY 2019,"Dec '19 Dec 31, 2019","695,076",Financials in USD,Fiscal year is January - December
MCOA,annual,FY 2018,"Dec '18 Dec 31, 2018","252,135",Financials in USD,Fiscal year is January - December
MCOA,annual,FY 2017,"Dec '17 Dec 31, 2017","26,830",Financials in USD,Fiscal year is January - December
MCOA,annual,2016 - 2012,2016 - 2012,Upgrade,Financials in USD,Fiscal year is January - December
MCOA,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
MCOA,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q3 2022,"Sep '22 Sep 30, 2022","142,394",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q2 2022,"Jun '22 Jun 30, 2022","258,628",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q1 2022,"Mar '22 Mar 31, 2022","561,321",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","536,261",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","442,178",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","16,880",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q1 2021,"Mar '21 Mar 31, 2021","34,930",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q4 2020,"Dec '20 Dec 31, 2020","62,681",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q3 2020,"Sep '20 Sep 30, 2020","53,195",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q2 2020,"Jun '20 Jun 30, 2020","82,958",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q1 2020,"Mar '20 Mar 31, 2020","81,819",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q4 2019,"Dec '19 Dec 31, 2019","142,315",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q3 2019,"Sep '19 Sep 30, 2019","229,371",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q2 2019,"Jun '19 Jun 30, 2019","208,580",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q1 2019,"Mar '19 Mar 31, 2019","114,810",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q4 2018,"Dec '18 Dec 31, 2018","114,414",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q3 2018,"Sep '18 Sep 30, 2018","90,276",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q2 2018,"Jun '18 Jun 30, 2018","28,435",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q1 2018,"Mar '18 Mar 31, 2018","19,010",Financials in USD,Fiscal year is January - December
MCOA,quarterly,Q4 2017,"Dec '17 Dec 31, 2017","6,880",Financials in USD,Fiscal year is January - December
MCOA,quarterly,+19 Quarters,+19 Quarters,Upgrade,Financials in USD,Fiscal year is January - December
MCOA,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
MCOA,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
MRMD,annual,TTM,"Sep '24 Sep 30, 2024","157,861,000",Financials in USD,Fiscal year is January - December
MRMD,annual,FY 2023,"Dec '23 Dec 31, 2023","148,598,000",Financials in USD,Fiscal year is January - December
MRMD,annual,FY 2022,"Dec '22 Dec 31, 2022","134,010,000",Financials in USD,Fiscal year is January - December
MRMD,annual,FY 2021,"Dec '21 Dec 31, 2021","121,464,000",Financials in USD,Fiscal year is January - December
MRMD,annual,FY 2020,"Dec '20 Dec 31, 2020","50,895,151",Financials in USD,Fiscal year is January - December
MRMD,annual,FY 2019,"Dec '19 Dec 31, 2019","45,604,644",Financials in USD,Fiscal year is January - December
MRMD,annual,2018 - 2016,2018 - 2016,Upgrade,Financials in USD,Fiscal year is January - December
MRMD,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
MRMD,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q3 2024,"Sep '24 Sep 30, 2024","40,591,000",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q2 2024,"Jun '24 Jun 30, 2024","40,438,000",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q1 2024,"Mar '24 Mar 31, 2024","37,933,000",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q4 2023,"Dec '23 Dec 31, 2023","38,899,000",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q3 2023,"Sep '23 Sep 30, 2023","38,800,000",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q2 2023,"Jun '23 Jun 30, 2023","36,519,000",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q1 2023,"Mar '23 Mar 31, 2023","34,380,000",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q4 2022,"Dec '22 Dec 31, 2022","35,830,000",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q3 2022,"Sep '22 Sep 30, 2022","33,912,000",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q2 2022,"Jun '22 Jun 30, 2022","32,986,000",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q1 2022,"Mar '22 Mar 31, 2022","31,282,000",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","31,044,000",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","33,208,000",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","32,569,000",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q1 2021,"Mar '21 Mar 31, 2021","24,643,000",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q4 2020,"Dec '20 Dec 31, 2020","20,357,322",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q3 2020,"Sep '20 Sep 30, 2020","13,461,504",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q2 2020,"Jun '20 Jun 30, 2020","9,610,306",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q1 2020,"Mar '20 Mar 31, 2020","7,466,019",Financials in USD,Fiscal year is January - December
MRMD,quarterly,Q4 2019,"Dec '19 Dec 31, 2019","5,192,453",Financials in USD,Fiscal year is January - December
MRMD,quarterly,+15 Quarters,+15 Quarters,Upgrade,Financials in USD,Fiscal year is January - December
MRMD,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
MRMD,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
MSTH,annual,TTM,"Jun '24 Jun 30, 2024","19,496,756",Financials in USD,Fiscal year is January - December
MSTH,annual,FY 2023,"Dec '23 Dec 31, 2023","17,161,022",Financials in USD,Fiscal year is January - December
MSTH,annual,FY 2022,"Dec '22 Dec 31, 2022","10,056,284",Financials in USD,Fiscal year is January - December
MSTH,annual,FY 2021,"Dec '21 Dec 31, 2021","14,143,910",Financials in USD,Fiscal year is January - December
MSTH,annual,FY 2020,"Dec '20 Dec 31, 2020","13,379,709",Financials in USD,Fiscal year is January - December
MSTH,annual,FY 2019,"Dec '19 Dec 31, 2019","4,462,624",Financials in USD,Fiscal year is January - December
MSTH,annual,2018 - 2017,2018 - 2017,Upgrade,Financials in USD,Fiscal year is January - December
MSTH,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
MSTH,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
MSTH,quarterly,H1 2024,"Jun '24 Jun 30, 2024","9,461,484",Financials in USD,Fiscal year is January - December
MSTH,quarterly,H2 2023,"Dec '23 Dec 31, 2023","10,035,272",Financials in USD,Fiscal year is January - December
MSTH,quarterly,H1 2023,"Jun '23 Jun 30, 2023","7,125,750",Financials in USD,Fiscal year is January - December
MSTH,quarterly,H2 2022,"Dec '22 Dec 31, 2022","5,231,337",Financials in USD,Fiscal year is January - December
MSTH,quarterly,H1 2022,"Jun '22 Jun 30, 2022","4,824,947",Financials in USD,Fiscal year is January - December
MSTH,quarterly,H1 2021,"Jun '21 Jun 30, 2021","7,679,766",Financials in USD,Fiscal year is January - December
MSTH,quarterly,H2 2020,"Dec '20 Dec 31, 2020","7,762,263",Financials in USD,Fiscal year is January - December
MSTH,quarterly,H1 2020,"Jun '20 Jun 30, 2020","5,617,447",Financials in USD,Fiscal year is January - December
MSTH,quarterly,H2 2019,"Dec '19 Dec 31, 2019","2,390,139",Financials in USD,Fiscal year is January - December
MSTH,quarterly,H1 2019,"Jun '19 Jun 30, 2019","2,072,485",Financials in USD,Fiscal year is January - December
MSTH,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
MSTH,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
NAVB,annual,TTM,"Sep '23 Sep 30, 2023",610,Financials in USD,Fiscal year is January - December
NAVB,annual,FY 2022,"Dec '22 Dec 31, 2022","65,652",Financials in USD,Fiscal year is January - December
NAVB,annual,FY 2021,"Dec '21 Dec 31, 2021","531,513",Financials in USD,Fiscal year is January - December
NAVB,annual,FY 2020,"Dec '20 Dec 31, 2020","915,013",Financials in USD,Fiscal year is January - December
NAVB,annual,FY 2019,"Dec '19 Dec 31, 2019","657,826",Financials in USD,Fiscal year is January - December
NAVB,annual,FY 2018,"Dec '18 Dec 31, 2018","1,169,351",Financials in USD,Fiscal year is January - December
NAVB,annual,2017 - 2013,2017 - 2013,Upgrade,Financials in USD,Fiscal year is January - December
NAVB,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
NAVB,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q3 2023,"Sep '23 Sep 30, 2023",-,Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q2 2023,"Jun '23 Jun 30, 2023",-,Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q1 2023,"Mar '23 Mar 31, 2023",-,Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q4 2022,"Dec '22 Dec 31, 2022",610,Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q3 2022,"Sep '22 Sep 30, 2022","7,516",Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q2 2022,"Jun '22 Jun 30, 2022","57,526",Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q1 2022,"Mar '22 Mar 31, 2022",-,Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","50,348",Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","96,382",Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","261,046",Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q1 2021,"Mar '21 Mar 31, 2021","123,737",Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q4 2020,"Dec '20 Dec 31, 2020","219,251",Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q3 2020,"Sep '20 Sep 30, 2020","268,389",Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q2 2020,"Jun '20 Jun 30, 2020","271,101",Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q1 2020,"Mar '20 Mar 31, 2020","156,272",Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q4 2019,"Dec '19 Dec 31, 2019","119,299",Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q3 2019,"Sep '19 Sep 30, 2019","236,811",Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q2 2019,"Jun '19 Jun 30, 2019","260,092",Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q1 2019,"Mar '19 Mar 31, 2019","41,624",Financials in USD,Fiscal year is January - December
NAVB,quarterly,Q4 2018,"Dec '18 Dec 31, 2018","119,321",Financials in USD,Fiscal year is January - December
NAVB,quarterly,+20 Quarters,+20 Quarters,Upgrade,Financials in USD,Fiscal year is January - December
NAVB,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
NAVB,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
NBIO,annual,TTM,"Jun '24 Jun 30, 2024",-,Financials in USD,Fiscal year is April - March
NBIO,annual,FY 2024,"Mar '24 Mar 31, 2024",-,Financials in USD,Fiscal year is April - March
NBIO,annual,FY 2023,"Mar '23 Mar 31, 2023",-,Financials in USD,Fiscal year is April - March
NBIO,annual,FY 2022,"Mar '22 Mar 31, 2022","1,000,000",Financials in USD,Fiscal year is April - March
NBIO,annual,FY 2021,"Mar '21 Mar 31, 2021","750,000",Financials in USD,Fiscal year is April - March
NBIO,annual,FY 2020,"Mar '20 Mar 31, 2020",-,Financials in USD,Fiscal year is April - March
NBIO,annual,2019 - 2015,2019 - 2015,Upgrade,Financials in USD,Fiscal year is April - March
NBIO,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is April - March
NBIO,annual,Fiscal_Year_period,,Fiscal year is April - March,Financials in USD,Fiscal year is April - March
NBIO,quarterly,Q1 2025,"Jun '24 Jun 30, 2024",-,Financials in USD,Fiscal year is April - March
NBIO,quarterly,Q4 2024,"Mar '24 Mar 31, 2024",-,Financials in USD,Fiscal year is April - March
NBIO,quarterly,Q3 2024,"Dec '23 Dec 31, 2023",-,Financials in USD,Fiscal year is April - March
NBIO,quarterly,Q2 2024,"Sep '23 Sep 30, 2023",-,Financials in USD,Fiscal year is April - March
NBIO,quarterly,Q1 2024,"Jun '23 Jun 30, 2023",-,Financials in USD,Fiscal year is April - March
NBIO,quarterly,Q4 2023,"Mar '23 Mar 31, 2023",-,Financials in USD,Fiscal year is April - March
NBIO,quarterly,Q3 2023,"Dec '22 Dec 31, 2022",-,Financials in USD,Fiscal year is April - March
NBIO,quarterly,Q2 2023,"Sep '22 Sep 30, 2022",-,Financials in USD,Fiscal year is April - March
NBIO,quarterly,Q1 2023,"Jun '22 Jun 30, 2022",-,Financials in USD,Fiscal year is April - March
NBIO,quarterly,Q4 2022,"Mar '22 Mar 31, 2022",-,Financials in USD,Fiscal year is April - March
NBIO,quarterly,Q3 2022,"Dec '21 Dec 31, 2021","1,000,000",Financials in USD,Fiscal year is April - March
