Company,Frequency,Fiscal,Period Ending,Revenue,Currency,Fiscal_period
ADIA,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
ADIA,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
AGTX,annual,TTM,"Sep '24 Sep 30, 2024",-,Financials in USD,Fiscal year is April - March
AGTX,annual,FY 2024,"Mar '24 Mar 31, 2024",-,Financials in USD,Fiscal year is April - March
AGTX,annual,FY 2023,"Mar '23 Mar 31, 2023",-,Financials in USD,Fiscal year is April - March
AGTX,annual,FY 2022,"Mar '22 Mar 31, 2022","1,240",Financials in USD,Fiscal year is April - March
AGTX,annual,FY 2021,"Aug '21 Aug 31, 2021","1,240",Financials in USD,Fiscal year is April - March
AGTX,annual,FY 2021,"Mar '21 Mar 31, 2021",-,Financials in USD,Fiscal year is April - March
AGTX,annual,2020,2020,Upgrade,Financials in USD,Fiscal year is April - March
AGTX,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is April - March
AGTX,annual,Fiscal_Year_period,,Fiscal year is April - March,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q2 2025,"Sep '24 Sep 30, 2024",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q1 2025,"Jun '24 Jun 30, 2024",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q4 2024,"Mar '24 Mar 31, 2024",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q3 2024,"Dec '23 Dec 31, 2023",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q2 2024,"Sep '23 Sep 30, 2023",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q1 2024,"Jun '23 Jun 30, 2023",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q4 2023,"Mar '23 Mar 31, 2023",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q3 2023,"Dec '22 Dec 31, 2022",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q2 2023,"Sep '22 Sep 30, 2022",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q1 2023,"Jun '22 Jun 30, 2022",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q4 2022,"Mar '22 Mar 31, 2022",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q3 2022,"Dec '21 Dec 31, 2021",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q2 2022,"Sep '21 Sep 30, 2021","1,240",Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q1 2022,"Jun '21 Jun 30, 2021",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q2 2021,"Feb '21 Feb 28, 2021",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q1 2021,"Nov '20 Nov 30, 2020",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q4 2020,"Aug '20 Aug 31, 2020",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q3 2020,"May '20 May 31, 2020",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Q3 2019,"May '19 May 31, 2019",-,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is April - March
AGTX,quarterly,Fiscal_Year_period,,Fiscal year is April - March,Financials in USD,Fiscal year is April - March
AMMJ,annual,TTM,"Mar '24 Mar 31, 2024","2,019,621",Financials in USD,Fiscal year is January - December
AMMJ,annual,FY 2023,"Dec '23 Dec 31, 2023","2,476,185",Financials in USD,Fiscal year is January - December
AMMJ,annual,FY 2022,"Dec '22 Dec 31, 2022","18,808,544",Financials in USD,Fiscal year is January - December
AMMJ,annual,FY 2021,"Dec '21 Dec 31, 2021","2,425,204",Financials in USD,Fiscal year is January - December
AMMJ,annual,FY 2020,"Dec '20 Dec 31, 2020","1,569,794",Financials in USD,Fiscal year is January - December
AMMJ,annual,FY 2019,"Dec '19 Dec 31, 2019","2,130,735",Financials in USD,Fiscal year is January - December
AMMJ,annual,2018 - 2014,2018 - 2014,Upgrade,Financials in USD,Fiscal year is January - December
AMMJ,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
AMMJ,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q1 2024,"Mar '24 Mar 31, 2024","255,821",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q4 2023,"Dec '23 Dec 31, 2023","281,181",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q3 2023,"Sep '23 Sep 30, 2023","599,890",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q2 2023,"Jun '23 Jun 30, 2023","852,729",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q1 2023,"Mar '23 Mar 31, 2023","712,385",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q4 2022,"Dec '22 Dec 31, 2022","11,320,798",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q3 2022,"Sep '22 Sep 30, 2022","2,123,616",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q2 2022,"Jun '22 Jun 30, 2022","4,744,285",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q1 2022,"Mar '22 Mar 31, 2022","619,845",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","726,294",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","752,953",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","619,979",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q1 2021,"Mar '21 Mar 31, 2021","325,980",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q4 2020,"Dec '20 Dec 31, 2020","310,790",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q3 2020,"Sep '20 Sep 30, 2020","268,709",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q2 2020,"Jun '20 Jun 30, 2020","549,913",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q1 2020,"Mar '20 Mar 31, 2020","440,382",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q4 2019,"Dec '19 Dec 31, 2019","264,822",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q3 2019,"Sep '19 Sep 30, 2019","724,632",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Q2 2019,"Jun '19 Jun 30, 2019","730,968",Financials in USD,Fiscal year is January - December
AMMJ,quarterly,+20 Quarters,+20 Quarters,Upgrade,Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
AMMJ,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
ARDS,annual,TTM,"Sep '23 Sep 30, 2023","22,359,000",Financials in USD,Fiscal year is January - December
ARDS,annual,FY 2022,"Dec '22 Dec 31, 2022","3,091,000",Financials in USD,Fiscal year is January - December
ARDS,annual,FY 2021,"Dec '21 Dec 31, 2021","1,535,000",Financials in USD,Fiscal year is January - December
ARDS,annual,FY 2020,"Dec '20 Dec 31, 2020","1,000,000",Financials in USD,Fiscal year is January - December
ARDS,annual,FY 2019,"Dec '19 Dec 31, 2019","1,022,000",Financials in USD,Fiscal year is January - December
ARDS,annual,FY 2018,"Dec '18 Dec 31, 2018","2,757,000",Financials in USD,Fiscal year is January - December
ARDS,annual,2017 - 2015,2017 - 2015,Upgrade,Financials in USD,Fiscal year is January - December
ARDS,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
ARDS,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q3 2023,"Sep '23 Sep 30, 2023","417,000",Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q2 2023,"Jun '23 Jun 30, 2023","19,647,000",Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q1 2023,"Mar '23 Mar 31, 2023","1,082,000",Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q4 2022,"Dec '22 Dec 31, 2022","1,213,000",Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q3 2022,"Sep '22 Sep 30, 2022","399,000",Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q2 2022,"Jun '22 Jun 30, 2022","292,000",Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q1 2022,"Mar '22 Mar 31, 2022","1,187,000",Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q4 2021,"Dec '21 Dec 31, 2021","987,000",Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q3 2021,"Sep '21 Sep 30, 2021","515,000",Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q2 2021,"Jun '21 Jun 30, 2021","33,000",Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q1 2021,"Mar '21 Mar 31, 2021",-,Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q4 2020,"Dec '20 Dec 31, 2020",-,Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q3 2020,"Sep '20 Sep 30, 2020",-,Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q2 2020,"Jun '20 Jun 30, 2020","1,000,000",Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q1 2020,"Mar '20 Mar 31, 2020",-,Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q4 2019,"Dec '19 Dec 31, 2019",-,Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q3 2019,"Sep '19 Sep 30, 2019",-,Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q2 2019,"Jun '19 Jun 30, 2019",-,Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q1 2019,"Mar '19 Mar 31, 2019","1,022,000",Financials in USD,Fiscal year is January - December
ARDS,quarterly,Q4 2018,"Dec '18 Dec 31, 2018","1,390,000",Financials in USD,Fiscal year is January - December
ARDS,quarterly,+8 Quarters,+8 Quarters,Upgrade,Financials in USD,Fiscal year is January - December
ARDS,quarterly,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
ARDS,quarterly,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
AVRW,annual,TTM,"Sep '24 Sep 30, 2024","2,045,000",Financials in USD,Fiscal year is January - December
AVRW,annual,FY 2023,"Dec '23 Dec 31, 2023","4,347,000",Financials in USD,Fiscal year is January - December
AVRW,annual,FY 2022,"Dec '22 Dec 31, 2022","4,896,000",Financials in USD,Fiscal year is January - December
AVRW,annual,FY 2021,"Dec '21 Dec 31, 2021","6,078,000",Financials in USD,Fiscal year is January - December
AVRW,annual,FY 2020,"Dec '20 Dec 31, 2020","2,051,000",Financials in USD,Fiscal year is January - December
AVRW,annual,FY 2019,"Dec '19 Dec 31, 2019","623,000",Financials in USD,Fiscal year is January - December
AVRW,annual,2018 - 2014,2018 - 2014,Upgrade,Financials in USD,Fiscal year is January - December
AVRW,annual,Currency,,Financials in USD,Financials in USD,Fiscal year is January - December
AVRW,annual,Fiscal_Year_period,,Fiscal year is January - December,Financials in USD,Fiscal year is January - December
