Fiscal Quarter,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,+4 Quarters,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),"414,000","107,000","82,000","68,000","69,000","58,000","313,000","1,000","205,000","107,000","22,000","31,000",-,-,-,-,-,-,"-19,000","231,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-1,238,000","2,104,000","-2,284,000","-4,276,000","-4,527,000","-6,018,000","-1,147,000","-9,410,000","-6,104,000","-13,253,000","-11,586,000","-9,005,000","-7,365,000","-4,326,000","-5,119,000","-4,099,000","-10,421,000","-7,099,000","-3,654,000","-4,580,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-4,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-441,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,"37,000",-,"437,000",-,-,-,-,-,-,"2,318,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-1,238,000","2,104,000","-2,284,000","-4,276,000","-4,527,000","-6,018,000","-1,147,000","-9,410,000","-6,067,000","-13,253,000","-11,149,000","-9,005,000","-7,365,000","-4,326,000","-5,119,000","-4,103,000","-10,862,000","-4,781,000","-3,654,000","-4,580,000",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-1,238,000","2,104,000","-2,284,000","-4,276,000","-4,527,000","-6,018,000","-1,147,000","-9,410,000","-6,067,000","-13,253,000","-11,149,000","-9,005,000","-7,365,000","-4,326,000","-5,119,000","-4,103,000","-10,862,000","-4,781,000","-3,654,000","-4,580,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,"-197,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-1,238,000","1,907,000","-2,284,000","-4,276,000","-4,527,000","-6,018,000","-1,147,000","-9,410,000","-6,067,000","-13,253,000","-11,149,000","-9,005,000","-7,365,000","-4,326,000","-5,119,000","-4,103,000","-10,862,000","-4,781,000","-3,654,000","-4,580,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"82,000","163,000","-10,519,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-1,238,000","1,907,000","-2,284,000","-4,276,000","-4,527,000","-6,018,000","-1,147,000","-9,410,000","-6,067,000","-13,253,000","-11,149,000","-9,005,000","-7,365,000","-4,326,000","-5,119,000","-4,103,000","-10,862,000","-4,863,000","-3,817,000","5,939,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"5,978,636","5,912,786","5,906,475","3,756,613","3,013,184","2,906,000","2,655,251","2,652,828","2,401,777","1,852,851","1,530,142","1,359,191","1,076,763","624,617","262,648","202,360","175,352","65,420","13,089","13,089",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"5,978,636","5,912,786","5,906,475","3,756,613","3,013,184","2,906,000","2,655,251","2,652,828","2,401,777","1,852,851","1,530,142","1,359,191","1,076,763","624,617","262,648","202,360","175,352","65,420","13,089","41,010",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),98.416%,103.468%,122.445%,41.608%,25.456%,56.839%,73.530%,95.177%,123.055%,196.638%,482.583%,571.670%,514.058%,854.780%,1906.632%,393.441%,1242.459%,401.726%,-65.345%,8.595%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.207,0.323,-0.387,-1.138,-1.502,-2.071,-0.432,-3.547,-2.526,-7.153,-7.286,-6.625,-6.840,-6.926,-19.490,-20.276,-61.944,-74.335,-291.619,453.740,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.207,0.323,-0.387,-1.138,-1.502,-2.071,-0.432,-3.547,-2.526,-7.153,-7.290,-6.625,-6.840,-6.926,-19.490,-20.276,-61.944,-74.335,-291.619,-111.680,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,124,000","3,082,000","-1,816,000","-4,485,000","-2,578,000","-4,295,000","-2,969,000","-9,540,000","-4,798,000","-11,145,000","-14,310,000","-5,931,000","-4,774,000","-3,993,000","-4,680,000","-6,610,000","-14,040,000","-12,442,000","-4,188,000","-5,318,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.188,0.521,-0.307,-1.194,-0.856,-1.478,-1.118,-3.596,-1.998,-6.015,-9.352,-4.364,-4.434,-6.393,-17.819,-32.665,-80.068,-190.186,-319.963,-129.676,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,92.107%,-,-,-27.073%,-,56.779%,-,-,-,-,-,-,-,-,-154.685%,-,-182.079%,-64.361%,-72.365%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,25.138%,-4460.377%,-48233.333%,-224.049%,-1250.206%,-33.789%,-10225.000%,-6062.500%,-10120.455%,-7667.550%,-52952.941%,-27411.111%,-3063.380%,-844.481%,-391.874%,-1554.559%,-511.834%,-115.779%,-131.529%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,24.006%,-4309.434%,-47511.111%,-220.829%,-1238.272%,-26.582%,-10228.261%,-5833.654%,-10040.152%,-7383.444%,-52970.588%,-27277.778%,-3046.479%,-843.328%,-392.256%,-1623.617%,-411.074%,-148.348%,170.074%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,38.797%,-3426.415%,-49833.333%,-125.756%,-883.745%,-68.806%,-10369.565%,-4613.462%,-8443.182%,-9476.821%,-34888.235%,-17681.481%,-2811.972%,-771.005%,-631.931%,-2098.655%,-1051.733%,-162.767%,-152.291%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-1,642,000","2,008,000","-2,354,000","-4,331,000","-4,584,000","-6,068,000","-1,452,000","-9,400,000","-6,298,000","-13,352,000","-11,571,000","-9,001,000","-7,400,000","-4,347,000","-5,123,000","-4,096,000","-10,397,000","-6,051,000","-2,970,000","-4,581,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,25.277%,-,-,-223.610%,-,-33.650%,-,-,-,-,-,-,-,-,-,-,-,-115.429%,-131.185%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"10,000","11,000","10,000","10,000","9,000","8,000","6,000","7,000","7,000","7,000","7,000","1,000","1,000","3,000","3,000","3,000","3,000","4,000","9,000","12,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-1,652,000","1,997,000","-2,364,000","-4,341,000","-4,593,000","-6,076,000","-1,458,000","-9,407,000","-6,305,000","-13,359,000","-11,578,000","-9,002,000","-7,401,000","-4,350,000","-5,126,000","-4,099,000","-10,400,000","-6,055,000","-2,979,000","-4,593,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,25.138%,-,-,-224.049%,-,-33.789%,-,-,-,-,-,-,-,-,-,-,-,-115.779%,-131.529%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,"7,944,000","53,000","9,000","2,050,000","486,000","4,315,000","92,000","104,000","132,000","151,000",-,"27,000","142,000","607,000","1,046,000","7,917,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
