Fiscal Quarter,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
EPS (Diluted),-0.090,-0.104,-0.111,-0.146,-0.162,-0.153,-0.137,-0.145,-0.477,-0.442,-0.392,-0.467,-0.144,-0.242,-0.130,-0.106,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-12,259,000","-13,311,000","-12,248,000","-20,223,000","-14,769,000","-11,722,000","-11,076,000","-20,227,000","-15,232,000","-21,124,000","-17,701,000","-28,241,000","-11,692,000","-13,458,000","-7,999,000","-2,238,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.096,-0.105,-0.097,-0.160,-0.117,-0.093,-0.088,-0.161,-0.152,-0.307,-0.258,-0.412,-0.133,-0.198,-0.147,-0.064,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-,-,82.000%,-,94.118%,-,252.137%,47.955%,-,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-,-,-60550.000%,-,-119152.941%,-,-10849.573%,-1322.045%,-,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-,-,-60778.000%,-,-188358.824%,-,-14072.650%,-1604.773%,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-42248.000%,-,-166123.529%,-,-11502.564%,-1817.955%,-,Financials in USD,Fiscal year is January - December
EBITDA,"-11,194,000","-12,779,000","-13,901,000","-18,222,000","-20,284,000","-19,349,000","-16,832,000","-17,831,000","-47,577,000","-29,912,000","-26,513,000","-19,974,000","-10,871,000","-12,455,000","-5,720,000","-2,518,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"456,000","666,000","526,000","586,000","540,000","419,000","392,000","333,000","174,000","363,000","282,000","282,000","354,000","239,000","97,000","27,000",Financials in USD,Fiscal year is January - December
EBIT,"-11,650,000","-13,445,000","-14,427,000","-18,808,000","-20,824,000","-19,768,000","-17,224,000","-18,164,000","-47,751,000","-30,275,000","-26,795,000","-20,256,000","-11,225,000","-12,694,000","-5,817,000","-2,545,000",Financials in USD,Fiscal year is January - December
