Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Pretax Income,"-19,374,000","-17,869,000","-18,312,000","-18,919,000","-23,522,000","-14,448,000","-10,652,000","-28,298,000","-32,852,000","-29,668,000","-14,214,000","133,320,000","45,519,000","4,410,000","-4,123,000","-280,299,000","-194,096,000","-58,052,000","2,626,000","6,545,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-19,374,000","-17,869,000","-18,312,000","-18,919,000","-23,522,000","-14,448,000","-10,652,000","-28,298,000","-32,852,000","-29,668,000","-14,214,000","133,320,000","45,519,000","4,410,000","-4,123,000","-280,299,000","-194,096,000","-58,052,000","2,626,000","6,545,000",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,"132,000","441,000","568,000","341,000","519,000","519,000","395,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-19,506,000","-18,310,000","-18,880,000","-19,260,000","-24,041,000","-14,967,000","-11,047,000","-28,298,000","-32,852,000","-29,668,000","-14,214,000","133,320,000","45,519,000","4,410,000","-4,123,000","-280,299,000","-194,096,000","-58,052,000","2,626,000","6,545,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"1,258,532,000","1,214,316,000","1,188,149,000","1,158,431,000","1,134,359,000","1,108,420,000","1,074,902,000","1,058,299,000","1,040,982,000","1,003,976,000","959,251,000","931,240,000","875,963,000","851,805,000","834,605,000","814,247,000","747,749,000","697,555,000","640,390,000","599,747,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"1,258,532,000","1,214,316,000","1,188,149,000","1,158,431,000","1,134,359,000","1,108,420,000","1,074,902,000","1,058,299,000","1,040,982,000","1,003,976,000","959,251,000","931,240,000","1,135,762,000","1,159,076,000","834,605,000","814,247,000","747,749,000","697,555,000","648,858,000","599,747,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.947%,9.554%,10.536%,9.462%,8.970%,10.403%,12.056%,13.644%,-8.345%,-13.381%,14.935%,14.368%,51.891%,66.163%,28.627%,35.765%,29.563%,16.770%,22.627%,16.053%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.015,-0.015,-0.016,-0.017,-0.021,-0.014,-0.010,-0.027,-0.032,-0.030,-0.015,0.143,0.052,0.005,-0.005,-0.344,-0.260,-0.083,0.004,0.011,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.020,-0.020,-0.020,-0.020,-0.021,-0.014,-0.010,-0.027,-0.032,-0.030,-0.015,-0.027,-0.012,-0.011,-0.005,-0.344,-0.260,-0.083,0.004,0.011,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-8,409,000","-16,718,000","-12,645,000","-17,376,000","-14,356,000","-12,770,000","-12,572,000","-11,009,000","-16,394,000","-15,249,000","-13,025,000","-12,799,000","-9,704,000","-8,299,000","-13,512,000","-13,265,000","-10,264,000","-7,573,000","-7,601,000","-6,092,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.007,-0.014,-0.011,-0.015,-0.013,-0.012,-0.012,-0.010,-0.016,-0.015,-0.014,-0.014,-0.009,-0.007,-0.016,-0.016,-0.014,-0.011,-0.012,-0.010,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-4145.938%,-3424.314%,-5543.662%,-3402.697%,-3405.172%,-6754.726%,-1473.182%,-3044.891%,-7581.553%,-4423.270%,-3048.635%,-,-2871.143%,-2982.452%,-8188.285%,-4643.936%,-22165.278%,-376800.000%,-1374.211%,-750.502%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-5463.866%,-3590.196%,-6647.887%,-4328.090%,-5921.429%,-7446.269%,-1255.341%,-4740.034%,-15947.573%,-6219.706%,-3527.047%,-,13005.429%,1060.096%,-1725.105%,-55725.447%,-89859.259%,-2902600.000%,460.702%,729.654%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2355.462%,-3278.039%,-4452.465%,-3904.719%,-3535.961%,-6353.234%,-1428.636%,-1844.054%,-7958.252%,-3196.855%,-3232.010%,-,-2772.571%,-1994.952%,-5653.556%,-2637.177%,-4751.852%,-378650.000%,-1333.509%,-679.153%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-14,356,000","-17,030,000","-15,316,000","-14,718,000","-13,409,000","-13,227,000","-12,629,000","-17,860,000","-15,308,000","-20,575,000","-12,186,000","-10,592,000","-9,954,000","-12,330,000","-19,502,000","-23,305,000","-47,860,000","-7,534,000","-7,819,000","-6,727,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"445,000","434,000","428,000","424,000","416,000","350,000","335,000","318,000","310,000","524,000","100,000","84,000","95,000","77,000","68,000","54,000","17,000","2,000","14,000","5,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-14,801,000","-17,464,000","-15,744,000","-15,142,000","-13,825,000","-13,577,000","-12,964,000","-18,178,000","-15,618,000","-21,099,000","-12,286,000","-10,676,000","-10,049,000","-12,407,000","-19,570,000","-23,359,000","-47,877,000","-7,536,000","-7,833,000","-6,732,000",Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"357,000","510,000","284,000","445,000","406,000","201,000","880,000","597,000","206,000","477,000","403,000",-,"350,000","416,000","239,000","1,291,000",-,"2,000","570,000","897,000",Upgrade,Financials in USD,Fiscal year is January - December
