Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+7 Quarters,Currency,Fiscal_Year_period
Asset Writedown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-216,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,-,-,-,-,-,-,-,-,"-42,114,000",-,-,-,-,-,-,"46,964,000","33,868,000","-80,832,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-43,879,000","-36,310,000","-46,443,000","-39,639,000","-46,811,000","-53,420,000","-58,856,000","-22,430,000","-51,319,000","-65,321,000","-17,831,000","-56,352,000","-71,404,000","-72,329,000","-51,420,000","-55,803,000","-20,331,000","-126,453,000","-43,376,000","-35,170,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"90,000","234,000","163,000","46,064,000","-85,000","-4,498,000","518,000","3,055,000","-711,000","-947,000","-1,170,000","-21,971,000","145,000","240,000","107,000","126,000","-3,000","104,000","100,000","115,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-43,969,000","-36,544,000","-46,606,000","-85,703,000","-46,726,000","-48,922,000","-59,374,000","-25,485,000","-50,608,000","-64,374,000","-16,661,000","-34,381,000","-71,549,000","-72,569,000","-51,527,000","-55,929,000","-20,328,000","-126,557,000","-43,476,000","-35,285,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-43,969,000","-36,544,000","-46,606,000","-85,703,000","-46,726,000","-48,922,000","-59,374,000","-25,485,000","-50,608,000","-64,374,000","-16,661,000","-34,381,000","-71,549,000","-72,569,000","-51,527,000","-55,929,000","-20,328,000","-126,557,000","-43,476,000","-35,285,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"104,824,877","95,691,245","82,552,322","82,292,594","82,256,847","81,471,127","80,805,770","80,463,306","78,372,680","76,911,713","76,821,726","76,801,875","76,739,770","76,728,714","76,721,667","76,719,090","70,914,300","62,863,866","50,959,156","51,775,589",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"104,824,877","95,691,245","82,552,322","82,292,594","82,256,847","81,471,127","80,805,770","80,463,306","78,372,680","76,911,713","76,821,726","76,801,875","76,739,770","76,728,714","76,721,667","76,719,090","70,914,300","62,863,866","50,959,156","51,775,589",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),27.436%,17.454%,2.161%,2.273%,4.956%,5.928%,5.186%,4.767%,2.128%,0.239%,0.130%,0.108%,8.215%,22.055%,50.555%,48.176%,40.074%,31.917%,7.741%,421.012%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.419,-0.382,-0.565,-1.041,-0.568,-0.600,-0.735,-0.317,-0.646,-0.837,-0.217,-0.448,-0.932,-0.946,-0.672,-0.729,-0.287,-2.013,-0.853,-0.681,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.419,-0.382,-0.565,-1.041,-0.568,-0.600,-0.735,-0.317,-0.646,-0.837,-0.217,-0.448,-0.932,-0.946,-0.672,-0.729,-0.287,-2.013,-0.853,-0.681,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-25,259,000","-32,875,000","-44,626,000","-33,419,000","-37,334,000","-36,200,000","-16,408,000","-53,828,000","2,001,000","-53,060,000","-34,111,000","-62,051,000","-59,993,000","-58,958,000","-55,806,000","-51,868,000","-44,687,000","-40,772,000","-32,203,000","-33,824,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.241,-0.344,-0.541,-0.406,-0.454,-0.444,-0.203,-0.669,0.026,-0.690,-0.444,-0.808,-0.782,-0.768,-0.727,-0.676,-0.630,-0.649,-0.632,-0.653,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,90.024%,-46.536%,86.096%,-63.889%,97.481%,-68.407%,100.142%,33.375%,43.697%,-193.812%,-6.415%,-154.333%,-183.768%,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-192.613%,-166.806%,-186.191%,-221.686%,-249.424%,-205.616%,-264.374%,-14.979%,-4.080%,-401.428%,-86.808%,-369.083%,-439.583%,-1874.521%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-238.134%,-209.902%,-258.162%,-510.441%,-322.404%,-253.705%,-312.626%,-36.513%,-66.309%,-372.298%,-35.832%,-202.122%,-544.223%,-1930.027%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-136.801%,-188.828%,-247.194%,-199.041%,-257.600%,-187.730%,-86.394%,-77.120%,2.622%,-306.865%,-73.360%,-364.791%,-456.325%,-1568.032%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-35,228,000","-28,715,000","-33,282,000","-36,903,000","-35,833,000","-39,376,000","-49,947,000","-10,219,000","-2,844,000","-69,137,000","-40,084,000","-62,423,000","-57,544,000","-70,292,000","-70,491,000","-77,492,000","-52,241,000","-44,812,000","-43,728,000","-35,537,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-190.793%,-164.934%,-184.357%,-219.792%,-247.243%,-204.201%,-262.990%,-14.641%,-3.726%,-,-86.206%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"336,000","326,000","331,000","318,000","316,000","273,000","263,000","236,000","270,000","274,000","280,000","358,000","248,000","190,000","174,000","293,000","187,000","137,000","157,000","195,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-35,564,000","-29,041,000","-33,613,000","-37,221,000","-36,149,000","-39,649,000","-50,210,000","-10,455,000","-3,114,000","-69,411,000","-40,364,000","-62,781,000","-57,792,000","-70,482,000","-70,665,000","-77,785,000","-52,428,000","-44,949,000","-43,885,000","-35,732,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-192.613%,-166.806%,-186.191%,-221.685%,-249.424%,-205.616%,-264.374%,-14.979%,-4.080%,-,-86.808%,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"18,464,000","17,410,000","18,053,000","16,790,000","14,493,000","19,283,000","18,992,000","69,798,000","76,321,000","17,291,000","46,498,000","17,010,000","13,147,000","3,760,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
