Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+5 Quarters,Currency,Fiscal_Year_period
Pretax Income,"-836,720","11,781","-1,069,744","-1,231,494","-12,610,785","-3,680,169","-4,762,078","-22,685,027","-21,486,978","2,939,284","1,563,713","1,029,600","18,291,244","-23,464,707","-16,203,989","-7,946,016","-834,553","262,446","-2,386,362","-25,820,100",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"-4,389","-2,345,025",-,-,"-942,749",-,-,-,"-6,617","-5,612","-5,571","-5,404","-5,252","-5,135","-4,936","-5,102","-227,079",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-836,720","11,781","-1,069,744","-1,227,105","-10,265,760","-3,680,169","-4,762,078","-21,742,278","-21,486,978","2,939,284","1,563,713","1,036,217","18,296,856","-23,459,136","-16,198,585","-7,940,764","-829,418","267,382","-2,381,260","-25,593,021",Upgrade,Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,122,702",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-836,720","11,781","-1,069,744","-1,227,105","-10,265,760","-3,680,169","-4,762,078","-21,742,278","-21,486,978","2,939,284","1,563,713","1,036,217","18,296,856","-23,459,136","-16,198,585","-9,063,466","-829,418","267,382","-2,381,260","-25,593,021",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"980,641","919,141","638,339","622,857","418,524","275,332","197,219","117,424","103,110","89,770","89,631","89,336","86,126","82,787","73,561","58,094","44,343","44,347","44,318","83,019",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"980,641","919,141","638,339","622,857","418,524","275,332","197,219","117,424","103,110","89,770","89,655","89,336","88,709","82,787","73,561","58,094","44,343","45,669","44,318","83,019",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),134.309%,233.830%,223.670%,430.434%,305.900%,206.708%,119.975%,31.441%,16.234%,8.435%,21.878%,53.778%,100.052%,81.276%,65.984%,-30.023%,295.143%,310.508%,50.777%,689.905%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.853,0.013,-1.676,-1.970,-24.528,-13.366,-24.146,-185.160,-208.389,32.742,17.446,11.599,212.443,-283.367,-220.206,-156.014,-18.705,6.029,-53.731,-308.279,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.853,0.010,-1.680,-1.970,-24.530,-13.370,-24.150,-185.160,-208.430,32.680,17.446,11.408,88.030,-285.000,-220.400,-156.014,-18.705,5.855,-53.731,-308.279,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-223,659","727,170","-1,033,417","-2,160,014","-1,775,476","-3,116,842","-3,869,891","-2,926,755","-3,596,366","-3,531,533","-2,072,931","-5,027,530","-4,002,668","-4,011,185","-6,330,045","-3,216,392","-53,969","-192,594","-409,006","-2,158,449",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.228,0.791,-1.619,-3.468,-4.242,-11.320,-19.622,-24.925,-34.879,-39.340,-23.121,-56.277,-45.121,-48.452,-86.052,-55.365,-1.217,-4.217,-9.229,-25.999,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-965,242","-1,822,757","-2,068,892","-1,429,828","-3,505,494","-3,654,430","-4,782,073","-5,602,288","-4,047,178","-4,484,888","-3,654,607","-4,445,247","-4,182,526","-3,983,648","-2,919,635","-2,384,120","-699,897","-904,193","-1,534,569","-20,045,368",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"13,851","23,981","23,576","22,660","32,693","28,550","21,772","37,608","7,974","36,960","26,462","16,808","34,950","29,521","28,668","31,853","31,181","30,006","32,293","30,938",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-979,093","-1,846,738","-2,092,468","-1,452,488","-3,538,187","-3,682,980","-4,803,845","-5,639,896","-4,055,152","-4,521,848","-3,681,069","-4,462,055","-4,217,476","-4,013,169","-2,948,303","-2,415,973","-731,078","-934,199","-1,566,862","-20,076,306",Upgrade,Financials in USD,Fiscal year is January - December
