Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters,Currency,Fiscal_Year_period
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"211,079",-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-6,355,217","-7,233,747","-8,989,535","-5,964,322","-5,481,349","-7,298,873","-7,058,639","-6,741,882","-6,390,139","-8,872,510","-10,854,604","-9,097,819","-8,559,499","-8,751,211","-12,965,247","-6,563,853","-4,567,989","-4,924,828","-9,349,927","-4,891,273",Upgrade,Financials in USD,Fiscal year is October - September
Income Tax Expense,-,-,-,-,-,-,"1,600",-,"-66,154","-45,767",-,100,-,800,-,"-35,149","-14,647",-,"4,000","-278,000",Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-6,355,217","-7,233,747","-8,989,535","-5,964,322","-5,481,349","-7,298,873","-7,060,239","-6,741,882","-6,323,985","-8,826,743","-10,854,604","-9,097,919","-8,559,499","-8,752,011","-12,965,247","-6,528,704","-4,553,342","-4,924,828","-9,353,927","-4,613,273",Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-6,355,217","-7,233,747","-8,989,535","-5,964,322","-5,481,349","-7,298,873","-7,060,239","-6,741,882","-6,323,985","-8,826,743","-10,854,604","-9,097,919","-8,559,499","-8,752,011","-12,965,247","-6,528,704","-4,553,342","-4,924,828","-9,353,927","-4,613,273",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"44,366,126","44,365,505","44,237,124","44,129,491","44,092,374","44,092,374","44,092,374","44,073,286","44,073,076","44,059,700","44,030,480","43,989,773","42,044,664","41,018,024","36,484,041","33,343,488","27,333,800","20,824,568","20,821,956","20,762,374",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"44,366,126","44,365,505","44,237,124","44,129,491","44,092,374","44,092,374","44,092,374","44,073,286","44,073,076","44,059,700","44,030,480","43,989,773","42,044,664","41,018,024","36,484,041","33,343,488","27,333,800","20,824,568","20,821,956","20,762,374",Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),0.621%,0.619%,0.328%,0.128%,0.044%,0.074%,0.141%,0.190%,4.824%,7.415%,20.684%,31.929%,53.819%,96.969%,75.219%,60.596%,86.385%,226.213%,229.926%,229.285%,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-0.143,-0.163,-0.203,-0.135,-0.124,-0.166,-0.160,-0.153,-0.143,-0.200,-0.247,-0.207,-0.204,-0.213,-0.355,-0.196,-0.167,-0.236,-0.449,-0.222,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-0.143,-0.163,-0.203,-0.140,-0.124,-0.166,-0.160,-0.153,-0.143,-0.200,-0.250,-0.207,-0.204,-0.213,-0.355,-0.196,-0.167,-0.236,-0.449,-0.222,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-3,366,134","-5,745,099","-6,817,963","-6,787,003","-4,488,417","-4,905,643","-6,010,718","-4,376,938","-7,477,204","-6,317,154","-8,385,141","-5,819,650","-7,383,285","-6,517,268","-7,572,470","-3,942,588","-4,150,982","-3,487,752","-5,983,806","-3,360,612",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-0.076,-0.129,-0.154,-0.154,-0.102,-0.111,-0.136,-0.099,-0.170,-0.143,-0.190,-0.132,-0.176,-0.159,-0.208,-0.118,-0.152,-0.167,-0.287,-0.162,Upgrade,Financials in USD,Fiscal year is October - September
EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-4,432,265","-4,870,150","-9,477,469","-4,721,739",Upgrade,Financials in USD,Fiscal year is October - September
D&A For EBITDA,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,574","4,574","4,575","4,574",Upgrade,Financials in USD,Fiscal year is October - September
EBIT,"-7,694,578","-8,638,318","-10,493,489","-7,594,632","-7,148,613","-8,910,567","-8,211,555","-7,863,369","-7,121,172","-9,290,076","-11,466,829","-9,081,929","-9,215,484","-9,349,808","-11,883,589","-6,694,689","-4,436,839","-4,874,724","-9,482,044","-4,726,313",Upgrade,Financials in USD,Fiscal year is October - September
