Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Shares Outstanding (Diluted),"47,973,951","47,899,349","29,736,911","2,102,410","2,089,932","2,076,959","2,055,519","2,055,399","2,043,015","1,931,274","1,931,274","1,866,058","1,858,192","1,857,055","1,857,055","1,853,910","1,853,992","1,832,113","1,832,113",Financials in USD,Fiscal year is January - December
Shares Change (YoY),2195.479%,2206.225%,1346.686%,2.287%,2.296%,7.543%,6.433%,10.147%,9.946%,3.997%,3.997%,0.655%,0.227%,1.361%,1.361%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.483,-0.360,-0.170,-11.182,-9.607,-16.618,-7.866,-7.866,-7.535,-8.557,-8.557,-9.044,-7.229,-6.169,-6.169,-5.912,-5.488,-5.395,-5.395,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.483,-0.360,-0.170,-11.182,-9.607,-16.618,-7.866,-7.866,-7.535,-8.557,-8.557,-9.044,-7.229,-6.169,-6.169,-5.912,-5.488,-5.395,-5.395,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-18,252,000","-18,997,000","-12,770,000","-10,735,000","-11,166,000",-,-,"-9,570,000","-9,775,000","-11,995,500","-11,995,500","-9,910,000","-9,338,000","-7,132,500","-7,132,500","-7,901,000","-8,882,000","-7,146,000","-7,146,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.380,-0.397,-0.429,-5.106,-5.343,-,-,-4.656,-4.785,-6.211,-6.211,-5.311,-5.025,-3.841,-3.841,-4.262,-4.791,-3.900,-3.900,Financials in USD,Fiscal year is January - December
Gross Margin,50.000%,44.186%,42.424%,71.428%,30.555%,34.722%,40.000%,40.000%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Operating Margin,-169957.143%,-53453.488%,-65278.788%,-185442.857%,-38536.111%,-16493.056%,-242140.000%,-242140.000%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Profit Margin,-165521.429%,-40067.442%,-15330.303%,-335857.143%,-55772.222%,-47937.500%,-323360.000%,-323360.000%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-130371.429%,-44179.070%,-38696.970%,-153357.143%,-31016.667%,-,-,-191400.000%,-,-,-,-,-,-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBITDA,"-23,585,000","-22,793,000","-21,489,000","-12,943,000","-13,789,000","-11,793,000","-11,994,000","-12,027,000","-11,472,000","-13,064,500","-13,064,500","-11,827,000","-8,618,000","-7,903,500","-7,903,500","-7,528,000","-6,817,000","-6,923,000","-6,923,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"209,000","192,000","53,000","38,000","84,000","82,000","113,000","80,000","81,000","145,000","145,000","148,000","160,000","184,000","184,000","187,000","188,000","197,500","197,500",Financials in USD,Fiscal year is January - December
EBIT,"-23,794,000","-22,985,000","-21,542,000","-12,981,000","-13,873,000","-11,875,000","-12,107,000","-12,107,000","-11,553,000","-13,209,500","-13,209,500","-11,975,000","-8,778,000","-8,087,500","-8,087,500","-7,715,000","-7,005,000","-7,120,500","-7,120,500",Financials in USD,Fiscal year is January - December
