Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+11 Quarters,Currency,Fiscal_Year_period
Legal Settlements,-,-,-,-,-,-,-,-,-,"-200,000","-1,200,000",-,-,-,-,"-59,288","-698,541",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Unusual Items,"12,320",-,"-17,476",-,"2,012,093","2,926,922",-,-506,"37,234",-,"82,725",-,-,"39,542","10,250","420,936","218,818","40,409",-,"-18,665",Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,015,327","-3,352,499","-2,091,425","-1,651,566","-1,131,200","-5,490,293","-9,957,529","-6,148,441","-7,128,885","-7,965,505","-5,460,831","-6,163,133","-5,614,821","-12,754,390","-9,405,612","-3,964,148","-12,402,623","-3,925,554","-8,159,907","-10,962,730",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-4,015,327","-3,352,499","-2,091,425","-1,651,566","-1,131,200","-5,490,293","-9,957,529","-6,148,441","-7,128,885","-7,965,505","-5,460,831","-6,163,133","-5,614,821","-12,754,390","-9,405,612","-3,964,148","-12,402,623","-3,925,554","-8,159,907","-10,962,730",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-,"3,541,340","-444,506","-184,590","-176,104","-452,937","-533,842","-414,124","-1,164,643","-566,930","-1,201,865","-1,221,065",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-4,015,327","-3,352,499","-2,091,425","-1,651,566","-1,131,200","-5,490,293","-9,957,529","-6,148,441","-7,128,885","-4,424,165","-5,905,337","-6,347,723","-5,790,925","-13,207,327","-9,939,454","-4,378,272","-13,567,266","-4,492,484","-9,361,772","-12,183,794",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"188,157","240,583","188,050","257,047","71,362",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-3,827,170","-3,111,916","-1,903,375","-1,394,519","-1,059,838","-5,490,293","-9,957,529","-6,148,441","-7,128,885","-4,424,165","-5,905,337","-6,347,723","-5,790,925","-13,207,327","-9,939,454","-4,378,272","-13,567,266","-4,492,484","-9,361,772","-12,183,794",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,827,170","-3,111,916","-1,903,375","-1,394,519","-1,059,838","-5,490,293","-9,957,529","-6,148,441","-7,128,885","-4,424,165","-5,905,337","-6,347,723","-5,790,925","-13,207,327","-9,939,454","-4,378,272","-13,567,266","-4,492,484","-9,361,772","-12,183,794",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"917,848","641,166","610,036","605,643","602,962","603,603","599,422","588,695","587,785","591,990","615,366","622,936","558,401","553,722","413,829","281,049","195,026","139,255","125,381","103,749",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"917,848","641,166","610,036","605,643","602,962","603,603","599,422","588,695","587,785","591,990","615,366","622,936","558,401","553,722","413,829","281,049","195,026","139,255","125,381","103,749",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),52.223%,6.223%,1.771%,2.879%,2.582%,1.962%,-2.591%,-5.497%,5.262%,6.911%,48.701%,121.647%,186.321%,297.632%,230.057%,170.893%,67.593%,29.134%,18.086%,-0.513%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-4.170,-4.854,-3.120,-2.303,-1.758,-9.096,-16.612,-10.444,-12.128,-7.473,-9.596,-10.190,-10.371,-23.852,-24.018,-15.578,-69.566,-32.261,-74.667,-117.435,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-4.170,-4.854,-3.250,-2.303,-1.758,-9.100,-16.900,-10.444,-12.350,-7.473,-9.596,-10.190,-10.371,-24.050,-24.050,-15.578,-69.672,-32.261,-74.667,-117.435,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-3,460,841","-606,482","-1,973,394","-851,654","-1,712,580","-3,508,894","-4,754,136","-6,322,959","-7,612,830","-9,403,392","-5,108,050","-4,090,599","-4,587,097","-6,583,965","-5,484,562","-4,770,714","-5,143,055","-3,722,448","-5,494,256","-2,727,981",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-3.771,-0.946,-3.235,-1.406,-2.840,-5.813,-7.931,-10.741,-12.952,-15.884,-8.301,-6.567,-8.215,-11.890,-13.253,-16.975,-26.371,-26.731,-43.820,-26.294,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-4,060,256","-3,319,793","-2,137,215","-1,442,723","-3,165,067","-3,884,642","-8,234,945","-5,505,480","-6,108,245","-6,532,785","-3,348,515","-5,019,801","-4,127,946","-11,707,056","-8,851,634","-5,000,603","-11,490,042","-3,834,781","-5,623,507","-4,998,213",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"120,814","136,813","120,141","122,217","146,810","1,107,355","1,129,934","1,154,295","1,145,918","1,133,218","1,101,155","1,099,177","1,004,673","982,353","951,020","961,966","966,833","994,337","971,331","878,955",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-4,181,070","-3,456,606","-2,257,356","-1,564,940","-3,311,877","-4,991,997","-9,364,879","-6,659,775","-7,254,163","-7,666,003","-4,449,670","-6,118,978","-5,132,619","-12,689,409","-9,802,654","-5,962,569","-12,456,875","-4,829,118","-6,594,838","-5,877,168",Upgrade,Financials in USD,Fiscal year is January - December
