Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Net Income to Common,"-39,202,000","-56,663,000","-31,896,000","-25,106,000","-25,995,000","-22,706,000","-36,969,000","-3,720,000","-25,281,000","36,868,000","-19,832,000","42,585,000","-31,563,000","-17,198,000","-20,301,000","-16,212,000","-17,760,000","-14,878,000","-17,674,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"119,408,565","119,174,681","108,246,008","103,607,631","103,444,246","103,361,501","103,263,528","103,162,219","103,031,980","103,005,651","103,004,088","103,003,506","43,950,856","5,941,675","5,874,700","5,796,498","5,788,130","22,009,762","21,699,184",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"119,408,565","119,174,681","108,246,008","103,607,631","103,444,246","103,361,501","103,263,528","103,162,219","103,031,980","103,908,440","103,004,088","104,743,854","43,950,856","5,941,675","5,874,700","5,796,498","5,788,130","22,009,762","21,699,184",Financials in USD,Fiscal year is January - December
Shares Change (YoY),15.433%,15.299%,4.825%,0.432%,0.400%,-0.526%,0.252%,-1.510%,134.425%,1648.807%,1653.351%,1707.020%,659.327%,-73.004%,-72.927%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.328,-0.475,-0.295,-0.242,-0.251,-0.220,-0.358,-0.036,-0.245,0.358,-0.193,0.413,-0.718,-2.894,-3.456,-2.797,-3.068,-0.676,-0.815,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.328,-0.475,-0.295,-0.242,-0.251,-0.220,-0.358,-0.036,-0.245,0.350,-0.193,0.407,-0.718,-2.894,-3.456,-2.797,-3.068,-0.676,-0.815,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-23,841,000","-21,475,000","-27,738,000","-19,204,000","-13,500,000","-23,088,000","-19,793,000","-19,640,000","-17,015,000","-16,703,000","-18,819,000","-21,493,000","-30,602,000","-14,743,000","-14,572,000","-15,208,000","-12,807,000","-11,681,000","-16,190,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.200,-0.180,-0.256,-0.185,-0.131,-0.223,-0.192,-0.190,-0.165,-0.161,-0.183,-0.205,-0.696,-2.481,-2.480,-2.624,-2.213,-0.531,-0.746,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-,-75787.097%,-1424.366%,-9340.343%,-12218.644%,-8524.066%,-2792.609%,-12754.194%,-12638.710%,-1883.260%,-7246.970%,-6810.196%,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-,-81551.613%,2833.820%,-8511.588%,24059.322%,-13096.680%,-2492.464%,-13097.419%,-13074.194%,-1943.107%,-7514.141%,-6930.980%,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-54887.097%,-1283.859%,-8076.824%,-12142.938%,-12697.925%,-2136.667%,-9401.290%,-12264.516%,-1401.204%,-5899.495%,-6349.020%,Financials in USD,Fiscal year is January - December
EBITDA,"-28,421,000","-27,720,000","-24,787,000","-24,349,000","-22,792,000","-21,641,000","-20,439,000","-18,676,000","-21,459,000","-16,510,000","-19,723,000","-19,581,000","-18,484,000","-17,203,000","-17,699,000","-13,595,000","-15,131,000","-12,259,000","-15,264,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"1,812,000","1,779,000","1,791,000","1,833,000","1,830,000","1,983,000","2,073,000","2,114,000","2,035,000","2,021,000","2,040,000","2,046,000","2,059,000","2,066,000","2,070,000","2,077,000","2,082,000","2,090,000","2,102,000",Financials in USD,Fiscal year is January - December
EBIT,"-30,233,000","-29,499,000","-26,578,000","-26,182,000","-24,622,000","-23,624,000","-22,512,000","-20,790,000","-23,494,000","-18,531,000","-21,763,000","-21,627,000","-20,543,000","-19,269,000","-19,769,000","-15,672,000","-17,213,000","-14,349,000","-17,366,000",Financials in USD,Fiscal year is January - December
