Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Pretax Income,"-27,134,000","-18,476,000","-24,787,000","-24,847,000","-32,868,000","-31,489,000","-29,039,000","-32,717,000","-40,114,000","-43,742,000","-37,889,000","-34,409,000","-38,362,000","-44,333,000","-28,436,000","-36,518,000","-27,769,000","-29,200,000","-22,906,000","-18,925,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,"-1,133,000","17,000","21,000","17,000","19,000","17,000","19,000","19,000",-,-,-,-,"1,114,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-27,134,000","-18,476,000","-24,787,000","-23,714,000","-32,885,000","-31,510,000","-29,056,000","-32,736,000","-40,131,000","-43,761,000","-37,908,000","-34,409,000","-38,362,000","-44,333,000","-28,436,000","-37,632,000","-27,769,000","-29,200,000","-22,906,000","-18,925,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-27,134,000","-18,476,000","-24,787,000","-23,714,000","-32,885,000","-31,510,000","-29,056,000","-32,736,000","-40,131,000","-43,761,000","-37,908,000","-34,409,000","-38,362,000","-44,333,000","-28,436,000","-37,632,000","-27,769,000","-29,200,000","-22,906,000","-18,925,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"20,876,000","20,852,000","16,479,000","10,121,300","10,100,000","10,077,000","10,030,000","9,992,300","9,947,500","9,900,000","9,859,600","9,825,800","9,812,600","9,801,800","9,775,000","9,759,900","8,886,700","8,022,900","7,379,700","6,511,600",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"20,876,000","20,852,000","16,479,000","10,121,300","10,100,000","10,077,000","10,030,000","9,992,300","9,947,500","9,900,000","9,859,600","9,825,800","9,812,600","9,801,800","9,775,000","9,759,900","8,886,700","8,022,900","7,379,700","6,511,600",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),106.693%,106.927%,64.297%,1.291%,1.533%,1.788%,1.728%,1.695%,1.375%,1.002%,0.865%,0.675%,10.419%,22.173%,32.458%,49.885%,37.812%,25.869%,16.906%,3.498%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.300,-0.886,-1.504,-2.343,-3.256,-3.127,-2.897,-3.276,-4.034,-4.420,-3.845,-3.502,-3.909,-4.523,-2.909,-3.856,-3.125,-3.640,-3.104,-2.906,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.300,-0.886,-1.504,-2.343,-3.256,-3.127,-2.897,-3.276,-4.034,-4.420,-3.845,-3.502,-3.909,-4.523,-2.909,-3.856,-3.125,-3.640,-3.104,-2.906,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-21,345,000","-19,860,000","-23,335,000","-21,520,000","-24,408,000","-23,285,000","-22,497,000","-18,660,000","-32,632,000","-35,312,000","-33,303,000","-30,167,000","-31,515,000","-37,563,000","-23,709,000","-23,657,000","-29,627,000","-20,025,000","-17,826,000","-23,208,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.022,-0.952,-1.416,-2.126,-2.417,-2.311,-2.243,-1.867,-3.280,-3.567,-3.378,-3.070,-3.212,-3.832,-2.425,-2.424,-3.334,-2.496,-2.416,-3.564,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-166.400%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-2922.100%,-,-,-,-,-,-839.972%,-,-,-,-,-,-,-,-381.907%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-2713.400%,-,-,-,-,-,-807.111%,-,-,-,-,-,-,-,-379.147%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-2134.500%,-,-,-,-,-,-624.917%,-,-,-,-,-,-,-,-316.120%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-28,331,000","-19,926,000","-25,842,000","-24,925,000","-33,020,000","-31,531,000","-28,647,000","-27,415,000","-39,249,000","-40,411,000","-36,708,000","-33,106,000","-37,560,000","-43,343,000","-27,477,000","-35,303,000","-26,819,000","-28,478,000","-23,192,000","-19,299,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"890,000","956,000","997,000","1,009,000","1,509,000","1,534,000","1,592,000","1,712,000","1,788,000","1,603,000","1,425,000","1,322,000","962,000","1,195,000","1,166,000","1,077,000","1,185,000","1,297,000","599,000","354,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-29,221,000","-20,882,000","-26,839,000","-25,934,000","-34,529,000","-33,065,000","-30,239,000","-29,127,000","-41,037,000","-42,014,000","-38,133,000","-34,428,000","-38,522,000","-44,538,000","-28,643,000","-36,380,000","-28,004,000","-29,775,000","-23,791,000","-19,653,000",Upgrade,Financials in USD,Fiscal year is January - December
