Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Shares Outstanding (Basic),"36,220,736","36,043,561","35,890,370","35,772,268","35,653,988","35,348,293","29,586,468","29,441,596","29,319,042","29,196,398","29,126,088","29,061,076","29,001,213","25,161,038","11,964,205","11,883,767","11,724,100","9,746,868","8,758,995",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"36,220,736","36,043,561","35,890,370","35,772,268","35,653,988","35,348,293","29,586,468","29,441,596","29,319,042","29,196,398","29,126,088","29,061,076","29,001,213","25,161,038","11,964,205","11,883,767","11,724,100","9,746,868","8,758,995",Financials in USD,Fiscal year is January - December
Shares Change (YoY),1.590%,1.967%,21.307%,21.502%,21.607%,21.071%,1.581%,1.309%,1.096%,16.038%,143.444%,144.544%,147.364%,158.145%,36.593%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.905,-1.034,-1.088,-0.975,-0.797,-0.704,-0.982,-0.860,-0.781,-0.591,-0.562,-0.506,-0.435,-0.334,-0.489,-0.294,-0.097,-0.030,-0.045,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.905,-1.034,-1.088,-0.975,-0.797,-0.704,-0.982,-0.860,-0.781,-0.591,-0.562,-0.506,-0.435,-0.334,-0.489,-0.294,-0.097,-0.030,-0.045,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-25,403,000","-32,702,000","-32,065,000","-22,845,000","-23,938,000","-26,229,000","-26,950,000","-20,913,000","-16,745,000","-15,700,000","-10,089,000","-16,192,000","-11,028,000","-7,247,000","-4,142,000","-2,775,000","-1,114,000","-369,000","-252,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.701,-0.907,-0.893,-0.639,-0.671,-0.742,-0.911,-0.710,-0.571,-0.538,-0.346,-0.557,-0.380,-0.288,-0.346,-0.234,-0.095,-0.038,-0.029,Financials in USD,Fiscal year is January - December
EBITDA,"-33,603,000","-38,475,000","-40,639,000","-36,908,000","-30,700,000","-27,274,000","-29,738,000","-26,095,000","-23,310,000","-17,304,000","-16,234,000","-14,587,000","-12,573,000","-8,412,000","-5,846,000","-3,493,000","-1,134,333",-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"436,000","423,000","420,000","420,000","419,000","383,000","293,000","181,000","174,000","170,000","166,000","150,000","65,000","23,000","11,000","6,000",667,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-34,039,000","-38,898,000","-41,059,000","-37,328,000","-31,119,000","-27,657,000","-30,031,000","-26,276,000","-23,484,000","-17,474,000","-16,400,000","-14,737,000","-12,638,000","-8,435,000","-5,857,000","-3,499,000","-1,135,000","-295,000","-398,000",Financials in USD,Fiscal year is January - December
