Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+15 Quarters,Currency,Fiscal_Year_period
Free Cash Flow Per Share,-0.164,-0.206,-0.253,-0.185,-0.090,-0.196,-0.235,-0.121,-0.072,-0.283,-0.291,-0.265,-0.225,-0.177,-0.309,-0.345,-0.311,-0.295,-0.404,-0.620,Upgrade,Financials in EUR,Fiscal year is January - December
Gross Margin,158.598%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Operating Margin,-12405.236%,-242200.126%,-34655.188%,3331.496%,-19609.983%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Profit Margin,-14092.873%,-217803.067%,-26798.113%,-696857.218%,-12255.004%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
Free Cash Flow Margin,-7802.468%,-191073.006%,-41303.197%,-477275.284%,-8672.661%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA,"-15,248,594","-15,257,679","-12,364,741","99,606","-11,784,538","-14,585,742","-18,181,725","8,764,888","-10,466,460","-15,354,480","-14,705,017","-12,950,239","-12,567,582","-13,812,934","-7,755,983","-8,121,772","-6,229,437","-9,412,719","-9,592,006","-13,752,375",Upgrade,Financials in EUR,Fiscal year is January - December
EBITDA Margin,-,-,-,4357.218%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
D&A For EBITDA,"111,445","138,983","123,949","23,448","138,920","145,359","147,969","28,474","147,453","147,549","153,321","45,475","165,024","169,238","168,343","53,183","179,711","171,620","182,356","89,054",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT,"-15,360,039","-15,396,662","-12,488,690","76,158","-11,923,458","-14,731,101","-18,329,694","8,736,414","-10,613,913","-15,502,029","-14,858,338","-12,995,714","-12,732,606","-13,982,172","-7,924,326","-8,174,955","-6,409,148","-9,584,339","-9,774,362","-13,841,429",Upgrade,Financials in EUR,Fiscal year is January - December
EBIT Margin,-,-,-,3331.496%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in EUR,Fiscal year is January - December
