Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters,Currency,Fiscal_Year_period
Other Non Operating Income (Expenses),"188,000",-,"1,023,000",-,-,-,-,"630,000",-,"184,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-3,428,000","-854,000","-2,064,000","3,951,000","-5,759,000","-3,139,000","-2,650,000","-155,000","-2,638,000","-2,165,000",Upgrade,Financials in USD,Fiscal year is January - December
Gain (Loss) on Sale of Investments,"-256,000","-1,046,000","-855,000","-770,000",-,-,-,"-742,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Asset Writedown,-,"-1,042,000",-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-3,684,000","-2,942,000","-2,919,000","3,181,000","-5,759,000","-3,139,000","-2,650,000","-897,000","-2,638,000","-2,165,000",Upgrade,Financials in USD,Fiscal year is January - December
Income Tax Expense,"-5,000","9,000","13,000","14,000",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-3,679,000","-2,951,000","-2,932,000","3,167,000","-5,759,000","-3,139,000","-2,650,000","-897,000","-2,638,000","-2,165,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Company,"-3,679,000","-2,951,000","-2,932,000","3,167,000","-5,759,000","-3,139,000","-2,650,000","-897,000","-2,638,000","-2,165,000",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,"237,000","709,000","52,000",-,-,-,-,"53,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-3,442,000","-2,242,000","-2,880,000","3,167,000","-5,759,000","-3,139,000","-2,650,000","-844,000","-2,638,000","-2,165,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-3,442,000","-2,242,000","-2,880,000","3,167,000","-5,759,000","-3,139,000","-2,650,000","-844,000","-2,638,000","-2,165,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"2,024,705","550,563","265,437","228,945","123,055","90,562","67,054",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"2,024,705","550,563","265,437","228,945","123,055","90,562","67,054",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),662.782%,140.478%,115.706%,152.805%,83.516%,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-1.700,-4.072,-10.850,13.833,-46.800,-34.661,-39.520,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-1.700,-5.462,-10.850,13.762,-46.800,-34.768,-39.520,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,198,000","-2,654,000","-3,233,000","-5,737,000","-2,188,000","-2,145,000","-2,951,000","-2,174,000","-2,133,000","-1,806,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-1.086,-4.821,-12.180,-25.058,-17.781,-23.685,-44.009,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-419.881%,-309.372%,-150.456%,-257.906%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-409.762%,-247.189%,-146.045%,235.115%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-261.667%,-292.613%,-163.945%,-425.909%,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-3,308,000","-2,582,000","-2,700,000","-3,347,000","-4,792,000","-3,129,000","-2,626,000","-957,000","-1,430,000","-2,081,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"219,000","224,000","267,000","127,000","21,000","12,000","1,000","131,000","33,000","-22,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-3,527,000","-2,806,000","-2,967,000","-3,474,000","-4,813,000","-3,141,000","-2,627,000","-1,088,000","-1,463,000","-2,059,000",Upgrade,Financials in USD,Fiscal year is January - December
