Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,188,000",-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-21,384,000","-28,335,000","-18,020,000","-19,495,000","-23,290,000","-19,522,000","-16,319,000","-14,936,000","-18,607,000","-17,315,000","-18,246,000","-7,144,000","-8,112,000","-5,389,000","-6,636,000","-2,985,000","-337,000","-377,500","-377,500",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"32,581,542","32,469,187","28,656,401","23,817,150","23,790,430","23,790,430","23,761,915","23,694,137","23,562,395","14,090,455","963,588","922,252","894,060","894,060","894,060","880,712","865,972","865,972","865,972",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"32,581,542","32,469,187","28,656,401","23,817,150","23,790,430","23,790,430","23,761,915","23,694,137","23,562,395","14,090,455","963,588","922,252","894,060","894,060","894,060","880,712","865,972","865,972","865,972",Financials in USD,Fiscal year is January - December
Shares Change (YoY),36.952%,36.480%,20.598%,0.519%,0.968%,68.841%,2365.983%,2469.161%,2535.438%,1476.008%,7.777%,4.717%,3.244%,3.244%,3.244%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.656,-0.873,-0.629,-0.819,-0.979,-0.821,-0.687,-0.630,-0.790,-1.229,-18.935,-7.746,-9.073,-6.028,-7.422,-3.389,-0.389,-0.436,-0.436,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.656,-0.873,-0.629,-0.819,-0.979,-0.821,-0.687,-0.630,-0.790,-1.229,-18.940,-7.746,-9.073,-6.028,-7.422,-3.389,-0.389,-0.436,-0.436,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-24,197,000","-16,384,000","-22,585,000","-19,608,000","-16,909,000","-18,476,000","-16,603,000","-14,489,000","-21,397,000","-13,248,000","-13,886,000","-6,142,000","-7,672,000","-6,150,000","-3,135,000","-94,000","-718,000","-424,000","-424,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.743,-0.505,-0.788,-0.823,-0.711,-0.777,-0.699,-0.612,-0.908,-0.940,-14.411,-6.660,-8.581,-6.879,-3.506,-0.107,-0.829,-0.490,-0.490,Financials in USD,Fiscal year is January - December
EBITDA,"-22,792,000","-30,055,000","-19,422,000","-20,457,000","-24,431,000","-20,813,000","-17,881,000","-17,068,000","-19,411,000","-17,502,000","-13,827,000","-7,163,000","-8,032,000","-5,145,000","-6,591,000","-762,000","-308,000","-348,500","-348,500",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"379,000","370,000","376,000","354,000","349,000","331,000","150,000","145,000","143,000","139,000","66,000","48,000","46,000","47,000","37,000","29,000","27,000","27,000","27,000",Financials in USD,Fiscal year is January - December
EBIT,"-23,171,000","-30,425,000","-19,798,000","-20,811,000","-24,780,000","-21,144,000","-18,031,000","-17,213,000","-19,554,000","-17,641,000","-13,893,000","-7,211,000","-8,078,000","-5,192,000","-6,628,000","-791,000","-335,000","-375,500","-375,500",Financials in USD,Fiscal year is January - December
