Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Currency,Fiscal_Year_period
Other Unusual Items,"-235,000","3,369,000","-5,384,000","-6,450,000","58,578,000","-5,895,000","-5,460,000","-9,249,000","8,255,000","3,830,000","528,000","-21,762,000","8,476,000","-7,163,000","-11,393,000","-36,121,000","-2,333,000","-13,977,000","-362,000","-2,296,000",Financials in USD,Fiscal year is January - December
Pretax Income,"-59,924,000","-50,291,000","-107,475,000","-88,117,000","984,000","-113,999,000","-82,123,000","-80,443,000","-85,120,000","-72,465,000","-31,448,000","-110,731,000","-83,263,000","18,683,000","-180,617,000","-113,170,000","-51,452,000","-87,808,000","-32,875,000","-44,388,000",Financials in USD,Fiscal year is January - December
Income Tax Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-1,343,000",Financials in USD,Fiscal year is January - December
Net Income,"-59,924,000","-50,291,000","-107,475,000","-88,117,000","984,000","-113,999,000","-82,123,000","-80,443,000","-85,120,000","-72,465,000","-31,448,000","-110,731,000","-83,263,000","18,683,000","-180,617,000","-113,170,000","-51,452,000","-87,808,000","-32,875,000","-43,045,000",Financials in USD,Fiscal year is January - December
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,"749,000",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
Net Income to Common,"-59,924,000","-50,291,000","-107,475,000","-88,117,000","984,000","-113,999,000","-82,123,000","-80,443,000","-85,120,000","-72,465,000","-31,448,000","-110,731,000","-83,263,000","17,934,000","-180,617,000","-113,170,000","-51,452,000","-87,808,000","-32,875,000","-43,045,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"235,412,000","234,440,000","217,290,000","197,317,000","196,978,000","192,540,000","191,228,000","190,420,000","189,303,000","187,626,000","185,955,000","183,987,000","181,827,000","179,899,000","119,131,000","15,293,000","13,680,000","12,232,000","10,820,000","8,751,937",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"235,412,000","234,440,000","217,290,000","197,317,000","200,473,000","192,540,000","191,228,000","190,420,000","189,303,000","187,626,000","185,955,000","183,987,000","181,827,000","190,508,000","119,131,000","15,293,000","13,680,000","12,232,000","10,820,000","8,751,937",Financials in USD,Fiscal year is January - December
Shares Change (YoY),17.428%,21.762%,13.629%,3.622%,5.901%,2.619%,2.836%,3.496%,4.112%,-1.513%,56.093%,1103.080%,1229.145%,1457.456%,1001.026%,74.738%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.255,-0.215,-0.495,-0.447,0.005,-0.592,-0.429,-0.422,-0.450,-0.386,-0.169,-0.602,-0.458,0.100,-1.516,-7.400,-3.761,-7.179,-3.038,-4.918,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.255,-0.215,-0.495,-0.447,0.005,-0.592,-0.429,-0.422,-0.450,-0.386,-0.169,-0.602,-0.458,0.090,-1.516,-7.400,-3.761,-7.180,-3.038,-4.918,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-55,912,000","-71,597,000","-81,477,000","-66,005,000","-65,783,000","-60,378,000","-81,448,000","-80,669,000","-69,146,000","-75,869,000","-85,242,000","-115,301,000","-58,550,000","-50,712,000","-56,353,000","-46,825,000","-43,826,000","-36,056,000","-35,147,000","-39,526,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.238,-0.305,-0.375,-0.335,-0.328,-0.314,-0.426,-0.424,-0.365,-0.404,-0.458,-0.627,-0.322,-0.266,-0.473,-3.062,-3.204,-2.948,-3.248,-4.516,Financials in USD,Fiscal year is January - December
EBITDA,"-57,469,000","-48,846,000","-101,594,000","-65,891,000","-56,260,000","-105,946,000","-74,246,000","-59,644,000","-90,426,000","-68,434,000","-28,599,000","-86,182,000","-89,025,000","28,321,000","-167,111,000","-75,448,000","-47,791,000","-72,548,000","-31,648,000","-41,768,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"4,057,000","3,895,000","3,746,000","11,264,000","4,499,000","4,448,000","4,346,000","4,195,000","4,016,000","3,800,000","3,614,000","3,335,000","2,882,000","2,606,000","2,247,000","1,755,000","1,520,000","1,381,000","1,265,000","1,028,000",Financials in USD,Fiscal year is January - December
EBIT,"-61,526,000","-52,741,000","-105,340,000","-77,155,000","-60,759,000","-110,394,000","-78,592,000","-63,839,000","-94,442,000","-72,234,000","-32,213,000","-89,517,000","-91,907,000","25,715,000","-169,358,000","-77,203,000","-49,311,000","-73,929,000","-32,913,000","-42,796,000",Financials in USD,Fiscal year is January - December
