Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Net Income Growth,-,-,-66.872%,397.709%,393.727%,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"158,112,500","155,435,000","154,366,000","162,245,000","159,427,000","156,023,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"158,112,500","155,435,000","186,312,000","164,418,000","160,655,000","156,023,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),2.165%,-16.573%,13.316%,2.342%,2.969%,2.220%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.016,-6.448,1.134,3.257,0.666,0.138,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.018,-6.450,0.964,3.210,0.660,0.138,Upgrade,Financials in USD,Fiscal year is January - December
EPS Growth,-,-,-69.984%,386.364%,378.844%,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"123,816,000","183,154,000","273,627,000","261,630,000","166,994,000","3,536,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.783,1.178,1.469,1.591,1.039,0.023,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,66.860%,76.332%,89.219%,82.984%,76.587%,68.397%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,25.200%,44.233%,60.969%,56.124%,40.645%,28.705%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-0.651%,-226.374%,42.637%,127.721%,27.258%,5.020%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,32.719%,41.369%,66.641%,63.233%,42.871%,0.825%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"97,401,000","197,411,000","251,755,000","233,738,000","160,686,000","128,554,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,25.739%,44.589%,61.315%,56.492%,41.252%,30.007%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"2,038,000","1,575,000","1,418,000","1,523,000","2,364,000","5,580,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"95,363,000","195,836,000","250,337,000","232,215,000","158,322,000","122,974,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,25.200%,44.233%,60.969%,56.124%,40.645%,28.704%,Upgrade,Financials in USD,Fiscal year is January - December
Effective Tax Rate,104.361%,-,30.646%,-,2.466%,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"378,418,000","442,735,000","410,596,000","413,753,000","389,523,000","428,413,000",Upgrade,Financials in USD,Fiscal year is January - December
