Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters,Currency,Fiscal_Year_period
Other Unusual Items,"-59,000","59,000",-,-,-,-,"-900,000",-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is October - September
Pretax Income,"-11,744,000","-12,281,000","-10,441,000","-8,537,000","-10,210,000","-11,239,000","-13,057,000","-12,992,000","-14,080,682","-12,278,920","-10,408,011","-10,852,387","-11,575,910","-10,141,141","-8,128,234","-7,795,784","-5,956,593","-6,481,805","-7,236,697","-6,582,711",Upgrade,Financials in USD,Fiscal year is October - September
Income Tax Expense,"-124,000","-67,000","105,000","85,000","-64,000","41,000","50,000","-20,000","209,799","88,421","29,800","29,980","142,296","39,000","26,988","59,281","8,633","4,817",-,"9,214",Upgrade,Financials in USD,Fiscal year is October - September
Net Income,"-11,620,000","-12,214,000","-10,546,000","-8,622,000","-10,146,000","-11,280,000","-13,107,000","-12,972,000","-14,290,481","-12,367,341","-10,437,811","-10,882,367","-11,718,206","-10,180,141","-8,155,222","-7,855,065","-5,965,226","-6,486,622","-7,236,697","-6,591,925",Upgrade,Financials in USD,Fiscal year is October - September
Net Income to Common,"-11,620,000","-12,214,000","-10,546,000","-8,622,000","-10,146,000","-11,280,000","-13,107,000","-12,972,000","-14,290,481","-12,367,341","-10,437,811","-10,882,367","-11,718,206","-10,180,141","-8,155,222","-7,855,065","-5,965,226","-6,486,622","-7,236,697","-6,591,925",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Basic),"84,795,517","84,535,328","82,464,226","82,077,815","81,973,250","80,875,235","78,304,363","77,977,112","77,442,470","77,442,236","76,248,603","75,997,738","75,779,518","70,589,651","68,594,867","64,295,143","60,575,415","59,105,399","58,353,954","54,773,685",Upgrade,Financials in USD,Fiscal year is October - September
Shares Outstanding (Diluted),"84,795,517","84,535,328","82,464,226","82,077,815","81,973,250","80,875,235","78,304,363","77,977,112","77,442,470","77,442,236","76,248,603","75,997,738","75,779,518","70,589,651","68,594,867","64,295,143","60,575,415","59,105,399","58,353,954","54,773,685",Upgrade,Financials in USD,Fiscal year is October - September
Shares Change (YoY),3.443%,4.526%,5.312%,5.259%,5.851%,4.433%,2.696%,2.605%,2.194%,9.708%,11.158%,18.201%,25.099%,19.430%,17.550%,17.383%,15.272%,19.110%,23.803%,18.232%,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Basic),-0.137,-0.144,-0.128,-0.105,-0.124,-0.139,-0.167,-0.166,-0.185,-0.160,-0.137,-0.143,-0.155,-0.144,-0.119,-0.122,-0.098,-0.110,-0.124,-0.120,Upgrade,Financials in USD,Fiscal year is October - September
EPS (Diluted),-0.137,-0.144,-0.128,-0.105,-0.124,-0.139,-0.167,-0.166,-0.185,-0.160,-0.140,-0.143,-0.155,-0.144,-0.119,-0.122,-0.098,-0.110,-0.124,-0.120,Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow,"-6,658,000","-5,180,000","-11,656,000","-7,318,000","-5,849,000","-7,653,000","-8,489,000","-5,794,000","-4,044,071","-7,053,490","-9,639,484","-3,500,955","-7,674,508","-7,520,943","-7,316,845","-7,871,378","-6,254,772","-4,044,223","-5,262,892","-5,725,159",Upgrade,Financials in USD,Fiscal year is October - September
Free Cash Flow Per Share,-0.079,-0.061,-0.141,-0.089,-0.071,-0.095,-0.108,-0.074,-0.052,-0.091,-0.126,-0.046,-0.101,-0.107,-0.107,-0.122,-0.103,-0.068,-0.090,-0.105,Upgrade,Financials in USD,Fiscal year is October - September
EBIT,"-13,636,000","-14,203,000","-12,047,000","-10,701,000","-11,982,000","-12,966,000","-13,440,000","-14,651,000","-14,289,818","-11,776,288","-10,684,234","-10,912,660","-11,298,526","-10,034,994","-7,993,707","-8,126,859","-6,113,292","-6,786,566","-7,055,861","-6,757,488",Upgrade,Financials in USD,Fiscal year is October - September
