Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q1 2021,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,Q4 2010,Q3 2010,Q2 2010,+5 Quarters,Currency,Fiscal_Year_period
Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"842,686","-720,000","-122,686",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-2,959,426","-451,639","-672,044","-126,475","-144,111","-264,389","-172,483","-103,885","-141,902","-229,447","-123,359","-25,258","-73,561","-30,108","415,452","-221,192","-219,006","-33,744","-2,511","-5,192",Upgrade,Financials in USD,Fiscal year is January - December
Earnings From Continuing Operations,"-2,959,426","-451,639","-672,044","-126,475","-144,111","-264,389","-172,483","-103,885","-141,902","-229,447","-123,359","-25,258","-73,561","-30,108","415,452","-221,192","-219,006","-33,744","-2,511","-5,192",Upgrade,Financials in USD,Fiscal year is January - December
Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,"-10,638","-10,638",-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-2,959,426","-451,639","-672,044","-126,475","-144,111","-264,389","-172,483","-103,885","-141,902","-229,447","-123,359","-25,258","-84,199","-40,746","415,452","-221,192","-219,006","-33,744","-2,511","-5,192",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,959,426","-451,639","-672,044","-126,475","-144,111","-264,389","-172,483","-103,885","-141,902","-229,447","-123,359","-25,258","-84,199","-40,746","415,452","-221,192","-219,006","-33,744","-2,511","-5,192",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"16,688,945","15,678,898","1,044,861,360","1,044,861,360","15,130,393","15,130,393","1,044,861,360","1,044,861,360","1,044,861,360","1,044,861,360","1,044,861,360",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"16,688,945","15,678,898","1,044,861,360","1,044,861,360","15,130,393","15,130,393","1,044,861,360","1,044,861,360","1,044,861,360","1,044,861,360","1,044,861,360",-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),10.301%,3.625%,-,-,-98.552%,-98.552%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.177,-0.029,-0.001,-0.000,-0.010,-0.017,-0.000,-0.000,-0.000,-0.000,-0.000,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.180,-0.029,-0.001,-0.000,-0.010,-0.017,-0.000,-0.000,-0.000,-0.000,-0.000,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-1,072,959","-907,423","-21,976","-123,510","18,023","-103,528","-161,901","-103,442","-154,555","-233,142","-108,434","-25,258","-74,306","-260,246","362,746","-409,825","38,108","-33,744","-2,813","-41,255",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.064,-0.058,-0.000,-0.000,0.001,-0.007,-0.000,-0.000,-0.000,-0.000,-0.000,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-2,870,932","-395,607","-672,045","-110,733","-123,737","-244,252","-152,600","-83,357","-138,024","-229,625","-123,368","-25,271","-27,456",-51,"223,654","-142,159","-96,278","-33,739","-2,475","-5,127",Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"114,790","10,000",-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
