Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+3 Quarters,Currency,Fiscal_Year_period
Income Tax Expense,"74,000","-16,173,000",-,"-1,000",-,"4,000",-,-,"-9,000","-2,000","2,000",-,"19,000",-,"4,000","1,000","3,000",-,"2,000",-,Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-19,226,000","-1,213,000","-15,270,000","-15,756,000","-16,640,000","-17,436,000","-19,128,000","-19,345,000","-18,229,000","-17,310,000","-18,433,000","-18,359,000","-15,011,000","-12,874,000","-11,602,000","-10,454,000","-8,764,000","-7,967,000","-7,255,000","-7,047,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-19,226,000","-1,213,000","-15,270,000","-15,756,000","-16,640,000","-17,436,000","-19,128,000","-19,345,000","-18,229,000","-17,310,000","-18,433,000","-18,359,000","-15,011,000","-12,874,000","-11,602,000","-10,454,000","-8,764,000","-7,967,000","-7,255,000","-7,047,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"51,574,027","51,478,751","51,445,862","51,388,817","49,047,296","45,813,132","45,773,357","45,709,391","45,622,957","45,571,067","45,466,044","45,394,324","45,295,232","45,070,104","44,785,226","45,321,319","6,022,457","3,046,200","3,046,200","3,046,724",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"51,574,027","51,478,751","51,445,862","51,388,817","49,047,296","45,813,132","45,773,357","45,709,391","45,622,957","45,571,067","45,466,044","45,394,324","45,295,232","45,070,104","44,785,226","45,321,319","6,022,457","3,046,200","3,046,200","3,046,724",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),5.152%,12.367%,12.393%,12.425%,7.506%,0.531%,0.676%,0.694%,0.724%,1.112%,1.520%,0.161%,652.106%,1379.552%,1370.200%,1387.543%,97.704%,0.731%,0.731%,-,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.373,-0.024,-0.297,-0.307,-0.339,-0.381,-0.418,-0.423,-0.400,-0.380,-0.405,-0.404,-0.331,-0.286,-0.259,-0.231,-1.455,-2.615,-2.382,-2.313,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.373,-0.024,-0.297,-0.307,-0.339,-0.381,-0.418,-0.423,-0.400,-0.380,-0.405,-0.404,-0.331,-0.286,-0.259,-0.231,-1.455,-2.615,-2.382,-2.313,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-16,840,000","-1,602,000","-16,778,000","-12,282,000","-15,703,000","-13,466,000","-15,168,000","-16,962,000","-18,809,000","-17,179,000","-18,794,000","-12,290,000","-12,899,000","-9,707,000","-13,024,000","-10,369,000","-7,433,000","-6,896,000","-8,189,000","-5,127,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.327,-0.031,-0.326,-0.239,-0.320,-0.294,-0.331,-0.371,-0.412,-0.377,-0.413,-0.271,-0.285,-0.215,-0.291,-0.229,-1.234,-2.264,-2.688,-1.683,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-21,517,000","-19,798,000","-17,184,000","-18,543,000","-19,270,000","-19,753,000","-21,309,000","-21,087,000","-19,301,000","-17,803,000","-18,535,000","-18,395,000","-15,017,000","-12,979,000","-11,595,000","-10,440,000","-8,626,000","-7,997,000","-7,560,000","-7,260,000",Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"371,000","372,000","362,000","359,000","358,000","369,000","171,000","75,000","74,000","82,000","84,000","77,000","80,000","71,000","79,000","61,000","75,000","88,000","94,000","95,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-21,888,000","-20,170,000","-17,546,000","-18,902,000","-19,628,000","-20,122,000","-21,480,000","-21,162,000","-19,375,000","-17,885,000","-18,619,000","-18,472,000","-15,097,000","-13,050,000","-11,674,000","-10,501,000","-8,701,000","-8,085,000","-7,654,000","-7,355,000",Upgrade,Financials in USD,Fiscal year is January - December
