Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,"1,315,000","3,668,000","3,628,000","2,331,000","2,124,000","1,948,000","1,927,000","1,927,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-21,042,000","-20,337,000","-19,706,000","-22,131,000","-18,512,000","-18,299,000","-17,466,000","-16,559,000","-15,901,000","-13,468,000","-12,835,000","-12,949,000","-12,506,000","-12,480,000","-8,258,000","-7,031,000","-5,579,000","-8,083,000","-9,439,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"49,663,532","49,548,120","49,451,943","44,650,727","38,185,197","37,855,533","37,784,282","32,009,565","29,273,577","29,251,480","29,213,632","19,360,080","441,448","437,464","400,450","380,611","376,738","365,238","346,076",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"49,663,532","49,548,120","49,451,943","44,650,727","38,185,197","37,855,533","37,784,282","32,009,565","29,273,577","29,251,480","29,213,632","19,360,080","441,448","437,464","400,450","380,611","376,738","365,238","346,076",Financials in USD,Fiscal year is January - December
Shares Change (YoY),30.060%,30.887%,30.880%,39.492%,30.443%,29.414%,29.338%,65.338%,6531.263%,6586.603%,7195.201%,4986.579%,17.176%,19.775%,15.712%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.424,-0.410,-0.398,-0.496,-0.485,-0.483,-0.462,-0.517,-0.543,-0.460,-0.439,-0.669,-28.329,-28.528,-20.622,-18.473,-14.809,-22.131,-27.274,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.424,-0.410,-0.398,-0.496,-0.485,-0.483,-0.462,-0.517,-0.543,-0.460,-0.439,-0.669,-28.329,-28.528,-20.622,-18.473,-14.809,-22.131,-27.274,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-15,614,000","-16,653,000","-24,540,000","-17,704,000","-15,493,000","-14,838,000","-16,521,000","-18,371,000","-10,823,000","-10,702,000","-15,799,000","-12,905,000","-9,263,000","-7,159,000","-5,208,000","-3,889,000","-6,713,000","-5,924,000","-8,566,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.314,-0.336,-0.496,-0.396,-0.406,-0.392,-0.437,-0.574,-0.370,-0.366,-0.541,-0.667,-20.983,-16.365,-13.005,-10.218,-17.819,-16.220,-24.752,Financials in USD,Fiscal year is January - December
EBITDA,"-22,919,000","-22,449,000","-22,007,000","-24,459,000","-20,145,000","-19,976,000","-19,116,000","-17,290,000","-15,753,000","-13,520,000","-12,555,000","-11,397,000","-8,679,000","-8,601,000","-5,742,000","-4,683,000","-3,399,000","-5,964,000","-7,329,000",Financials in USD,Fiscal year is January - December
D&A For EBITDA,"313,000","313,000","306,000","324,000","343,000","300,000","328,000","323,000","302,000","296,000","256,000","230,000","216,000","200,000","185,000","226,000","232,000","191,000","182,000",Financials in USD,Fiscal year is January - December
EBIT,"-23,232,000","-22,762,000","-22,313,000","-24,783,000","-20,488,000","-20,276,000","-19,444,000","-17,613,000","-16,055,000","-13,816,000","-12,811,000","-11,627,000","-8,895,000","-8,801,000","-5,927,000","-4,909,000","-3,631,000","-6,155,000","-7,511,000",Financials in USD,Fiscal year is January - December
