Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Interest & Investment Income,"370,000","342,000","420,000","167,000","166,000","209,000","227,000","144,000","72,000","54,000","46,000","52,000","64,000","54,000","25,000","439,000","32,000","80,000","166,000","217,000",Upgrade,Financials in USD,Fiscal year is December - November
Currency Exchange Gain (Loss),"-57,000","-37,000","-2,000","1,208,000","-31,000","46,000","-125,000","18,000","-748,000","-305,000","13,000","-477,000","-853,000","378,000","52,000","-471,000","496,000","-13,000","-12,000","11,000",Upgrade,Financials in USD,Fiscal year is December - November
Other Non Operating Income (Expenses),"-18,000","207,000","105,000","-2,066,000","1,935,000","285,000","-196,000","2,000","-1,000","-16,000","-25,000","-11,000","-6,000","-14,000","-26,000","1,488,000","-489,000","-544,000","-2,000","1,211,000",Upgrade,Financials in USD,Fiscal year is December - November
EBT Excluding Unusual Items,"3,847,000","1,105,000","-4,371,000","-548,000","-620,000","-9,887,000","-7,818,000","-7,786,000","-7,755,000","-22,605,000","-9,005,000","-9,882,000","-9,492,000","-6,372,000","-5,916,000","-5,533,000","-6,768,000","-5,806,000","-4,544,000","-6,455,000",Upgrade,Financials in USD,Fiscal year is December - November
Merger & Restructuring Charges,-,-,-,"-1,244,000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is December - November
Other Unusual Items,-,-,-,"-890,000",-,-,"-2,529,000",-,"357,000",-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is December - November
Pretax Income,"3,847,000","1,105,000","-4,371,000","-2,682,000","-620,000","-9,887,000","-10,347,000","-7,786,000","-7,398,000","-22,605,000","-9,005,000","-9,882,000","-9,492,000","-6,372,000","-5,916,000","-5,533,000","-6,768,000","-5,806,000","-4,544,000","-6,455,000",Upgrade,Financials in USD,Fiscal year is December - November
Income Tax Expense,"756,000","118,000","110,000","73,000","126,000","126,000","96,000","143,000","151,000","122,000","27,000","19,000","18,000","20,000","6,000","16,000",-,-,-,-,Upgrade,Financials in USD,Fiscal year is December - November
Net Income,"3,091,000","987,000","-4,481,000","-2,755,000","-746,000","-10,013,000","-10,443,000","-7,929,000","-7,549,000","-22,727,000","-9,032,000","-9,901,000","-9,510,000","-6,392,000","-5,922,000","-5,549,000","-6,768,000","-5,806,000","-4,544,000","-6,455,000",Upgrade,Financials in USD,Fiscal year is December - November
Net Income to Common,"3,091,000","987,000","-4,481,000","-2,755,000","-746,000","-10,013,000","-10,443,000","-7,929,000","-7,549,000","-22,727,000","-9,032,000","-9,901,000","-9,510,000","-6,392,000","-5,922,000","-5,549,000","-6,768,000","-5,806,000","-4,544,000","-6,455,000",Upgrade,Financials in USD,Fiscal year is December - November
Shares Outstanding (Basic),"49,361,835","49,361,835","49,361,835","32,724,796","24,201,755","24,201,582","24,201,582","23,909,737","23,782,801","23,780,410","23,780,410","23,777,064","23,737,941","23,625,377","21,173,197","19,817,857","19,253,353","19,246,444","19,238,353","19,238,330",Upgrade,Financials in USD,Fiscal year is December - November
Shares Outstanding (Diluted),"49,372,700","49,368,815","49,361,835","32,724,796","24,201,755","24,201,582","24,201,582","23,909,737","23,782,801","23,780,410","23,780,410","23,777,064","23,737,941","23,625,377","21,173,197","19,817,857","19,253,353","19,246,444","19,238,353","19,238,330",Upgrade,Financials in USD,Fiscal year is December - November
Shares Change (YoY),104.005%,103.990%,103.961%,36.868%,1.762%,1.771%,1.771%,0.558%,0.189%,0.656%,12.314%,19.978%,23.293%,22.752%,10.057%,3.012%,0.078%,0.076%,0.097%,0.277%,Upgrade,Financials in USD,Fiscal year is December - November
EPS (Basic),0.063,0.020,-0.091,-0.084,-0.031,-0.414,-0.431,-0.332,-0.317,-0.956,-0.380,-0.416,-0.401,-0.271,-0.280,-0.280,-0.352,-0.302,-0.236,-0.336,Upgrade,Financials in USD,Fiscal year is December - November
EPS (Diluted),0.060,0.020,-0.091,-0.084,-0.031,-0.414,-0.431,-0.332,-0.317,-0.956,-0.380,-0.416,-0.401,-0.271,-0.280,-0.280,-0.352,-0.302,-0.236,-0.336,Upgrade,Financials in USD,Fiscal year is December - November
Free Cash Flow,"4,604,000","-290,000","-1,708,000","-4,106,000","5,314,000","-3,643,000","-3,561,000","-5,222,000","-3,372,000","-1,349,000","-5,734,000","-8,536,000","-3,102,000","-735,000","-5,255,000","-5,918,000","270,000","-3,110,000","-4,828,000","-2,778,000",Upgrade,Financials in USD,Fiscal year is December - November
Free Cash Flow Per Share,0.093,-0.006,-0.035,-0.125,0.220,-0.151,-0.147,-0.218,-0.142,-0.057,-0.241,-0.359,-0.131,-0.031,-0.248,-0.299,0.014,-0.162,-0.251,-0.144,Upgrade,Financials in USD,Fiscal year is December - November
Gross Margin,79.996%,79.348%,67.477%,78.398%,76.183%,72.027%,76.427%,72.415%,74.571%,59.731%,73.713%,72.320%,76.008%,73.497%,72.845%,71.605%,65.186%,64.107%,64.756%,64.829%,Upgrade,Financials in USD,Fiscal year is December - November
Operating Margin,27.491%,14.934%,-13.824%,16.689%,0.259%,-45.268%,-27.160%,-26.647%,-26.520%,-108.787%,-41.602%,-43.004%,-40.544%,-30.073%,-29.708%,-21.487%,-42.487%,-26.145%,-21.579%,-32.909%,Upgrade,Financials in USD,Fiscal year is December - November
Profit Margin,13.677%,4.483%,-27.580%,-11.747%,-3.577%,-57.057%,-52.456%,-37.015%,-36.274%,-117.952%,-48.672%,-52.794%,-53.271%,-35.936%,-38.380%,-29.017%,-48.174%,-33.831%,-28.908%,-39.360%,Upgrade,Financials in USD,Fiscal year is December - November
Free Cash Flow Margin,20.372%,-1.317%,-10.513%,-17.508%,25.481%,-20.759%,-17.887%,-24.378%,-16.203%,-7.001%,-30.899%,-45.516%,-17.376%,-4.132%,-34.057%,-30.947%,1.922%,-18.121%,-30.714%,-16.939%,Upgrade,Financials in USD,Fiscal year is December - November
EBITDA,"6,618,000","4,467,000","-1,813,000","4,407,000","839,000","-7,096,000","-4,570,000","-4,873,000","-4,769,000","-12,578,000","-5,646,000","-5,987,000","-5,161,000","-3,277,000","-2,512,000","-2,029,000","-3,891,000","-2,487,000","-1,471,000","-3,467,000",Upgrade,Financials in USD,Fiscal year is December - November
EBITDA Margin,29.283%,20.289%,-11.159%,18.791%,4.023%,-40.435%,-22.956%,-22.749%,-22.916%,-65.279%,-30.425%,-31.924%,-28.910%,-18.424%,-16.280%,-10.610%,-27.696%,-14.491%,-9.358%,-21.140%,Upgrade,Financials in USD,Fiscal year is December - November
D&A For EBITDA,"405,000","1,179,000","433,000","493,000","785,000","848,000","837,000","835,000","750,000","8,383,000","2,074,000","2,078,000","2,077,000","2,072,000","2,072,000","2,080,000","2,078,000","2,000,000","1,921,000","1,930,000",Upgrade,Financials in USD,Fiscal year is December - November
EBIT,"6,213,000","3,288,000","-2,246,000","3,914,000","54,000","-7,944,000","-5,407,000","-5,708,000","-5,519,000","-20,961,000","-7,720,000","-8,065,000","-7,238,000","-5,349,000","-4,584,000","-4,109,000","-5,969,000","-4,487,000","-3,392,000","-5,397,000",Upgrade,Financials in USD,Fiscal year is December - November
EBIT Margin,27.491%,14.934%,-13.824%,16.689%,0.259%,-45.267%,-27.160%,-26.647%,-26.520%,-108.787%,-41.602%,-43.004%,-40.544%,-30.073%,-29.708%,-21.487%,-42.487%,-26.145%,-21.579%,-32.908%,Upgrade,Financials in USD,Fiscal year is December - November
Effective Tax Rate,19.652%,10.679%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is December - November
