Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters,Currency,Fiscal_Year_period
Currency Exchange Gain (Loss),"-8,000","-46,000","-18,000","22,000","-42,000","33,000","-78,000","1,000","-5,000","-1,000","-13,000","-5,000","-4,000",-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,"1,000","11,000","22,000","17,000","9,000","1,000","-25,000","41,000","-43,000","-27,000","83,000",Upgrade,Financials in USD,Fiscal year is January - December
EBT Excluding Unusual Items,"-4,939,000","-5,343,000","-3,956,000","-5,464,000","-5,765,000","-4,166,000","-5,189,000","-4,501,000","-5,700,000","-3,736,000","-4,208,000","-3,685,000","-3,941,000","-3,821,000","-2,738,000","-1,493,000","-2,670,000","-3,495,000","-1,990,000","-1,742,000",Upgrade,Financials in USD,Fiscal year is January - December
Impairment of Goodwill,-,-,-,-,-,-,-,-,-,"-19,092,000",-,-,-,-,-,-,-,-,-,"-46,103,000",Upgrade,Financials in USD,Fiscal year is January - December
Legal Settlements,-,-,-,"1,000,000","1,600,000",-,-,-,-,"-1,600,000",-,-,-,-,-,-,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Pretax Income,"-4,939,000","-5,343,000","-3,956,000","-4,464,000","-4,165,000","-4,166,000","-5,189,000","-4,501,000","-5,700,000","-24,428,000","-4,208,000","-3,685,000","-3,941,000","-3,821,000","-2,738,000","-1,493,000","-2,670,000","-3,495,000","-1,990,000","-47,845,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income,"-4,939,000","-5,343,000","-3,956,000","-4,464,000","-4,165,000","-4,166,000","-5,189,000","-4,501,000","-5,700,000","-24,428,000","-4,208,000","-3,685,000","-3,941,000","-3,821,000","-2,738,000","-1,493,000","-2,670,000","-3,495,000","-1,990,000","-47,845,000",Upgrade,Financials in USD,Fiscal year is January - December
Net Income to Common,"-4,939,000","-5,343,000","-3,956,000","-4,464,000","-4,165,000","-4,166,000","-5,189,000","-4,501,000","-5,700,000","-24,428,000","-4,208,000","-3,685,000","-3,941,000","-3,821,000","-2,738,000","-1,493,000","-2,670,000","-3,495,000","-1,990,000","-47,845,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"10,174,000","10,174,000","10,174,000","10,221,000","10,153,000","10,065,000","8,143,000","8,143,000","8,143,000","8,143,000","8,143,000","8,132,000","8,143,000","7,255,747","5,937,331","5,782,914","4,796,248","4,345,082","3,471,832","2,819,418",Upgrade,Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"10,174,000","10,174,000","10,174,000","10,221,000","10,153,000","10,065,000","8,143,000","8,143,000","8,143,000","8,143,000","8,143,000","8,132,000","8,143,000","7,255,747","5,937,331","5,782,914","4,796,248","4,345,082","3,471,832","2,819,418",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),0.207%,1.083%,24.942%,25.519%,24.684%,23.603%,-,0.135%,-,12.228%,37.149%,40.621%,69.779%,66.988%,71.014%,105.110%,82.015%,64.894%,37.177%,12.942%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.485,-0.525,-0.389,-0.437,-0.410,-0.414,-0.637,-0.553,-0.700,-3.000,-0.517,-0.453,-0.484,-0.527,-0.461,-0.258,-0.557,-0.804,-0.573,-16.970,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.485,-0.525,-0.390,-0.437,-0.410,-0.414,-0.640,-0.553,-0.700,-3.000,-0.517,-0.453,-0.484,-0.527,-0.461,-0.258,-0.557,-0.804,-0.573,-16.970,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-5,123,000","-3,699,000","-4,511,000","-3,385,000","-2,681,000","-5,562,000","-3,156,000","-4,905,000","-8,970,000","-3,724,000","-3,910,000","-2,930,000","-5,407,000","-2,639,000","-1,795,000","-2,382,000","-3,080,000","-2,327,000","-2,281,000","-1,231,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.504,-0.364,-0.443,-0.331,-0.264,-0.553,-0.388,-0.602,-1.102,-0.457,-0.480,-0.360,-0.664,-0.364,-0.302,-0.412,-0.642,-0.536,-0.657,-0.437,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-36.863%,-,-256.679%,-178.308%,-138.308%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-287.451%,-553.988%,-622.744%,-425.380%,-453.234%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-292.745%,-546.012%,-630.866%,-431.670%,-11901.741%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-467.059%,-629.857%,-420.036%,-494.794%,-306.219%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"-5,012,000","-5,415,000","-4,123,000","-5,626,000","-5,990,000","-4,292,000","-5,062,000","-4,454,000","-5,647,000","-3,692,000","-4,159,000","-3,654,000","-3,903,000","-3,781,000","-2,693,000","-1,421,000","-2,665,000","-3,412,000","-1,931,000","-1,793,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-278.627%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"30,000","33,000","35,000","40,000","53,000","47,000","49,000","48,000","47,000","44,000","46,000","48,000","50,000","47,000","45,000","45,000","44,000","38,000","30,000","29,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-5,042,000","-5,448,000","-4,158,000","-5,666,000","-6,043,000","-4,339,000","-5,111,000","-4,502,000","-5,694,000","-3,736,000","-4,205,000","-3,702,000","-3,953,000","-3,828,000","-2,738,000","-1,466,000","-2,709,000","-3,450,000","-1,961,000","-1,822,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-287.451%,-,-,-,-,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"489,000","554,000",-,-,Upgrade,Financials in USD,Fiscal year is January - December
