Fiscal Year,TTM,FY 2023,FY 2022,FY 2021,FY 2020,FY 2019,2018 - 2014,Currency,Fiscal_Year_period
Shares Outstanding (Diluted),"95,124,750","71,031,000","54,669,000","43,169,000","26,209,000","17,679,000",Upgrade,Financials in USD,Fiscal year is January - December
Shares Change (YoY),60.199%,29.929%,26.639%,64.711%,48.249%,10.136%,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.720,-4.673,2.332,-0.030,-1.074,-12.286,Upgrade,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.723,-4.673,2.034,-0.030,-1.074,-12.286,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow,"20,467,000","48,976,000","78,324,000","5,470,000","-65,582,000","88,994,000",Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,0.215,0.690,1.433,0.127,-2.502,5.034,Upgrade,Financials in USD,Fiscal year is January - December
Gross Margin,70.312%,82.232%,88.000%,86.279%,85.406%,95.859%,Upgrade,Financials in USD,Fiscal year is January - December
Operating Margin,-14.293%,16.401%,36.339%,19.082%,-39.517%,-2.227%,Upgrade,Financials in USD,Fiscal year is January - December
Profit Margin,-54.459%,-218.284%,70.167%,-1.154%,-26.041%,-94.630%,Upgrade,Financials in USD,Fiscal year is January - December
Free Cash Flow Margin,16.274%,32.206%,50.132%,4.927%,-60.682%,38.773%,Upgrade,Financials in USD,Fiscal year is January - December
EBITDA,"6,051,000","53,170,000","90,170,000","50,261,000","-16,277,000","97,834,000",Upgrade,Financials in USD,Fiscal year is January - December
EBITDA Margin,4.811%,34.964%,57.715%,45.274%,-15.061%,42.624%,Upgrade,Financials in USD,Fiscal year is January - December
D&A For EBITDA,"24,026,000","28,229,000","33,396,000","29,077,000","26,431,000","102,946,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT,"-17,975,000","24,941,000","56,774,000","21,184,000","-42,708,000","-5,112,000",Upgrade,Financials in USD,Fiscal year is January - December
EBIT Margin,-14.293%,16.401%,36.339%,19.082%,-39.517%,-2.227%,Upgrade,Financials in USD,Fiscal year is January - December
Revenue as Reported,"125,763,000","152,069,000","156,234,000","111,014,000","106,275,000","229,504,000",Upgrade,Financials in USD,Fiscal year is January - December
Advertising Expenses,-,"4,400,000","3,400,000","1,800,000","400,000","800,000",Upgrade,Financials in USD,Fiscal year is January - December
