Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Currency,Fiscal_Year_period
Pretax Income,"-2,471,000","-2,389,000","-1,076,000","-3,227,000","-1,421,000","-2,327,000","-3,257,000","-2,156,000","-2,136,000","-2,594,000","-3,003,000","-2,355,000","-1,511,000","-1,310,000","-1,148,000","-878,000","-1,096,000","-773,000","-1,051,000",Financials in USD,Fiscal year is January - December
Net Income,"-2,471,000","-2,389,000","-1,076,000","-3,227,000","-1,421,000","-2,327,000","-3,257,000","-2,156,000","-2,136,000","-2,594,000","-3,003,000","-2,355,000","-1,511,000","-1,310,000","-1,148,000","-878,000","-1,096,000","-773,000","-1,051,000",Financials in USD,Fiscal year is January - December
Net Income to Common,"-2,471,000","-2,389,000","-1,076,000","-3,227,000","-1,421,000","-2,327,000","-3,257,000","-2,156,000","-2,136,000","-2,594,000","-3,003,000","-2,355,000","-1,511,000","-1,310,000","-1,148,000","-878,000","-1,096,000","-773,000","-1,051,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Basic),"24,940,746","24,049,113","14,947,500","10,697,926","10,693,080","10,655,155","9,089,989","9,088,980","9,067,509","9,057,185","8,992,404","9,945,036","5,620,135","2,284,978","2,241,749","2,155,065","2,263,589","2,218,000","2,195,000",Financials in USD,Fiscal year is January - December
Shares Outstanding (Diluted),"24,940,746","24,049,113","14,947,500","10,697,926","10,693,080","10,655,155","9,089,989","9,088,980","9,067,509","9,057,185","8,992,404","9,945,036","5,620,135","2,284,978","2,241,749","2,155,065","2,263,589","2,218,000","2,195,000",Financials in USD,Fiscal year is January - December
Shares Change (YoY),133.242%,125.704%,64.439%,17.702%,17.927%,17.643%,1.085%,-8.608%,61.340%,296.380%,301.133%,361.473%,148.284%,3.020%,2.130%,-,-,-,-,Financials in USD,Fiscal year is January - December
EPS (Basic),-0.099,-0.099,-0.072,-0.302,-0.133,-0.218,-0.358,-0.237,-0.236,-0.286,-0.334,-0.237,-0.269,-0.573,-0.512,-0.407,-0.484,-0.349,-0.479,Financials in USD,Fiscal year is January - December
EPS (Diluted),-0.100,-0.099,-0.072,-0.302,-0.133,-0.218,-0.358,-0.237,-0.236,-0.286,-0.334,-0.237,-0.269,-0.573,-0.512,-0.407,-0.484,-0.349,-0.479,Financials in USD,Fiscal year is January - December
Free Cash Flow,"-2,194,000","-2,297,000","-2,204,000","-2,053,000","-2,728,000","-2,771,000","-2,706,000","-1,681,000","-2,672,000","-2,361,000","-2,097,000","-2,558,000","-1,119,000","-1,262,000","-992,000","-970,000","-691,000","-828,000","-1,039,000",Financials in USD,Fiscal year is January - December
Free Cash Flow Per Share,-0.088,-0.096,-0.147,-0.192,-0.255,-0.260,-0.298,-0.185,-0.295,-0.261,-0.233,-0.257,-0.199,-0.552,-0.443,-0.450,-0.305,-0.373,-0.473,Financials in USD,Fiscal year is January - December
EBITDA,-,-,-,"-1,775,500","-2,981,500","-3,373,500","-3,259,500","-2,170,000","-2,161,000","-2,611,000","-3,002,000","-2,352,000","-1,393,333",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
D&A For EBITDA,-,-,-,"1,500","1,500","1,500","1,500",-,-,"3,000","3,000","4,000","1,667",-,-,-,-,-,-,Financials in USD,Fiscal year is January - December
EBIT,"-2,828,000","-3,034,000","-2,476,000","-1,777,000","-2,983,000","-3,375,000","-3,261,000","-2,170,000","-2,161,000","-2,614,000","-3,005,000","-2,356,000","-1,395,000","-866,000","-1,053,000","-639,000","-910,000","-602,000","-1,053,000",Financials in USD,Fiscal year is January - December
